A;123;20110801 02:13;VALNET;
B;123;1264687;1;20110801 02:13;;;43;JENOLAN ST;OBERON;2787;1695;M;20110705;20110712;45000;Z;V;VACANT LAND;;ZA;;50;AG374373;
C;123;1264687;1;20110801 02:13;7/44/758805;
D;123;1264687;1;20110801 02:13;P;;;;;;
D;123;1264687;1;20110801 02:13;P;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
D;123;1264687;1;20110801 02:13;V;;;;;;
B;123;1265064;2;20110801 02:13;;;36;ROSS ST;OBERON;2787;626;M;20110611;20110721;310000;Z;R;RESIDENCE;;ZA;;0;AG392919;
C;123;1265064;2;20110801 02:13;13/203410;
D;123;1265064;2;20110801 02:13;P;;;;;;
D;123;1265064;2;20110801 02:13;P;;;;;;
D;123;1265064;2;20110801 02:13;V;;;;;;
D;123;1265064;2;20110801 02:13;V;;;;;;
D;123;1265064;2;20110801 02:13;V;;;;;;
D;123;1265064;2;20110801 02:13;V;;;;;;
B;123;3592084;3;20110801 02:13;;;;FERNDALE RD;OBERON;2787;9.91;H;20101223;20110527;365000;;V;VACANT LAND;;;;0;AG352880;
C;123;3592084;3;20110801 02:13;12/1162650;
D;123;3592084;3;20110801 02:13;P;;;;;;
D;123;3592084;3;20110801 02:13;P;;;;;;
D;123;3592084;3;20110801 02:13;V;;;;;;
D;123;3592084;3;20110801 02:13;V;;;;;;
B;123;3592093;4;20110801 02:13;;;LOT102;ABERCROMBIE ROAD;BLACK SPINGS;2787;89.53;H;20100922;20110606;145000;;V;VACANT LAND;;;;0;AG331699;
C;123;3592093;4;20110801 02:13;;
D;123;3592093;4;20110801 02:13;P;;;;;;
D;123;3592093;4;20110801 02:13;P;;;;;;
D;123;3592093;4;20110801 02:13;V;;;;;;
D;123;3592093;4;20110801 02:13;V;;;;;;
B;123;3592519;5;20110801 02:13;BOOMIE;;977;CARLWOOD RD;OBERON;2787;414.5;H;20110520;20110624;482000;;3;FARM;;;;0;AG329159;
C;123;3592519;5;20110801 02:13;6/1079209;
D;123;3592519;5;20110801 02:13;P;;;;;;
D;123;3592519;5;20110801 02:13;V;;;;;;
B;123;3592275;6;20110801 02:13;;;;ISABELLA RD;ISABELLA;2795;5.097;H;20100721;20110630;100000;;3;GRAVEL PIT;;;;0;AG343191;
C;123;3592275;6;20110801 02:13;1/1165834;
D;123;3592275;6;20110801 02:13;P;;;;;;
D;123;3592275;6;20110801 02:13;V;;;;;;
Z;43;6;6;29;
