A;246;20010822 12:49;CDIXON;
B;246;2652131;1;20010822 12:49;;;;PH CRAWNEY;MURRURUNDI;2338;274.5;H;20001003;20001003;0;R;3;NULL;;GS;;;7599637;
C;246;2652131;1;20010822 12:49;19//246602 161//786649;
D;246;2652131;1;20010822 12:49;P;;;;;;
D;246;2652131;1;20010822 12:49;P;;;;;;
D;246;2652131;1;20010822 12:49;V;;;;;;
B;246;2652199;2;20010822 12:49;;;;PH GREGSON;MURRURUNDI;2338;167.03;H;20010330;20010330;1;R;R;;;MF;;;7573177;
C;246;2652199;2;20010822 12:49;66//751016;
D;246;2652199;2;20010822 12:49;P;;;;;;
D;246;2652199;2;20010822 12:49;V;;;;;;
D;246;2652199;2;20010822 12:49;V;;;;;;
B;246;2652617;3;20010822 12:49;;;52;HAYDON ST;MURRURUNDI;2338;682.2;M;20010409;20010409;0;Z;V;;;ZM;;;7577282;
C;246;2652617;3;20010822 12:49;1//196658;
D;246;2652617;3;20010822 12:49;P;;;;;;
D;246;2652617;3;20010822 12:49;V;;;;;;
B;246;2653086;4;20010822 12:49;;;;PH PARSONS HILL PORS;WILLOW TREE;2339;1.204;H;20010205;20010215;4000;R;3;;;HW;;;7424554;
C;246;2653086;4;20010822 12:49;1, 2//152885 49//155706;
D;246;2653086;4;20010822 12:49;P;;;;;;
D;246;2653086;4;20010822 12:49;P;;;;;;
D;246;2653086;4;20010822 12:49;V;;;;;;
B;246;2653204;5;20010822 12:49;;;;PH TIMOR;MURRURUNDI;2338;400.4;H;20001122;20001122;0;R;3;;;GE;;;7368096;
C;246;2653204;5;20010822 12:49;204//615411 11, PT 122, 13, PT 132, 145, PT 149, 18, PT 184, PT 185, 2;
C;246;2653204;5;20010822 12:49;, PT 202, PT 205, 25, 3, PT 73, 76, 77, 84, 85, 88, 91, PT 92//750954 ;
C;246;2653204;5;20010822 12:49;1//963518 1, 2//963521;
D;246;2653204;5;20010822 12:49;P;;;;;;
D;246;2653204;5;20010822 12:49;V;;;;;;
B;246;2653222;6;20010822 12:49;;;;PH TIMOR;MURRURUNDI;2338;18.82;H;20010219;20010330;1300000;R;3;FARM ;;HM;;;7562305;
C;246;2653222;6;20010822 12:49;1//367436;
D;246;2653222;6;20010822 12:49;P;;;;;;
D;246;2653222;6;20010822 12:49;P;;;;;;
D;246;2653222;6;20010822 12:49;V;;;;;;
D;246;2653222;6;20010822 12:49;V;;;;;;
B;246;2653379;7;20010822 12:49;;;68;LEARMONTH ST;WILLOW TREE;2339;961.1;M;20010326;20010430;53500;Z;R;;;ZW;;;7601224;
C;246;2653379;7;20010822 12:49;7A/D/192655;
D;246;2653379;7;20010822 12:49;P;;;;;;
D;246;2653379;7;20010822 12:49;V;;;;;;
Z;37;7;9;19;
