A;135;20011109 13:24;CDIXON;
B;135;1308162;1;20011109 13:24;;;34;ALI PDE;NEWINGTON;2127;253;M;20001211;20010919;425000;A;R;RESIDENCE;;HF;;;7966628;
C;135;1308162;1;20011109 13:24;206//270207;
D;135;1308162;1;20011109 13:24;P;;;;;;
D;135;1308162;1;20011109 13:24;P;;;;;;
D;135;1308162;1;20011109 13:24;V;;;;;;
B;135;1308270;2;20011109 13:24;;;12;ALLAN ST;LIDCOMBE;2141;;;20010723;20010824;405000;A;R;RESIDENCE;;HE;;;7899439;
C;135;1308270;2;20011109 13:24;5//17172;
D;135;1308270;2;20011109 13:24;P;;;;;;
D;135;1308270;2;20011109 13:24;P;;;;;;
D;135;1308270;2;20011109 13:24;V;;;;;;
D;135;1308270;2;20011109 13:24;V;;;;;;
D;135;1308270;2;20011109 13:24;V;;;;;;
B;135;1308493;3;20011109 13:24;;1;107;AMY ST;REGENTS PARK;2143;;;20010719;20010831;126500;;3;HOME UNIT;1;;;;7974971;
C;135;1308493;3;20011109 13:24;1//3536;
D;135;1308493;3;20011109 13:24;P;;;;;;
D;135;1308493;3;20011109 13:24;V;;;;;;
B;135;1309080;4;20011109 13:24;;16;102;AUBURN RD;AUBURN;2144;;;20010713;20010828;118000;;R;RESIDENCE;16;;;;7896571;
C;135;1309080;4;20011109 13:24;16//14569;
D;135;1309080;4;20011109 13:24;P;;;;;;
D;135;1309080;4;20011109 13:24;V;;;;;;
D;135;1309080;4;20011109 13:24;V;;;;;;
B;135;1309133;5;20011109 13:24;;;18;AUBURN RD;AUBURN;2144;153;M;20010703;20010817;550000;B;R;RESIDENCE;;BB;;;7911631;
C;135;1309133;5;20011109 13:24;2//623141;
D;135;1309133;5;20011109 13:24;P;;;;;;
D;135;1309133;5;20011109 13:24;V;;;;;;
B;135;1309256;6;20011109 13:24;;;40;BARKER AVE;SILVERWATER (LIDCOMBE);2141;;;20010627;20010807;219500;A;R;RESIDENCE;;HA;;;7909067;
C;135;1309256;6;20011109 13:24;46//12954;
D;135;1309256;6;20011109 13:24;P;;;;;;
