A;RTSALEDATA;171;20250120 01:08;VALNET;
B;171;2939922;1;20250120 01:08;;;335;CHILCOTTS RD;CHILLINGHAM;2484;15.02;H;20241017;20250114;2000000;RU2;R;RESIDENCE;;RRN;;0;AU743751;
C;171;2939922;1;20250120 01:08;4/634973;
D;171;2939922;1;20250120 01:08;P;;;;;;
D;171;2939922;1;20250120 01:08;P;;;;;;
D;171;2939922;1;20250120 01:08;P;;;;;;
D;171;2939922;1;20250120 01:08;P;;;;;;
D;171;2939922;1;20250120 01:08;V;;;;;;
B;171;3482650;2;20250120 01:08;;;8;TERRIGAL ST;POTTSVILLE;2489;659.4;M;20241202;20250113;1325000;R2;R;RESIDENCE;;AJL;;0;AU740426;
C;171;3482650;2;20250120 01:08;1433/1129353;
D;171;3482650;2;20250120 01:08;P;;;;;;
D;171;3482650;2;20250120 01:08;P;;;;;;
D;171;3482650;2;20250120 01:08;V;;;;;;
D;171;3482650;2;20250120 01:08;V;;;;;;
B;171;4203352;3;20250120 01:08;;;60;ROUS RIVER WAY;MURWILLUMBAH;2484;605.4;M;20241122;20250114;1225000;R2;R;RESIDENCE;;ALR;;0;AU744656;
C;171;4203352;3;20250120 01:08;3/1252437;
D;171;4203352;3;20250120 01:08;P;;;;;;
D;171;4203352;3;20250120 01:08;P;;;;;;
D;171;4203352;3;20250120 01:08;V;;;;;;
D;171;4203352;3;20250120 01:08;V;;;;;;
B;171;3051756;4;20250120 01:08;LU ELLE PALMS;4;1;GRAY ST;TWEED HEADS WEST;2485;;;20241209;20250115;585000;;R;RESIDENCE;4;;;0;AU748702;
C;171;3051756;4;20250120 01:08;4/SP71205;
D;171;3051756;4;20250120 01:08;P;;;;;;
D;171;3051756;4;20250120 01:08;P;;;;;;
D;171;3051756;4;20250120 01:08;V;;;;;;
D;171;3051756;4;20250120 01:08;V;;;;;;
B;171;3156167;5;20250120 01:08;;;19;WESTWOOD ST;BANORA POINT;2486;629.9;M;20240919;20250113;1575000;R2;R;RESIDENCE;;ANB;;0;AU740232;
C;171;3156167;5;20250120 01:08;338/1073160;
D;171;3156167;5;20250120 01:08;P;;;;;;
D;171;3156167;5;20250120 01:08;P;;;;;;
D;171;3156167;5;20250120 01:08;V;;;;;;
D;171;3156167;5;20250120 01:08;V;;;;;;
B;171;4563905;6;20250120 01:08;;;28;HONEYEATER CCT;SOUTH MURWILLUMBAH;2484;1.014;H;20241202;20250110;3982000;E4;V;VACANT LAND;;EIB;;0;AU738553;
C;171;4563905;6;20250120 01:08;2/1298752;
D;171;4563905;6;20250120 01:08;P;;;;;;
D;171;4563905;6;20250120 01:08;V;;;;;;
B;171;4583996;7;20250120 01:08;;;103;KINGSCLIFF ST;KINGSCLIFF;2487;741.9;M;20241105;20250115;2227500;R3;R;RESIDENCE;;AKL;;0;AU747515;
C;171;4583996;7;20250120 01:08;50/1306393;
D;171;4583996;7;20250120 01:08;P;;;;;;
D;171;4583996;7;20250120 01:08;V;;;;;;
B;171;4591405;8;20250120 01:08;;;634;CUDGEN RD;CUDGEN;2487;1046;M;20211222;20250115;1250000;;V;VACANT LAND;;;;0;AU748461;
C;171;4591405;8;20250120 01:08;2/1307463;
D;171;4591405;8;20250120 01:08;P;;;;;;
D;171;4591405;8;20250120 01:08;V;;;;;;
B;171;4591406;9;20250120 01:08;;;636;CUDGEN RD;CUDGEN;2487;945.4;M;20220217;20250115;1250000;;R;RESIDENCE;;;;0;AU749643;
C;171;4591406;9;20250120 01:08;3/1307463;
D;171;4591406;9;20250120 01:08;P;;;;;;
D;171;4591406;9;20250120 01:08;V;;;;;;
B;171;4591408;10;20250120 01:08;;;640;CUDGEN RD;CUDGEN;2487;945.4;M;20241023;20250115;1265000;;V;VACANT LAND;;;;0;AU750302;
C;171;4591408;10;20250120 01:08;5/1307463;
D;171;4591408;10;20250120 01:08;P;;;;;;
D;171;4591408;10;20250120 01:08;V;;;;;;
