A;RTSALEDATA;218;20250224 01:07;VALNET;
B;218;2329938;1;20250224 01:07;;5;3;MINER PL;INGLEBURN;2565;;;20241206;20250217;680000;;R;RESIDENCE;5;;;0;AU830361;
C;218;2329938;1;20250224 01:07;5/SP67061;
D;218;2329938;1;20250224 01:07;P;;;;;;
D;218;2329938;1;20250224 01:07;V;;;;;;
B;218;3434612;2;20250224 01:07;;;62;BELMONT RD;GLENFIELD;2167;714.5;M;20250115;20250220;316667;R3;V;VACANT LAND;;DAB;;0;AU839919;
C;218;3434612;2;20250224 01:07;1/544979;
D;218;3434612;2;20250224 01:07;P;;;;;;
D;218;3434612;2;20250224 01:07;P;;;;;;
D;218;3434612;2;20250224 01:07;P;;;;;;
D;218;3434612;2;20250224 01:07;V;;;;;;
D;218;3434612;2;20250224 01:07;V;;;;;;
B;218;4179136;3;20250224 01:07;;33;18;BROUGHTON ST;CAMPBELLTOWN;2560;116;M;20250116;20250220;550000;;R;RESIDENCE;33;;;0;AU838849;
C;218;4179136;3;20250224 01:07;33/SP98761;
D;218;4179136;3;20250224 01:07;P;;;;;;
D;218;4179136;3;20250224 01:07;V;;;;;;
B;218;4214427;4;20250224 01:07;;;101;BARDIA AVE;BARDIA;2565;193.4;M;20241206;20250217;975000;R1;R;RESIDENCE;;GBA;;0;AU830922;
C;218;4214427;4;20250224 01:07;2/1240733;
D;218;4214427;4;20250224 01:07;P;;;;;;
D;218;4214427;4;20250224 01:07;V;;;;;;
D;218;4214427;4;20250224 01:07;V;;;;;;
B;218;4172161;5;20250224 01:07;;;20;SAPPER ST;BARDIA;2565;228.4;M;20241207;20250214;950000;R1;R;RESIDENCE;;GBA;;0;AU825551;
C;218;4172161;5;20250224 01:07;2023/1200782;
D;218;4172161;5;20250224 01:07;P;;;;;;
D;218;4172161;5;20250224 01:07;P;;;;;;
D;218;4172161;5;20250224 01:07;V;;;;;;
D;218;4172161;5;20250224 01:07;V;;;;;;
B;218;3015611;6;20250224 01:07;;;7;SCARR COTTAGE PL;BLAIR ATHOL;2560;309.1;M;20241218;20250217;890000;R2;R;RESIDENCE;;ARB;;0;AU829819;
C;218;3015611;6;20250224 01:07;464/1048683;
D;218;3015611;6;20250224 01:07;P;;;;;;
D;218;3015611;6;20250224 01:07;V;;;;;;
B;218;4048008;7;20250224 01:07;;;111;MARY ANN DR;GLENFIELD;2167;302;M;20250103;20250214;1180000;R2;R;RESIDENCE;;EUG;;0;AU826979;
C;218;4048008;7;20250224 01:07;613/1210937;
D;218;4048008;7;20250224 01:07;P;;;;;;
D;218;4048008;7;20250224 01:07;P;;;;;;
D;218;4048008;7;20250224 01:07;V;;;;;;
D;218;4048008;7;20250224 01:07;V;;;;;;
B;218;4572328;8;20250224 01:07;;;35;GOULD RD;CLAYMORE;2559;449.5;M;20230130;20250214;585000;R2;V;VACANT LAND;;CLA;;0;AU826823;
C;218;4572328;8;20250224 01:07;1128/1300437;
D;218;4572328;8;20250224 01:07;P;;;;;;
D;218;4572328;8;20250224 01:07;P;;;;;;
D;218;4572328;8;20250224 01:07;V;;;;;;
B;218;4551789;9;20250224 01:07;;;21;DOCHARTY ST;BRADBURY;2560;415.8;M;20250121;20250220;575000;R2;R;RESIDENCE;;ADB;;0;AU838227;
C;218;4551789;9;20250224 01:07;943/1303166;
D;218;4551789;9;20250224 01:07;P;;;;;;
D;218;4551789;9;20250224 01:07;V;;;;;;
D;218;4551789;9;20250224 01:07;V;;;;;;
B;218;4584979;10;20250224 01:07;;;2;BELLAROI PDE;GILEAD;2560;871.5;M;20240627;20250218;553021;;V;VACANT LAND;;;;0;AU834478;
C;218;4584979;10;20250224 01:07;1195/1242643;
D;218;4584979;10;20250224 01:07;P;;;;;;
D;218;4584979;10;20250224 01:07;V;;;;;;
B;218;4584984;11;20250224 01:07;;;9;BELLAROI PDE;GILEAD;2560;450;M;20220420;20250218;393500;;V;VACANT LAND;;;;0;AU834485;
C;218;4584984;11;20250224 01:07;1200/1242643;
D;218;4584984;11;20250224 01:07;P;;;;;;
D;218;4584984;11;20250224 01:07;V;;;;;;
