A;037;20011109 12:45;CDIXON;
B;037;451213;1;20011109 12:45;;;337;ALBURY ST;HARDEN;2587;1815;M;20010718;20010813;320000;Z;3;HOTEL;;BA;;;7917049;
C;037;451213;1;20011109 12:45;1//228407;
D;037;451213;1;20011109 12:45;P;;;;;;
D;037;451213;1;20011109 12:45;P;;;;;;
D;037;451213;1;20011109 12:45;V;;;;;;
D;037;451213;1;20011109 12:45;V;;;;;;
D;037;451213;1;20011109 12:45;V;;;;;;
D;037;451213;1;20011109 12:45;V;;;;;;
B;037;451453;2;20011109 12:45;;;14;BINALONG ST;HARDEN;2587;676.6;M;20010823;20010912;58000;Z;R;RESIDENCE;;AA;;;7965030;
C;037;451453;2;20011109 12:45;A//355137;
D;037;451453;2;20011109 12:45;P;;;;;;
D;037;451453;2;20011109 12:45;P;;;;;;
D;037;451453;2;20011109 12:45;V;;;;;;
B;037;452217;3;20011109 12:45;;;28;WHITTON LANE;HARDEN;2587;2168;M;20010717;20010817;35500;Z;R;RESIDENCE;;AE;;;7940649;
C;037;452217;3;20011109 12:45;7//5715 514//657838;
D;037;452217;3;20011109 12:45;P;;;;;;
D;037;452217;3;20011109 12:45;P;;;;;;
D;037;452217;3;20011109 12:45;V;;;;;;
Z;20;3;3;12;
