A;013;20030619 08:56;PDANN;
B;013;305232;1;20030619 08:56;;;19;BOOLOOMBAYT ST;BULAHDELAH;2423;1657;M;20030217;20030317;175000;Z;R;RESIDENCE;;ZA;;0;9468833;
C;013;305232;1;20030619 08:56;20/31/758177;
D;013;305232;1;20030619 08:56;P;;;;;;
D;013;305232;1;20030619 08:56;V;;;;;;
D;013;305232;1;20030619 08:56;V;;;;;;
B;013;305359;2;20030619 08:56;;;;CRAWFORD ST;BULAHDELAH;2423;915.3;M;20030104;20030104;35000;Z;R;RESIDENCE;;ZA;;50;9483076;
C;013;305359;2;20030619 08:56;41//847761;
D;013;305359;2;20030619 08:56;P;;;;;;
D;013;305359;2;20030619 08:56;V;;;;;;
D;013;305359;2;20030619 08:56;V;;;;;;
D;013;305359;2;20030619 08:56;V;;;;;;
B;013;306270;3;20030619 08:56;;;15;BELTON WAY;FORSTER;2428;622.8;M;20030212;20030314;355000;A;R;RESIDENCE;;AF;AC;0;9465444;
C;013;306270;3;20030619 08:56;126//706514;
D;013;306270;3;20030619 08:56;P;;;;;;
D;013;306270;3;20030619 08:56;P;;;;;;
D;013;306270;3;20030619 08:56;V;;;;;;
B;013;306948;4;20030619 08:56;;;38;CARRIBEAN AVE;FORSTER;2428;366.7;M;20030115;20030130;267000;A;R;RESIDENCE;;DL;AC;0;9409967;
C;013;306948;4;20030619 08:56;172//201145;
D;013;306948;4;20030619 08:56;P;;;;;;
D;013;306948;4;20030619 08:56;P;;;;;;
D;013;306948;4;20030619 08:56;P;;;;;;
D;013;306948;4;20030619 08:56;P;;;;;;
D;013;306948;4;20030619 08:56;V;;;;;;
B;013;306977;5;20030619 08:56;;;5;CARYOTA PL;FORSTER;2428;766.7;M;20030110;20030221;160000;A;R;RESIDENCE;;DN;AV;0;9457598;
C;013;306977;5;20030619 08:56;6145//1018544;
D;013;306977;5;20030619 08:56;P;;;;;;
D;013;306977;5;20030619 08:56;V;;;;;;
D;013;306977;5;20030619 08:56;V;;;;;;
B;013;306991;6;20030619 08:56;;1;8;CASSINA CL;FORSTER;2428;;;20030211;20030227;280000;;R;RESIDENCE;1;;;0;9476789;
C;013;306991;6;20030619 08:56;1//SP 57617;
D;013;306991;6;20030619 08:56;P;;;;;;
D;013;306991;6;20030619 08:56;P;;;;;;
D;013;306991;6;20030619 08:56;V;;;;;;
D;013;306991;6;20030619 08:56;V;;;;;;
B;013;307256;7;20030619 08:56;;;13;COLLITON PDE;FORSTER;2428;556.4;M;20030115;20030303;657500;A;R;RESIDENCE;;ER;;0;9484198;
C;013;307256;7;20030619 08:56;110//229919;
D;013;307256;7;20030619 08:56;P;;;;;;
D;013;307256;7;20030619 08:56;P;;;;;;
D;013;307256;7;20030619 08:56;V;;;;;;
B;013;307909;8;20030619 08:56;;;1;GODWIN ST;FORSTER;2428;676.6;M;20030203;20030317;225000;A;R;RESIDENCE;;AG;AC;0;9468580;
C;013;307909;8;20030619 08:56;10/28/758422;
D;013;307909;8;20030619 08:56;P;;;;;;
D;013;307909;8;20030619 08:56;P;;;;;;
D;013;307909;8;20030619 08:56;V;;;;;;
B;013;308433;9;20030619 08:56;;7;88;HEAD ST;FORSTER;2428;;;20030106;20030317;385000;;R;RESIDENCE;7;;;0;9479001;
C;013;308433;9;20030619 08:56;7//SP 13809;
D;013;308433;9;20030619 08:56;P;;;;;;
D;013;308433;9;20030619 08:56;V;;;;;;
B;013;309009;10;20030619 08:56;;;15;KENTIA DR;FORSTER;2428;585.3;M;20030207;20030321;339000;A;R;RESIDENCE;;DN;;0;9483680;
C;013;309009;10;20030619 08:56;22//793497;
D;013;309009;10;20030619 08:56;P;;;;;;
D;013;309009;10;20030619 08:56;P;;;;;;
D;013;309009;10;20030619 08:56;V;;;;;;
B;013;309432;11;20030619 08:56;;;6;LAKEVIEW CRES;FORSTER;2428;556.4;M;20021209;20030324;250000;A;R;RESIDENCE;;ER;;0;9480827;
C;013;309432;11;20030619 08:56;18/6/22922;
D;013;309432;11;20030619 08:56;P;;;;;;
D;013;309432;11;20030619 08:56;V;;;;;;
D;013;309432;11;20030619 08:56;V;;;;;;
D;013;309432;11;20030619 08:56;V;;;;;;
B;013;309492;12;20030619 08:56;;2;7;LAKE VISTA CRES;FORSTER;2428;;;20030131;20030307;95000;;R;RESIDENCE;2;;;0;9487280;
C;013;309492;12;20030619 08:56;2//SP 8004;
D;013;309492;12;20030619 08:56;P;;;;;;
D;013;309492;12;20030619 08:56;P;;;;;;
D;013;309492;12;20030619 08:56;V;;;;;;
D;013;309492;12;20030619 08:56;V;;;;;;
B;013;309507;13;20030619 08:56;;;10;LAKE VISTA CRES;FORSTER;2428;556.4;M;20030124;20030124;325000;A;R;RESIDENCE;;ER;AC;0;9462457;
C;013;309507;13;20030619 08:56;56//229919;
D;013;309507;13;20030619 08:56;P;;;;;;
D;013;309507;13;20030619 08:56;P;;;;;;
D;013;309507;13;20030619 08:56;V;;;;;;
B;013;309693;14;20030619 08:56;;3;48;LITTLE ST;FORSTER;2428;;;20030217;20030325;152000;;R;RESIDENCE;3;;;0;9487797;
C;013;309693;14;20030619 08:56;3//SP 15095;
D;013;309693;14;20030619 08:56;P;;;;;;
D;013;309693;14;20030619 08:56;P;;;;;;
D;013;309693;14;20030619 08:56;V;;;;;;
B;013;309785;15;20030619 08:56;;7;76;LITTLE ST;FORSTER;2428;;;20030129;20030312;141000;;R;RESIDENCE;7;;;0;9472665;
C;013;309785;15;20030619 08:56;7//SP 38959;
D;013;309785;15;20030619 08:56;P;;;;;;
D;013;309785;15;20030619 08:56;V;;;;;;
B;013;309922;16;20030619 08:56;;6;118;LITTLE ST;FORSTER;2428;;;20021224;20030204;165000;;R;RESIDENCE;6;;;0;9474158;
C;013;309922;16;20030619 08:56;6//SP 15181;
D;013;309922;16;20030619 08:56;P;;;;;;
D;013;309922;16;20030619 08:56;P;;;;;;
D;013;309922;16;20030619 08:56;V;;;;;;
B;013;310210;17;20030619 08:56;;;5;MARGOT ST;FORSTER;2428;619.7;M;20030220;20030314;450000;A;R;RESIDENCE;;ER;AC;0;9466939;
C;013;310210;17;20030619 08:56;45//229919;
D;013;310210;17;20030619 08:56;P;;;;;;
D;013;310210;17;20030619 08:56;P;;;;;;
D;013;310210;17;20030619 08:56;P;;;;;;
D;013;310210;17;20030619 08:56;P;;;;;;
D;013;310210;17;20030619 08:56;V;;;;;;
D;013;310210;17;20030619 08:56;V;;;;;;
B;013;310647;18;20030619 08:56;;;18;PALM RD;FORSTER;2428;556.4;M;20021210;20030219;660000;A;R;RESIDENCE;;ER;AC;0;9401479;
C;013;310647;18;20030619 08:56;32/1/22922;
D;013;310647;18;20030619 08:56;P;;;;;;
D;013;310647;18;20030619 08:56;V;;;;;;
B;013;310709;19;20030619 08:56;;;1;PANORAMA CRES;FORSTER;2428;7237;M;20030130;20030228;500000;R;R;RESIDENCE;;AR;;0;9484525;
C;013;310709;19;20030619 08:56;1//263815;
D;013;310709;19;20030619 08:56;P;;;;;;
D;013;310709;19;20030619 08:56;V;;;;;;
D;013;310709;19;20030619 08:56;V;;;;;;
B;013;311740;20;20030619 08:56;;;8;TIMBERTOP AVE;FORSTER;2428;667.8;M;20010828;20010925;72500;A;V;VACANT LAND;;AG;AV;0;9456365;
C;013;311740;20;20030619 08:56;23//812507;
D;013;311740;20;20030619 08:56;P;;;;;;
D;013;311740;20;20030619 08:56;P;;;;;;
D;013;311740;20;20030619 08:56;V;;;;;;
B;013;311769;21;20030619 08:56;;;4;THE MEWS;FORSTER;2428;700;M;20030227;20030324;355000;A;R;RESIDENCE;;AN;;0;9483146;
C;013;311769;21;20030619 08:56;92//868171;
D;013;311769;21;20030619 08:56;P;;;;;;
D;013;311769;21;20030619 08:56;P;;;;;;
D;013;311769;21;20030619 08:56;V;;;;;;
D;013;311769;21;20030619 08:56;V;;;;;;
B;013;312463;22;20030619 08:56;;;50;WATER ST;FORSTER;2428;651.3;M;20021217;20030131;280000;A;R;RESIDENCE;;AG;AC;0;9405741;
C;013;312463;22;20030619 08:56;150//30310;
D;013;312463;22;20030619 08:56;P;;;;;;
D;013;312463;22;20030619 08:56;P;;;;;;
D;013;312463;22;20030619 08:56;V;;;;;;
D;013;312463;22;20030619 08:56;V;;;;;;
B;013;312693;23;20030619 08:56;;;4;WYUNA PL;FORSTER;2428;668.9;M;20030131;20030314;670000;A;R;RESIDENCE;;DJ;;0;9472394;
C;013;312693;23;20030619 08:56;2//245073;
D;013;312693;23;20030619 08:56;P;;;;;;
D;013;312693;23;20030619 08:56;P;;;;;;
D;013;312693;23;20030619 08:56;V;;;;;;
B;013;312790;24;20030619 08:56;;;;BRECKENRIDGE ST CNR LOT;HAMILTON;2425;5585;M;20020513;20030317;3000;R;V;VACANT LAND;;RW;;0;9468117;
C;013;312790;24;20030619 08:56;5/3/118006;
D;013;312790;24;20030619 08:56;P;;;;;;
D;013;312790;24;20030619 08:56;P;;;;;;
D;013;312790;24;20030619 08:56;V;;;;;;
B;013;313275;25;20030619 08:56;;1;7;BAIRD ST;TUNCURRY;2428;;;20030120;20030303;135000;;R;RESIDENCE;1;;XA;0;9455064;
C;013;313275;25;20030619 08:56;1//SP 10804;
D;013;313275;25;20030619 08:56;P;;;;;;
D;013;313275;25;20030619 08:56;P;;;;;;
D;013;313275;25;20030619 08:56;P;;;;;;
D;013;313275;25;20030619 08:56;V;;;;;;
B;013;313300;26;20030619 08:56;;3;12;BAIRD ST;TUNCURRY;2428;;;20030120;20030303;182000;;R;RESIDENCE;3;;XA;0;9459404;
C;013;313300;26;20030619 08:56;3//SP 15664;
D;013;313300;26;20030619 08:56;P;;;;;;
D;013;313300;26;20030619 08:56;P;;;;;;
D;013;313300;26;20030619 08:56;V;;;;;;
D;013;313300;26;20030619 08:56;V;;;;;;
B;013;314692;27;20030619 08:56;;;4;MONTEGO PL;TUNCURRY;2428;536.9;M;20021022;20021218;259000;A;R;RESIDENCE;;AA;AC;0;9453012;
C;013;314692;27;20030619 08:56;551//854151;
D;013;314692;27;20030619 08:56;P;;;;;;
D;013;314692;27;20030619 08:56;V;;;;;;
B;013;314744;28;20030619 08:56;;35;1;NORTH ST;TUNCURRY;2428;;;20030217;20030310;217500;;3;HOME UNIT;35;;XA;0;9450247;
C;013;314744;28;20030619 08:56;35//SP 20090;
D;013;314744;28;20030619 08:56;P;;;;;;
D;013;314744;28;20030619 08:56;V;;;;;;
D;013;314744;28;20030619 08:56;V;;;;;;
B;013;315022;29;20030619 08:56;;9;34 A;PARKES ST;TUNCURRY;2428;;;20030213;20030314;225000;;R;RESIDENCE;9;;XA;0;9466578;
C;013;315022;29;20030619 08:56;9//SP 19790;
D;013;315022;29;20030619 08:56;P;;;;;;
D;013;315022;29;20030619 08:56;P;;;;;;
D;013;315022;29;20030619 08:56;V;;;;;;
D;013;315022;29;20030619 08:56;V;;;;;;
D;013;315022;29;20030619 08:56;V;;;;;;
B;013;315073;30;20030619 08:56;;2;2;PARKWAY DVE;TUNCURRY;2428;;;20030203;20030313;285000;;R;RESIDENCE;2;;XA;0;9458037;
C;013;315073;30;20030619 08:56;2//SP 48129;
D;013;315073;30;20030619 08:56;P;;;;;;
D;013;315073;30;20030619 08:56;P;;;;;;
D;013;315073;30;20030619 08:56;V;;;;;;
D;013;315073;30;20030619 08:56;V;;;;;;
B;013;315197;31;20030619 08:56;;7;3;PEEL ST;TUNCURRY;2428;;;20030207;20030314;144000;;R;RESIDENCE;7;;XA;0;9457978;
C;013;315197;31;20030619 08:56;7//SP 9015;
D;013;315197;31;20030619 08:56;P;;;;;;
D;013;315197;31;20030619 08:56;V;;;;;;
D;013;315197;31;20030619 08:56;V;;;;;;
D;013;315197;31;20030619 08:56;V;;;;;;
B;013;315334;32;20030619 08:56;;8;33;POINT RD;TUNCURRY;2428;;;20030218;20030319;180000;;R;RESIDENCE;8;;XA;0;9466279;
C;013;315334;32;20030619 08:56;8//SP 16568;
D;013;315334;32;20030619 08:56;P;;;;;;
D;013;315334;32;20030619 08:56;V;;;;;;
D;013;315334;32;20030619 08:56;V;;;;;;
B;013;315558;33;20030619 08:56;TIMARU CLOSE;18;2;REST POINT PDE;TUNCURRY;2428;;;20030207;20030307;287000;;R;RESIDENCE;18;;XA;0;9454669;
C;013;315558;33;20030619 08:56;18//SP 30896;
D;013;315558;33;20030619 08:56;P;;;;;;
D;013;315558;33;20030619 08:56;P;;;;;;
D;013;315558;33;20030619 08:56;V;;;;;;
B;013;315653;34;20030619 08:56;;;1;SERRATA CT;TUNCURRY;2428;683.9;M;20020912;20030312;359000;A;R;RESIDENCE;;AA;AC;0;9458516;
C;013;315653;34;20030619 08:56;124//1008872;
D;013;315653;34;20030619 08:56;P;;;;;;
