A;254;20020102 13:59;PTHIRLWELL;
B;254;2683180;1;20020102 13:59;LOCKRAY;;;;WARREN;2824;2211.98;H;20010227;20010508;327945;R;3;FARM;;GA;RM;;7608769;
C;254;2683180;1;20020102 13:59;21, 22, 35, 36, 37, 38, 39, 40//751557 30, 31//751577;
D;254;2683180;1;20020102 13:59;P;;;;;;
D;254;2683180;1;20020102 13:59;V;;;;;;
B;254;2683198;2;20020102 13:59;THE PINES;;;;COLLIE;2827;1012;H;20010220;20010508;287500;R;R;RESIDENCE;;MA;RW;;7603285;
C;254;2683198;2;20020102 13:59;20, 4, 61, 62//752570;
D;254;2683198;2;20020102 13:59;P;;;;;;
D;254;2683198;2;20020102 13:59;V;;;;;;
B;254;2683332;3;20020102 13:59;GLENARA;;;;NEVERTIRE;2831;1468;H;20010228;20010319;499500;R;3;FARM;;TW;RMI;;7497653;
C;254;2683332;3;20020102 13:59;3, 30//755283 36, 5//755291 WA 010555 .;
D;254;2683332;3;20020102 13:59;P;;;;;;
D;254;2683332;3;20020102 13:59;V;;;;;;
B;254;2683337;4;20020102 13:59;COOBRAGAR;;;;WARREN;2824;489.2;H;20010629;20010816;835000;R;R;RESIDENCE;;TW;RW;;7867603;
C;254;2683337;4;20020102 13:59;1, 2//755284 WA 010555 .;
D;254;2683337;4;20020102 13:59;P;;;;;;
D;254;2683337;4;20020102 13:59;P;;;;;;
D;254;2683337;4;20020102 13:59;V;;;;;;
B;254;2683601;5;20020102 13:59;KESWICK;;;;NEVERTIRE;2831;1004;H;20010417;20010529;582800;R;3;FARM;;MD;RM;;7670873;
C;254;2683601;5;20020102 13:59;2//712720 18, 19//755293 WA 010555 .;
D;254;2683601;5;20020102 13:59;P;;;;;;
D;254;2683601;5;20020102 13:59;P;;;;;;
D;254;2683601;5;20020102 13:59;V;;;;;;
B;254;2683777;6;20020102 13:59;;;;PH NARROWEEMA;WARREN;2824;1693.33;H;20010717;20010910;1086100;R;3;RURAL;;EW;RW;;7980550;
C;254;2683777;6;20020102 13:59;11, 38, 39, 40, 41, //752592 19, 20//752596 2//878953 WA 010547 .;
D;254;2683777;6;20020102 13:59;P;;;;;;
D;254;2683777;6;20020102 13:59;P;;;;;;
D;254;2683777;6;20020102 13:59;V;;;;;;
B;254;2684132;7;20020102 13:59;;;18;COONAMBLE RD;WARREN;2824;885.2;M;20010212;20010328;45000;Z;R;RESIDENCE;;AE;AC;;7580605;
C;254;2684132;7;20020102 13:59;3//17976;
D;254;2684132;7;20020102 13:59;P;;;;;;
D;254;2684132;7;20020102 13:59;P;;;;;;
D;254;2684132;7;20020102 13:59;V;;;;;;
B;254;2684150;8;20020102 13:59;;;3;COONAMBLE RD;WARREN;2824;4301;M;20010501;20010531;775000;Z;3;MOTEL;;BB;BM;;7716851;
C;254;2684150;8;20020102 13:59;169//720328;
D;254;2684150;8;20020102 13:59;P;;;;;;
D;254;2684150;8;20020102 13:59;P;;;;;;
D;254;2684150;8;20020102 13:59;V;;;;;;
D;254;2684150;8;20020102 13:59;V;;;;;;
B;254;2684208;9;20020102 13:59;;;166;DUBBO ST;WARREN;2824;499.5;M;20010727;20010907;24000;Z;R;RESIDENCE;;BA;;;8196555;
C;254;2684208;9;20020102 13:59;3//658445;
D;254;2684208;9;20020102 13:59;P;;;;;;
D;254;2684208;9;20020102 13:59;V;;;;;;
B;254;2684332;10;20020102 13:59;;;15;FRAWLEY ST;WARREN;2824;771.4;M;20000214;20000406;110000;Z;R;RESIDENCE;;AE;AC;;7711260;
C;254;2684332;10;20020102 13:59;5//232812;
D;254;2684332;10;20020102 13:59;P;;;;;;
D;254;2684332;10;20020102 13:59;V;;;;;;
B;254;2684491;11;20020102 13:59;;;18;JOHNS AVE;WARREN;2824;935.8;M;20011105;20011128;12000;Z;R;RESIDENCE;;AE;;;8178684;
C;254;2684491;11;20020102 13:59;16//655301;
D;254;2684491;11;20020102 13:59;P;;;;;;
D;254;2684491;11;20020102 13:59;V;;;;;;
B;254;2684568;12;20020102 13:59;;;8;MILSON ST;WARREN;2824;1012;M;20010305;20010412;89000;Z;R;RESIDENCE;;AE;AC;;7589945;
C;254;2684568;12;20020102 13:59;41//2354;
D;254;2684568;12;20020102 13:59;P;;;;;;
D;254;2684568;12;20020102 13:59;P;;;;;;
D;254;2684568;12;20020102 13:59;V;;;;;;
D;254;2684568;12;20020102 13:59;V;;;;;;
B;254;2684573;13;20020102 13:59;;;3;MILSON ST;WARREN;2824;701.9;M;20010515;20010702;80000;Z;R;RESIDENCE;;AE;AC;;7874127;
C;254;2684573;13;20020102 13:59;5//17976;
D;254;2684573;13;20020102 13:59;P;;;;;;
D;254;2684573;13;20020102 13:59;P;;;;;;
D;254;2684573;13;20020102 13:59;V;;;;;;
D;254;2684573;13;20020102 13:59;V;;;;;;
B;254;2684757;14;20020102 13:59;;;10;STUBBS AVE;WARREN;2824;663.7;M;20010326;20010418;52000;Z;R;RESIDENCE;;AE;AC;;7583565;
