A;237;20030916 09:58;PDANN;
B;237;2629189;1;20030916 09:58;;;9;BULLINDA ST;BINNAWAY;2395;1012;M;20030701;20030725;52000;Z;R;RESIDENCE;;AX;;0;9947390;
C;237;2629189;1;20030916 09:58;B//375177;
D;237;2629189;1;20030916 09:58;P;;;;;;
D;237;2629189;1;20030916 09:58;V;;;;;;
B;237;2629257;2;20030916 09:58;;;6;GEORGE ST;BINNAWAY;2395;3743;M;20030723;20030904;2500;Z;V;VACANT LAND;;AX;;0;9959015;
C;237;2629257;2;20030916 09:58;66//754959;
D;237;2629257;2;20030916 09:58;P;;;;;;
D;237;2629257;2;20030916 09:58;V;;;;;;
D;237;2629257;2;20030916 09:58;V;;;;;;
B;237;2629299;3;20030916 09:58;;;12;NAPIER ST;BINNAWAY;2395;2023;M;20030507;20030826;12000;Z;R;RESIDENCE;;AX;;0;9955210;
C;237;2629299;3;20030916 09:58;16/1/758113;
D;237;2629299;3;20030916 09:58;P;;;;;;
D;237;2629299;3;20030916 09:58;V;;;;;;
D;237;2629299;3;20030916 09:58;V;;;;;;
B;237;2629301;4;20030916 09:58;;;8;NAPIER ST;BINNAWAY;2395;670.3;M;20030811;20030825;22000;Z;R;RESIDENCE;;AX;;0;9924922;
C;237;2629301;4;20030916 09:58;B//100662 B//100663;
D;237;2629301;4;20030916 09:58;P;;;;;;
D;237;2629301;4;20030916 09:58;P;;;;;;
D;237;2629301;4;20030916 09:58;V;;;;;;
B;237;2630097;5;20030916 09:58;;;7;CASSILIS ST;COONABARABRAN;2357;954.1;M;20030717;20030828;77000;Z;R;RESIDENCE;;AB;;0;9959218;
C;237;2630097;5;20030916 09:58;32//228722;
D;237;2630097;5;20030916 09:58;P;;;;;;
D;237;2630097;5;20030916 09:58;P;;;;;;
D;237;2630097;5;20030916 09:58;V;;;;;;
B;237;2630199;6;20030916 09:58;;;17;CHARLES ST;COONABARABRAN;2357;1163;M;20030602;20030627;86000;Z;R;RESIDENCE;;AB;;0;9931379;
C;237;2630199;6;20030916 09:58;5//14813;
D;237;2630199;6;20030916 09:58;P;;;;;;
D;237;2630199;6;20030916 09:58;V;;;;;;
B;237;2630343;7;20030916 09:58;;;95;DALGARNO ST;COONABARABRAN;2357;796.5;M;20030801;20030820;45000;Z;R;RESIDENCE;;AB;;0;9952123;
C;237;2630343;7;20030916 09:58;A//392466;
