A;138;20030501 12:44;PBARBER;
B;138;1399663;1;20030501 12:44;;;9;AIREDALE AVE;EARLWOOD;2206;360.4;M;20030305;20030416;560000;A;R;RESIDENCE;;XH;;;9552889;
C;138;1399663;1;20030501 12:44;14//12925;
D;138;1399663;1;20030501 12:44;P;;;;;;
D;138;1399663;1;20030501 12:44;V;;;;;;
D;138;1399663;1;20030501 12:44;V;;;;;;
B;138;1399969;2;20030501 12:44;;21;75;ALICE ST;LAKEMBA;2195;;;20030226;20030410;170000;;R;RESIDENCE;21;;;;9549583;
C;138;1399969;2;20030501 12:44;21//SP 1330;
D;138;1399969;2;20030501 12:44;P;;;;;;
D;138;1399969;2;20030501 12:44;V;;;;;;
B;138;1399969;3;20030501 12:44;;41;75;ALICE ST;LAKEMBA;2195;;;20030226;20030410;170000;;R;RESIDENCE;41;;;;9549583;
C;138;1399969;3;20030501 12:44;41//SP 1330;
D;138;1399969;3;20030501 12:44;P;;;;;;
D;138;1399969;3;20030501 12:44;V;;;;;;
B;138;1400030;4;20030501 12:44;;8;73;ALICE ST;LAKEMBA;2195;;;20030212;20030321;165000;;R;RESIDENCE;8;;;;9525869;
C;138;1400030;4;20030501 12:44;8//SP 5894;
D;138;1400030;4;20030501 12:44;P;;;;;;
D;138;1400030;4;20030501 12:44;V;;;;;;
D;138;1400030;4;20030501 12:44;V;;;;;;
B;138;1400066;5;20030501 12:44;;20;55;ALICE ST;LAKEMBA;2195;;;20030227;20030328;152000;;R;RESIDENCE;20;;;;9551263;
C;138;1400066;5;20030501 12:44;20//SP 2093;
D;138;1400066;5;20030501 12:44;P;;;;;;
D;138;1400066;5;20030501 12:44;V;;;;;;
B;138;1401157;6;20030501 12:44;;;5;ARMITREE ST;KINGSGROVE;2208;600.7;M;20021120;20021220;890000;A;R;RESIDENCE;;XR;AC;;9263665;
C;138;1401157;6;20030501 12:44;5//35773;
D;138;1401157;6;20030501 12:44;P;;;;;;
D;138;1401157;6;20030501 12:44;P;;;;;;
D;138;1401157;6;20030501 12:44;P;;;;;;
D;138;1401157;6;20030501 12:44;P;;;;;;
D;138;1401157;6;20030501 12:44;P;;;;;;
D;138;1401157;6;20030501 12:44;V;;;;;;
D;138;1401157;6;20030501 12:44;V;;;;;;
D;138;1401157;6;20030501 12:44;V;;;;;;
B;138;1401831;7;20030501 12:44;;4;34;BALTIMORE ST;BELFIELD;2191;;;20030116;20030328;310000;;R;RESIDENCE;4;;;;9550135;
C;138;1401831;7;20030501 12:44;4//SP 6095;
D;138;1401831;7;20030501 12:44;P;;;;;;
D;138;1401831;7;20030501 12:44;P;;;;;;
D;138;1401831;7;20030501 12:44;V;;;;;;
D;138;1401831;7;20030501 12:44;V;;;;;;
B;138;1401831;8;20030501 12:44;;9;34;BALTIMORE ST;BELFIELD;2191;;;20030328;20030415;320000;;R;RESIDENCE;9;;;;9541235;
C;138;1401831;8;20030501 12:44;9//SP 6095;
D;138;1401831;8;20030501 12:44;P;;;;;;
D;138;1401831;8;20030501 12:44;V;;;;;;
B;138;1401974;9;20030501 12:44;;;14;BANKSIDE AVE;EARLWOOD;2206;;;20021123;20030210;551000;A;R;RESIDENCE;;XD;AC;;9371648;
C;138;1401974;9;20030501 12:44;11//7627;
D;138;1401974;9;20030501 12:44;P;;;;;;
D;138;1401974;9;20030501 12:44;V;;;;;;
B;138;1402288;10;20030501 12:44;;;49;BAYVIEW AVE;EARLWOOD;2206;465.9;M;20021015;20021126;560000;A;R;RESIDENCE;;XD;AC;;9200257;
C;138;1402288;10;20030501 12:44;B//325857;
D;138;1402288;10;20030501 12:44;P;;;;;;
D;138;1402288;10;20030501 12:44;P;;;;;;
D;138;1402288;10;20030501 12:44;V;;;;;;
B;138;1402565;11;20030501 12:44;;;273;BEAMISH ST;CAMPSIE;2194;208.7;M;20030311;20030417;1510000;B;3;SHOP;;BA;;;9547822;
C;138;1402565;11;20030501 12:44;3//347492;
D;138;1402565;11;20030501 12:44;P;;;;;;
D;138;1402565;11;20030501 12:44;V;;;;;;
B;138;1402729;12;20030501 12:44;;5;50;BEAMISH ST;CAMPSIE;2194;;;20030207;20030408;281500;;R;RESIDENCE;5;;;;9523084;
C;138;1402729;12;20030501 12:44;5//SP 7393;
D;138;1402729;12;20030501 12:44;P;;;;;;
