A;058;20031216 12:03;PDANN;
B;058;525223;1;20031216 12:03;;;78;FIRST AVE;GUNDAGAI;2722;674.2;M;20030923;20031107;156000;Z;R;RESIDENCE;;AR;;0;AA189733;
C;058;525223;1;20031216 12:03;1//633930;
D;058;525223;1;20031216 12:03;P;;;;;;
D;058;525223;1;20031216 12:03;P;;;;;;
D;058;525223;1;20031216 12:03;V;;;;;;
D;058;525223;1;20031216 12:03;V;;;;;;
B;058;525500;2;20031216 12:03;;;24;MOUNT ST;GUNDAGAI;2722;2023;M;20031009;20031031;28000;Z;R;RESIDENCE;;AR;;0;AA194100;
C;058;525500;2;20031216 12:03;3/6/758915;
D;058;525500;2;20031216 12:03;P;;;;;;
D;058;525500;2;20031216 12:03;P;;;;;;
D;058;525500;2;20031216 12:03;V;;;;;;
B;058;525588;3;20031216 12:03;;;2;O'HAGEN ST;GUNDAGAI;2722;1482;M;20031103;20031201;171500;Z;R;RESIDENCE;;AR;;0;AA234983;
C;058;525588;3;20031216 12:03;2//631507;
D;058;525588;3;20031216 12:03;P;;;;;;
D;058;525588;3;20031216 12:03;V;;;;;;
B;058;525604;4;20031216 12:03;;;63;OTWAY ST;GUNDAGAI;2722;1119;M;20031010;20031031;120000;Z;R;RESIDENCE;;AR;;0;AA214738;
C;058;525604;4;20031216 12:03;5/51/758785;
D;058;525604;4;20031216 12:03;P;;;;;;
D;058;525604;4;20031216 12:03;V;;;;;;
B;058;526607;5;20031216 12:03;;;;PH MOONEY MOONEY;GUNDAGAI;2722;632.7;H;20030814;20030930;1485325;Z;3;FARM;;GG;;0;AA187459;
C;058;526607;5;20031216 12:03;1//538569 46, 117, 118, 119, 265, 296, 316, 317, 318, 322, 341, 351, 3;
C;058;526607;5;20031216 12:03;52//753622;
D;058;526607;5;20031216 12:03;P;;;;;;
D;058;526607;5;20031216 12:03;P;;;;;;
D;058;526607;5;20031216 12:03;V;;;;;;
D;058;526607;5;20031216 12:03;V;;;;;;
B;058;2833440;6;20031216 12:03;NARGOON;;;NANGUS JUNEE RD;GUNDAGAI;2722;26.35;H;20030808;20031120;160000;Z;3;FARM;;HC;;0;AA218803;
C;058;2833440;6;20031216 12:03;22//1021989;
D;058;2833440;6;20031216 12:03;P;;;;;;
D;058;2833440;6;20031216 12:03;P;;;;;;
D;058;2833440;6;20031216 12:03;P;;;;;;
D;058;2833440;6;20031216 12:03;V;;;;;;
D;058;2833440;6;20031216 12:03;V;;;;;;
D;058;2833440;6;20031216 12:03;V;;;;;;
D;058;2833440;6;20031216 12:03;V;;;;;;
D;058;2833440;6;20031216 12:03;V;;;;;;
D;058;2833440;6;20031216 12:03;V;;;;;;
B;058;3039223;7;20031216 12:03;;;LOT20;BOURKE ST;GUNDAGAI;2722;;;20030814;20031124;25000;;V;VACANT LAND;;;;0;AA214477;
C;058;3039223;7;20031216 12:03;20//1058565;
D;058;3039223;7;20031216 12:03;P;;;;;;
D;058;3039223;7;20031216 12:03;V;;;;;;
D;058;3039223;7;20031216 12:03;V;;;;;;
Z;44;7;8;27;
