A;RTSALEDATA;301;20250526 01:21;VALNET;
B;301;3415697;1;20250526 01:21;CONNAMARA;;530;WARRAH RIDGE RD;QUIRINDI;2343;565.9;H;20250407;20250520;18840000;RU1;3;FARM;;RBS;;0;AV76213;
C;301;3415697;1;20250526 01:21;1/205006 2, 3/231153 A, B/385693 88, 187/751006 1/795819 22/879221 1, ;
C;301;3415697;1;20250526 01:21;2/1089490 1/1128759;
D;301;3415697;1;20250526 01:21;P;;;;;;
D;301;3415697;1;20250526 01:21;V;;;;;;
D;301;3415697;1;20250526 01:21;V;;;;;;
B;301;1877403;2;20250526 01:21;;;280;WARRAH RIDGE RD;QUIRINDI;2343;3.205;H;20250404;20250516;825000;RU1;3;FARM;;RFL;;0;AV66568;
C;301;1877403;2;20250526 01:21;77/7215;
D;301;1877403;2;20250526 01:21;P;;;;;;
D;301;1877403;2;20250526 01:21;P;;;;;;
D;301;1877403;2;20250526 01:21;V;;;;;;
B;301;1872658;3;20250526 01:21;;;65;DEEKS RD;WERRIS CREEK;2341;1.55;H;20250407;20250519;659500;R1;R;RESIDENCE;;AWD;;0;AV70820;
C;301;1872658;3;20250526 01:21;4/B/29984;
D;301;1872658;3;20250526 01:21;P;;;;;;
D;301;1872658;3;20250526 01:21;V;;;;;;
B;301;2653418;4;20250526 01:21;;;38;NEW ENGLAND HWY;WILLOW TREE;2339;1012;M;20250410;20250522;250000;RU5;R;RESIDENCE;;AWT;;0;AV83347;
C;301;2653418;4;20250526 01:21;7/C/192655;
D;301;2653418;4;20250526 01:21;P;;;;;;
D;301;2653418;4;20250526 01:21;V;;;;;;
B;301;4427146;5;20250526 01:21;;;450;WARRAH RIDGE RD;QUIRINDI;2343;246.4;H;20250407;20250520;18840000;RU1;3;FARM;;RBS;;0;AV76213;
C;301;4427146;5;20250526 01:21;1/1282699;
D;301;4427146;5;20250526 01:21;P;;;;;;
D;301;4427146;5;20250526 01:21;V;;;;;;
D;301;4427146;5;20250526 01:21;V;;;;;;
Z;26;5;6;13;
