A;162;20110801 02:22;VALNET;
B;162;2987956;1;20110801 02:22;;;16;JESSIE CL;HARRINGTON;2427;702;M;20110614;20110712;115000;R1;V;VACANT LAND;;DF;;0;AG388365;
C;162;2987956;1;20110801 02:22;2469/1049495;
D;162;2987956;1;20110801 02:22;P;;;;;;
D;162;2987956;1;20110801 02:22;P;;;;;;
D;162;2987956;1;20110801 02:22;V;;;;;;
B;162;1773437;2;20110801 02:22;;;12;KHAPPINGHAT CL;RAINBOW FLAT;2430;9190;M;20110311;20110711;149000;R5;V;VACANT LAND;;GA;;0;AG375038;
C;162;1773437;2;20110801 02:22;54/261980;
D;162;1773437;2;20110801 02:22;P;;;;;;
D;162;1773437;2;20110801 02:22;P;;;;;;
D;162;1773437;2;20110801 02:22;V;;;;;;
B;162;1782051;3;20110801 02:22;;;98;BUSHLAND DR;TAREE;2430;822.3;M;20110526;20110707;140000;R1;R;RESIDENCE;;BM;;0;AG378424;
C;162;1782051;3;20110801 02:22;220/253913;
D;162;1782051;3;20110801 02:22;P;;;;;;
D;162;1782051;3;20110801 02:22;V;;;;;;
D;162;1782051;3;20110801 02:22;V;;;;;;
B;162;1779604;4;20110801 02:22;;;112;MT PLEASANT RD;WHERROL FLAT;2429;5.966;H;20110526;20110707;335000;RU1;R;RESIDENCE;;GG;;0;AG372870;
C;162;1779604;4;20110801 02:22;14/789224 Enclosure Permit 195332;
D;162;1779604;4;20110801 02:22;P;;;;;;
D;162;1779604;4;20110801 02:22;P;;;;;;
D;162;1779604;4;20110801 02:22;V;;;;;;
B;162;1788448;5;20110801 02:22;;;103;WYNTER ST;TAREE;2430;607;M;20110606;20110714;250000;R1;R;RESIDENCE;;BK;;0;AG380649;
C;162;1788448;5;20110801 02:22;37/507853;
D;162;1788448;5;20110801 02:22;P;;;;;;
D;162;1788448;5;20110801 02:22;V;;;;;;
B;162;1777272;6;20110801 02:22;;;9;ELIZABETH ST;CROWDY HEAD;2427;714.5;M;20110627;20110627;106250;RU5;R;RESIDENCE;;DP;;12;AG373589;
C;162;1777272;6;20110801 02:22;1/4/758310;
D;162;1777272;6;20110801 02:22;P;;;;;;
D;162;1777272;6;20110801 02:22;P;;;;;;
D;162;1777272;6;20110801 02:22;V;;;;;;
D;162;1777272;6;20110801 02:22;V;;;;;;
D;162;1777272;6;20110801 02:22;V;;;;;;
D;162;1777272;6;20110801 02:22;V;;;;;;
B;162;1777272;7;20110801 02:22;;;9;ELIZABETH ST;CROWDY HEAD;2427;714.5;M;20110701;20110701;106250;RU5;R;RESIDENCE;;DP;;12;AG373590;
C;162;1777272;7;20110801 02:22;1/4/758310;
D;162;1777272;7;20110801 02:22;P;;;;;;
D;162;1777272;7;20110801 02:22;P;;;;;;
D;162;1777272;7;20110801 02:22;V;;;;;;
D;162;1777272;7;20110801 02:22;V;;;;;;
D;162;1777272;7;20110801 02:22;V;;;;;;
D;162;1777272;7;20110801 02:22;V;;;;;;
B;162;1782842;8;20110801 02:22;;;84;COWPER ST;TAREE;2430;733.5;M;20110527;20110708;185000;R1;R;RESIDENCE;;BR;;0;AG389902;
C;162;1782842;8;20110801 02:22;16/23904;
D;162;1782842;8;20110801 02:22;P;;;;;;
D;162;1782842;8;20110801 02:22;V;;;;;;
B;162;1785679;9;20110801 02:22;;;11;NARLA PL;TAREE;2430;500.6;M;20110610;20110708;204000;R1;R;RESIDENCE;;BR;;0;AG370864;
C;162;1785679;9;20110801 02:22;1070/837887;
D;162;1785679;9;20110801 02:22;P;;;;;;
D;162;1785679;9;20110801 02:22;P;;;;;;
D;162;1785679;9;20110801 02:22;V;;;;;;
B;162;1780538;10;20110801 02:22;;;6;MANNING ST;MANNING POINT;2430;632.3;M;20110621;20110701;270000;RU5;R;RESIDENCE;;DD;;0;AG386140;
C;162;1780538;10;20110801 02:22;6/3/28873;
D;162;1780538;10;20110801 02:22;P;;;;;;
D;162;1780538;10;20110801 02:22;V;;;;;;
B;162;1775343;11;20110801 02:22;;;60;KOOMBALA CL;HILLVILLE;2430;41.47;H;20110621;20110718;285000;RU4;R;RESIDENCE;;MF;;0;AG386824;
C;162;1775343;11;20110801 02:22;145/753152;
D;162;1775343;11;20110801 02:22;P;;;;;;
D;162;1775343;11;20110801 02:22;P;;;;;;
D;162;1775343;11;20110801 02:22;V;;;;;;
D;162;1775343;11;20110801 02:22;V;;;;;;
B;162;1778185;12;20110801 02:22;;;9;ELECTRA PDE;HARRINGTON;2427;711.8;M;20110601;20110713;110000;R1;V;VACANT LAND;;DF;;0;AG376245;
C;162;1778185;12;20110801 02:22;56/1008811;
D;162;1778185;12;20110801 02:22;P;;;;;;
D;162;1778185;12;20110801 02:22;P;;;;;;
D;162;1778185;12;20110801 02:22;V;;;;;;
B;162;3024522;13;20110801 02:22;;;41;EMERALD DR;DIAMOND BEACH;2430;720;M;20110628;20110712;250000;R1;V;VACANT LAND;;TT;;0;AG373306;
C;162;3024522;13;20110801 02:22;66/1053691;
D;162;3024522;13;20110801 02:22;P;;;;;;
D;162;3024522;13;20110801 02:22;V;;;;;;
D;162;3024522;13;20110801 02:22;V;;;;;;
B;162;3528894;14;20110801 02:22;;;22;COTTESLOE CCT;RED HEAD;2430;587.1;M;20110114;20110713;195000;R1;V;VACANT LAND;;SS;;0;AG376265;
C;162;3528894;14;20110801 02:22;802/1153960;
D;162;3528894;14;20110801 02:22;P;;;;;;
D;162;3528894;14;20110801 02:22;P;;;;;;
D;162;3528894;14;20110801 02:22;V;;;;;;
B;162;3592507;15;20110801 02:22;;;19;MARINE DR;WALLABI POINT;2430;543.8;M;20110506;20110630;428000;;R;RESIDENCE;;;;0;AG351728;
