A;248;20030716 14:09;PDANN;
B;248;2660428;1;20030716 14:09;;;;PH BOYD;GLEN INNES;2370;124.4;H;20030402;20030701;400000;R;3;FARM;;SL;;0;9763076;
C;248;2660428;1;20030716 14:09;170//753267;
D;248;2660428;1;20030716 14:09;P;;;;;;
D;248;2660428;1;20030716 14:09;P;;;;;;
D;248;2660428;1;20030716 14:09;V;;;;;;
B;248;2660625;2;20030716 14:09;;;;FORBES ST;DEEPWATER;2371;2125;M;20030218;20030702;40000;Z;R;RESIDENCE;;VD;;0;9770780;
C;248;2660625;2;20030716 14:09;15, 16/11/758344;
D;248;2660625;2;20030716 14:09;P;;;;;;
D;248;2660625;2;20030716 14:09;P;;;;;;
D;248;2660625;2;20030716 14:09;P;;;;;;
D;248;2660625;2;20030716 14:09;P;;;;;;
D;248;2660625;2;20030716 14:09;V;;;;;;
B;248;2660660;3;20030716 14:09;;;;GOUGH ST;DEEPWATER;2371;1657;M;20030602;20030616;60000;Z;R;RESIDENCE;;VD;;0;9754531;
C;248;2660660;3;20030716 14:09;2/29/758344;
D;248;2660660;3;20030716 14:09;P;;;;;;
D;248;2660660;3;20030716 14:09;P;;;;;;
D;248;2660660;3;20030716 14:09;V;;;;;;
B;248;2660679;4;20030716 14:09;;;;SEVERN ST;DEEPWATER;2371;1720;M;20030530;20030530;3000;Z;V;VACANT LAND;;VD;;0;9731549;
C;248;2660679;4;20030716 14:09;1//845005;
D;248;2660679;4;20030716 14:09;P;;;;;;
D;248;2660679;4;20030716 14:09;V;;;;;;
B;248;2660874;5;20030716 14:09;;;;PH FLETCHER;GLEN INNES;2370;215.3;H;20030424;20030627;684000;R;3;FARM;;HM;;0;9783167;
C;248;2660874;5;20030716 14:09;8, 9, 49//753280;
D;248;2660874;5;20030716 14:09;P;;;;;;
D;248;2660874;5;20030716 14:09;V;;;;;;
B;248;2661011;6;20030716 14:09;;;;PH HIGHLAND HOME;GLEN INNES;2370;537.3;H;20030403;20030630;70000;R;3;;;AL;;0;9754452;
C;248;2661011;6;20030716 14:09;20, 23//753286;
D;248;2661011;6;20030716 14:09;P;;;;;;
D;248;2661011;6;20030716 14:09;P;;;;;;
D;248;2661011;6;20030716 14:09;V;;;;;;
D;248;2661011;6;20030716 14:09;V;;;;;;
D;248;2661011;6;20030716 14:09;V;;;;;;
B;248;2661011;7;20030716 14:09;;;;PH HIGHLAND HOME;GLEN INNES;2370;537.3;H;20030612;20030630;195000;R;V;VACANT LAND;;AL;;0;9754453;
C;248;2661011;7;20030716 14:09;20, 23//753286;
D;248;2661011;7;20030716 14:09;P;;;;;;
D;248;2661011;7;20030716 14:09;P;;;;;;
D;248;2661011;7;20030716 14:09;P;;;;;;
D;248;2661011;7;20030716 14:09;P;;;;;;
D;248;2661011;7;20030716 14:09;V;;;;;;
D;248;2661011;7;20030716 14:09;V;;;;;;
D;248;2661011;7;20030716 14:09;V;;;;;;
B;248;2661291;8;20030716 14:09;TARA;;397;SHAWS RD;DEEPWATER;2371;234;H;20030513;20030605;420000;R;V;VACANT LAND;;KM;;0;9718571;
C;248;2661291;8;20030716 14:09;2//606953;
D;248;2661291;8;20030716 14:09;P;;;;;;
D;248;2661291;8;20030716 14:09;P;;;;;;
D;248;2661291;8;20030716 14:09;V;;;;;;
B;248;2661943;9;20030716 14:09;;;;PH WATERLOO;GLEN INNES;2370;417.1;H;20030529;20030623;590000;R;3;FARM;;DL;;0;9740540;
C;248;2661943;9;20030716 14:09;1//714164;
D;248;2661943;9;20030716 14:09;P;;;;;;
D;248;2661943;9;20030716 14:09;V;;;;;;
B;248;3001413;10;20030716 14:09;MORILLA;;;WELLINGROVE RD;GLEN INNES;2370;475.02;H;20030516;20030516;150000;;3;FARM;;;;0;9740038;
C;248;3001413;10;20030716 14:09;42, 44, 45, 46, 47, 48, 49, 52, 53, 101, 105, 121, 239, 243, 42A//7532;
C;248;3001413;10;20030716 14:09;74;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;P;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
D;248;3001413;10;20030716 14:09;V;;;;;;
B;248;3001746;11;20030716 14:09;;;222;SCHRODERS RD;EMMAVILLE;2371;1161;H;20030403;20030618;275000;;3;FARM;;;;0;9723826;
C;248;3001746;11;20030716 14:09;32, 33, 49, 61, 163, 288//753314 2//1008294;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;P;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
D;248;3001746;11;20030716 14:09;V;;;;;;
Z;143;11;12;118;
