A;560;20110801 02:38;VALNET;
B;560;531067;1;20110801 02:38;;2;108;ADAMS ST;JINDERA;2642;;;20110701;20110708;200000;;R;RESIDENCE;2;;;0;AG371605;
C;560;531067;1;20110801 02:38;2/SP62923;
D;560;531067;1;20110801 02:38;P;;;;;;
D;560;531067;1;20110801 02:38;P;;;;;;
D;560;531067;1;20110801 02:38;V;;;;;;
B;560;519142;2;20110801 02:38;;;38;COMER ST;HENTY;2658;1391;M;20110614;20110712;130000;Z;R;RESIDENCE;;AM;;0;AG383271;
C;560;519142;2;20110801 02:38;8/10937;
D;560;519142;2;20110801 02:38;P;;;;;;
D;560;519142;2;20110801 02:38;V;;;;;;
B;560;520019;3;20110801 02:38;;;64;BALFOUR ST;CULCAIRN;2660;1012;M;20110615;20110711;145000;Z;R;RESIDENCE;;CA;;0;AG383532;
C;560;520019;3;20110801 02:38;3/667319;
D;560;520019;3;20110801 02:38;P;;;;;;
D;560;520019;3;20110801 02:38;V;;;;;;
B;560;3592090;4;20110801 02:38;;;;MAZZOCHI RD;MORVEN;2660;6.661;H;20110604;20110708;60000;;3;FARM/RURAL;;;;0;AG367580;
C;560;3592090;4;20110801 02:38;5, 6/112808 183/753751 1, 2, 3, 4, 5, 6, PT 7, PT 8/3/758711 1, 2, 3, ;
C;560;3592090;4;20110801 02:38;4, 5, 6, 7, 8/4/758711 1, 2, 3, 4, 5, 6/8/758711;
D;560;3592090;4;20110801 02:38;P;;;;;;
D;560;3592090;4;20110801 02:38;P;;;;;;
D;560;3592090;4;20110801 02:38;V;;;;;;
B;560;3592105;5;20110801 02:38;;;;ALBURY ST;HOLBROOK;2644;;;20101209;20110526;47300;;V;VACANT LAND;;;;0;AG275624;
C;560;3592105;5;20110801 02:38;PT 3, PT 5/260516;
D;560;3592105;5;20110801 02:38;P;;;;;;
D;560;3592105;5;20110801 02:38;P;;;;;;
D;560;3592105;5;20110801 02:38;V;;;;;;
B;560;3592108;6;20110801 02:38;;;;;CULCAIRN;2660;2.425;H;20100825;20110617;5812;;V;VACANT LAND;;;;0;AG350286;
C;560;3592108;6;20110801 02:38;;
D;560;3592108;6;20110801 02:38;P;;;;;;
D;560;3592108;6;20110801 02:38;V;;;;;;
B;560;528406;7;20110801 02:38;;;11;VINE ST;HOLBROOK;2644;2023;M;20110523;20110624;290000;A;R;RESIDENCE;;TE;;0;AG379790;
C;560;528406;7;20110801 02:38;18, 19/35/758522;
D;560;528406;7;20110801 02:38;P;;;;;;
D;560;528406;7;20110801 02:38;P;;;;;;
D;560;528406;7;20110801 02:38;V;;;;;;
D;560;528406;7;20110801 02:38;V;;;;;;
B;560;531334;8;20110801 02:38;;;89;URANA ST;JINDERA;2642;1012;M;20110518;20110629;180000;A;3;COMMERCIAL;;CJ;;0;AG379588;
C;560;531334;8;20110801 02:38;81/710481;
D;560;531334;8;20110801 02:38;P;;;;;;
D;560;531334;8;20110801 02:38;V;;;;;;
Z;40;8;9;21;
