A;RTSALEDATA;085;20250623 01:07;VALNET;
B;085;727672;1;20250623 01:07;;13;4;LANDENBURG PL;GREENWICH;2065;;;20250412;20250612;1105000;;R;RESIDENCE;13;;;;AV141988;
C;085;727672;1;20250623 01:07;13/SP688;
D;085;727672;1;20250623 01:07;P;;;;;;
D;085;727672;1;20250623 01:07;V;;;;;;
B;085;730447;2;20250623 01:07;;27;4;MURRAY ST;LANE COVE NORTH;2066;;;20250507;20250612;650000;;R;RESIDENCE;27;;;;AV141337;
C;085;730447;2;20250623 01:07;27/SP14849;
D;085;730447;2;20250623 01:07;P;;;;;;
D;085;730447;2;20250623 01:07;V;;;;;;
B;085;733195;3;20250623 01:07;;10;1;STOKES ST;LANE COVE NORTH;2066;;;20250506;20250617;915000;;R;RESIDENCE;10;;;;AV155433;
C;085;733195;3;20250623 01:07;10/SP22401;
D;085;733195;3;20250623 01:07;P;;;;;;
D;085;733195;3;20250623 01:07;P;;;;;;
D;085;733195;3;20250623 01:07;V;;;;;;
B;085;727857;4;20250623 01:07;;12;12;LANDERS RD;LANE COVE NORTH;2066;;;20250507;20250618;805000;;R;RESIDENCE;12;;;;AV157905;
C;085;727857;4;20250623 01:07;12/SP7472;
D;085;727857;4;20250623 01:07;P;;;;;;
D;085;727857;4;20250623 01:07;P;;;;;;
D;085;727857;4;20250623 01:07;V;;;;;;
B;085;4187503;5;20250623 01:07;;201;2;BIRDWOOD AVE;LANE COVE;2066;74;M;20250501;20250613;838000;;R;RESIDENCE;162;;;;AV144874;
C;085;4187503;5;20250623 01:07;162/SP98941;
D;085;4187503;5;20250623 01:07;P;;;;;;
D;085;4187503;5;20250623 01:07;V;;;;;;
B;085;4187503;6;20250623 01:07;;502;2;BIRDWOOD AVE;LANE COVE;2066;76;M;20250513;20250616;850500;;R;RESIDENCE;184;;;;AV152404;
C;085;4187503;6;20250623 01:07;184/SP98941;
D;085;4187503;6;20250623 01:07;P;;;;;;
D;085;4187503;6;20250623 01:07;V;;;;;;
D;085;4187503;6;20250623 01:07;V;;;;;;
B;085;4600963;7;20250623 01:07;;204;2;MERINDA ST;LANE COVE NORTH;2066;73;M;20250509;20250613;765000;;R;RESIDENCE;26;;;;AV145994;
C;085;4600963;7;20250623 01:07;26/SP109407;
D;085;4600963;7;20250623 01:07;P;;;;;;
D;085;4600963;7;20250623 01:07;P;;;;;;
D;085;4600963;7;20250623 01:07;V;;;;;;
B;085;3755432;8;20250623 01:07;;2406;1;NIELD AVE;GREENWICH;2065;98;M;20250515;20250617;770000;;R;RESIDENCE;42;;;;AV154211;
C;085;3755432;8;20250623 01:07;42/SP88789;
D;085;3755432;8;20250623 01:07;P;;;;;;
D;085;3755432;8;20250623 01:07;V;;;;;;
B;085;723032;9;20250623 01:07;;10;315;BURNS BAY RD;LANE COVE WEST;2066;;;20250501;20250612;915000;;R;RESIDENCE;10;;;;AV141237;
C;085;723032;9;20250623 01:07;10/SP10715;
D;085;723032;9;20250623 01:07;P;;;;;;
D;085;723032;9;20250623 01:07;P;;;;;;
D;085;723032;9;20250623 01:07;V;;;;;;
B;085;722351;10;20250623 01:07;;30;43;BURNS BAY RD;LANE COVE;2066;;;20250428;20250610;627000;;3;COMMERCIAL;30;;;;AV132776;
C;085;722351;10;20250623 01:07;30/SP34135;
D;085;722351;10;20250623 01:07;P;;;;;;
D;085;722351;10;20250623 01:07;V;;;;;;
B;085;721639;11;20250623 01:07;;40;300 C;BURNS BAY RD;LANE COVE;2066;;;20250502;20250613;970000;;R;RESIDENCE;40;;;;AV146471;
C;085;721639;11;20250623 01:07;40/SP6522;
D;085;721639;11;20250623 01:07;P;;;;;;
D;085;721639;11;20250623 01:07;P;;;;;;
D;085;721639;11;20250623 01:07;V;;;;;;
B;085;726046;12;20250623 01:07;;;41;HAMILTON ST;RIVERVIEW;2066;683.1;M;20250312;20250617;3800000;R2;R;RESIDENCE;;RAB;;;AV154230;
C;085;726046;12;20250623 01:07;53/12009;
D;085;726046;12;20250623 01:07;P;;;;;;
D;085;726046;12;20250623 01:07;P;;;;;;
D;085;726046;12;20250623 01:07;V;;;;;;
B;085;726642;13;20250623 01:07;;;7;HOLDEN ST;NORTHWOOD;2066;523.4;M;20250329;20250612;3501000;R2;R;RESIDENCE;;RAC;;;AV141302;
C;085;726642;13;20250623 01:07;54/58263 550/1131387;
D;085;726642;13;20250623 01:07;P;;;;;;
D;085;726642;13;20250623 01:07;P;;;;;;
D;085;726642;13;20250623 01:07;V;;;;;;
D;085;726642;13;20250623 01:07;V;;;;;;
B;085;726838;14;20250623 01:07;;22;4;HUXTABLE AVE;LANE COVE NORTH;2066;;;20250505;20250616;850000;;R;RESIDENCE;22;;;;AV151790;
C;085;726838;14;20250623 01:07;22/SP5122;
D;085;726838;14;20250623 01:07;P;;;;;;
D;085;726838;14;20250623 01:07;V;;;;;;
B;085;724453;15;20250623 01:07;;2;54;ELIZABETH PDE;LANE COVE NORTH;2066;;;20250517;20250612;2070000;;R;RESIDENCE;2;;;;AV142151;
C;085;724453;15;20250623 01:07;2/SP3977;
D;085;724453;15;20250623 01:07;P;;;;;;
D;085;724453;15;20250623 01:07;P;;;;;;
D;085;724453;15;20250623 01:07;V;;;;;;
D;085;724453;15;20250623 01:07;V;;;;;;
B;085;4391476;16;20250623 01:07;;1705;500;PACIFIC HWY;ST LEONARDS;2065;57;M;20250430;20250611;680000;;R;RESIDENCE;155;;;;AV137139;
C;085;4391476;16;20250623 01:07;155/SP102041;
D;085;4391476;16;20250623 01:07;P;;;;;;
D;085;4391476;16;20250623 01:07;V;;;;;;
B;085;4391476;17;20250623 01:07;;5603;500;PACIFIC HWY;ST LEONARDS;2065;154;M;20250429;20250617;2500000;;R;RESIDENCE;231;;;;AV153952;
C;085;4391476;17;20250623 01:07;231/SP102041;
D;085;4391476;17;20250623 01:07;P;;;;;;
D;085;4391476;17;20250623 01:07;P;;;;;;
D;085;4391476;17;20250623 01:07;V;;;;;;
D;085;4391476;17;20250623 01:07;V;;;;;;
B;085;4409769;18;20250623 01:07;;305;8;TAYLORS LANE;LANE COVE NORTH;2066;72;M;20250501;20250612;800000;;R;RESIDENCE;19;;;;AV141991;
C;085;4409769;18;20250623 01:07;19/SP104311;
D;085;4409769;18;20250623 01:07;P;;;;;;
D;085;4409769;18;20250623 01:07;P;;;;;;
D;085;4409769;18;20250623 01:07;V;;;;;;
B;085;4464183;19;20250623 01:07;;3908;88 A;CHRISTIE ST;ST LEONARDS;2065;134;M;20250430;20250611;3100000;;R;RESIDENCE;381;;;;AV137828;
C;085;4464183;19;20250623 01:07;381/SP104770;
D;085;4464183;19;20250623 01:07;P;;;;;;
D;085;4464183;19;20250623 01:07;V;;;;;;
B;085;4464183;20;20250623 01:07;;803;88 B;CHRISTIE ST;ST LEONARDS;2065;66;M;20250513;20250613;855000;;R;RESIDENCE;507;;;;AV147697;
C;085;4464183;20;20250623 01:07;507/SP104770;
D;085;4464183;20;20250623 01:07;P;;;;;;
D;085;4464183;20;20250623 01:07;V;;;;;;
D;085;4464183;20;20250623 01:07;V;;;;;;
B;085;3918423;21;20250623 01:07;;10;600;MOWBRAY RD W;LANE COVE NORTH;2066;104;M;20250618;20250618;1045000;;R;RESIDENCE;10;;;;AV158294;
C;085;3918423;21;20250623 01:07;10/SP89248;
D;085;3918423;21;20250623 01:07;P;;;;;;
D;085;3918423;21;20250623 01:07;P;;;;;;
D;085;3918423;21;20250623 01:07;V;;;;;;
B;085;4258430;22;20250623 01:07;;1006;486;PACIFIC HWY;ST LEONARDS;2065;;;20250505;20250616;1572000;;R;RESIDENCE;81;;;;AV151857;
C;085;4258430;22;20250623 01:07;81/SP99383;
D;085;4258430;22;20250623 01:07;P;;;;;;
D;085;4258430;22;20250623 01:07;V;;;;;;
Z;106;22;22;60;
