A;088;20110801 02:05;VALNET;
B;088;771699;1;20110801 02:05;;4;115;BEN BOYD RD;NEUTRAL BAY;2089;;;20110531;20110714;720000;;3;STRATA UNIT;4;;;0;AG379853;
C;088;771699;1;20110801 02:05;4/SP6656;
D;088;771699;1;20110801 02:05;P;;;;;;
D;088;771699;1;20110801 02:05;P;;;;;;
D;088;771699;1;20110801 02:05;V;;;;;;
B;088;774445;2;20110801 02:05;;7;10;BROOK ST;CROWS NEST;2065;;;20110527;20110708;435000;;R;RESIDENCE;7;;;0;AG367340;
C;088;774445;2;20110801 02:05;7/SP15164;
D;088;774445;2;20110801 02:05;P;;;;;;
D;088;774445;2;20110801 02:05;V;;;;;;
B;088;776979;3;20110801 02:05;;5;14;CRANBROOK AVE;CREMORNE;2090;;;20110420;20110713;690000;;R;RESIDENCE;5;;;0;AG376764;
C;088;776979;3;20110801 02:05;5/SP3453;
D;088;776979;3;20110801 02:05;P;;;;;;
D;088;776979;3;20110801 02:05;V;;;;;;
B;088;777186;4;20110801 02:05;;7;90;CREMORNE RD;CREMORNE POINT;2090;;;20110603;20110715;1430000;;R;RESIDENCE;7;;;0;AG383128;
C;088;777186;4;20110801 02:05;7/SP64252;
D;088;777186;4;20110801 02:05;P;;;;;;
D;088;777186;4;20110801 02:05;V;;;;;;
D;088;777186;4;20110801 02:05;V;;;;;;
D;088;777186;4;20110801 02:05;V;;;;;;
B;088;780040;5;20110801 02:05;;;188;FALCON ST;NORTH SYDNEY;2060;396.5;M;20110606;20110719;1275000;A;3;BOARDING HOUSE;;NF;;0;AG380422;
C;088;780040;5;20110801 02:05;4/587173;
D;088;780040;5;20110801 02:05;P;;;;;;
D;088;780040;5;20110801 02:05;V;;;;;;
B;088;780185;6;20110801 02:05;;;85;FALCON ST;CROWS NEST;2065;482.9;M;20100930;20110712;1150000;A;R;RESIDENCE;;NF;;0;AG379267;
C;088;780185;6;20110801 02:05;17/3/1720;
D;088;780185;6;20110801 02:05;P;;;;;;
D;088;780185;6;20110801 02:05;V;;;;;;
B;088;786490;7;20110801 02:05;;5;4;LAMONT ST;WOLLSTONECRAFT;2065;;;20110531;20110712;600000;;R;RESIDENCE;5;;;0;AG378116;
C;088;786490;7;20110801 02:05;5/SP9397;
D;088;786490;7;20110801 02:05;P;;;;;;
D;088;786490;7;20110801 02:05;P;;;;;;
D;088;786490;7;20110801 02:05;V;;;;;;
B;088;786543;8;20110801 02:05;;409;2;LANGLEY AVE;CREMORNE;2090;;;20110607;20110708;715000;;R;RESIDENCE;39;;;0;AG374068;
C;088;786543;8;20110801 02:05;39/SP61807;
D;088;786543;8;20110801 02:05;P;;;;;;
D;088;786543;8;20110801 02:05;V;;;;;;
D;088;786543;8;20110801 02:05;V;;;;;;
B;088;783240;9;20110801 02:05;;4;171;HIGH ST;NORTH SYDNEY;2060;;;20110607;20110719;480000;;R;RESIDENCE;4;;;0;AG380076;
C;088;783240;9;20110801 02:05;4/SP9902;
D;088;783240;9;20110801 02:05;P;;;;;;
D;088;783240;9;20110801 02:05;V;;;;;;
B;088;787753;10;20110801 02:05;;;5;MCLAREN ST;NORTH SYDNEY;2060;702;M;20110622;20110721;1760000;A;3;COMMERCIAL;;NF;;0;AG388493;
C;088;787753;10;20110801 02:05;1/104072;
D;088;787753;10;20110801 02:05;P;;;;;;
D;088;787753;10;20110801 02:05;V;;;;;;
B;088;778111;11;20110801 02:05;;;29;DORIS ST;NORTH SYDNEY;2060;183.4;M;20110402;20110526;1085000;A;R;RESIDENCE;;NC;;0;AG385019;
C;088;778111;11;20110801 02:05;B/441818;
D;088;778111;11;20110801 02:05;P;;;;;;
D;088;778111;11;20110801 02:05;V;;;;;;
B;088;783392;12;20110801 02:05;;22;106;HIGH ST;NORTH SYDNEY;2060;;;20110516;20110624;442000;;R;RESIDENCE;47;;;0;AG369343;
C;088;783392;12;20110801 02:05;47/SP8711;
D;088;783392;12;20110801 02:05;P;;;;;;
D;088;783392;12;20110801 02:05;P;;;;;;
D;088;783392;12;20110801 02:05;V;;;;;;
B;088;783478;13;20110801 02:05;;;70 C;HIGH ST;NORTH SYDNEY;2060;221.3;M;20110407;20110622;1230000;A;R;RESIDENCE;;ND;;0;AG389537;
C;088;783478;13;20110801 02:05;70/1106349;
D;088;783478;13;20110801 02:05;P;;;;;;
D;088;783478;13;20110801 02:05;P;;;;;;
D;088;783478;13;20110801 02:05;V;;;;;;
B;088;787206;14;20110801 02:05;;3;27 A;LYTTON ST;CAMMERAY;2062;;;20110607;20110719;525000;;R;RESIDENCE;3;;;0;AG386193;
C;088;787206;14;20110801 02:05;3/SP42992;
D;088;787206;14;20110801 02:05;P;;;;;;
D;088;787206;14;20110801 02:05;P;;;;;;
D;088;787206;14;20110801 02:05;V;;;;;;
B;088;780873;15;20110801 02:05;;9;87;GERARD ST;CREMORNE;2090;;;20110525;20110713;505000;;R;RESIDENCE;7;;;0;AG375985;
C;088;780873;15;20110801 02:05;7/SP11112;
D;088;780873;15;20110801 02:05;P;;;;;;
D;088;780873;15;20110801 02:05;V;;;;;;
B;088;786393;16;20110801 02:05;;11;8;KYNGDON ST;CAMMERAY;2062;;;20110606;20110718;740000;;3;HOME UNIT;11;;;0;AG383219;
C;088;786393;16;20110801 02:05;11/SP16982;
D;088;786393;16;20110801 02:05;P;;;;;;
D;088;786393;16;20110801 02:05;P;;;;;;
