A;109;20030619 09:05;PDANN;
B;109;1213313;1;20030619 09:05;;;;'HIAWATHA';CANOWINDRA;2804;202.16;H;20021107;20021118;400000;R;V;VACANT LAND;;RT;RM;0;9290981;
C;109;1213313;1;20030619 09:05;28, 77, 78, 79//750130;
D;109;1213313;1;20030619 09:05;P;;;;;;
D;109;1213313;1;20030619 09:05;V;;;;;;
D;109;1213313;1;20030619 09:05;V;;;;;;
B;109;1213430;2;20030619 09:05;BOREEHILLS;;;FORBES RD;ORANGE;2800;10.12;H;20021205;20021220;320000;R;3;FARM;;HB;RM;0;9300825;
C;109;1213430;2;20030619 09:05;2//540098;
D;109;1213430;2;20030619 09:05;P;;;;;;
D;109;1213430;2;20030619 09:05;P;;;;;;
D;109;1213430;2;20030619 09:05;V;;;;;;
B;109;1213622;3;20030619 09:05;;;;STARRS RD;MOLONG;2866;2441;M;20021207;20030207;1500;R;V;VACANT LAND;;RE;RM;0;9377490;
C;109;1213622;3;20030619 09:05;1//103777;
D;109;1213622;3;20030619 09:05;P;;;;;;
D;109;1213622;3;20030619 09:05;V;;;;;;
B;109;1213654;4;20030619 09:05;;;;PH BOREE CABONNE;CUDAL;2864;1189;M;20030109;20030109;77500;R;R;RESIDENCE;;RB;AC;0;9471746;
C;109;1213654;4;20030619 09:05;1//552314;
D;109;1213654;4;20030619 09:05;P;;;;;;
D;109;1213654;4;20030619 09:05;P;;;;;;
D;109;1213654;4;20030619 09:05;V;;;;;;
B;109;1214047;5;20030619 09:05;;;LOT76;GARRA RD;GARRA;2866;7594;M;20030129;20030226;43000;R;R;RESIDENCE;;HA;RR;0;9481851;
C;109;1214047;5;20030619 09:05;75, 76, 150//750141;
D;109;1214047;5;20030619 09:05;P;;;;;;
D;109;1214047;5;20030619 09:05;P;;;;;;
D;109;1214047;5;20030619 09:05;V;;;;;;
B;109;1214213;6;20030619 09:05;;;17;KING ST;YEOVAL;2868;2023;M;20021219;20030116;10000;Z;R;RESIDENCE;;VY;AC;0;9391166;
C;109;1214213;6;20030619 09:05;8/2/759140;
D;109;1214213;6;20030619 09:05;P;;;;;;
D;109;1214213;6;20030619 09:05;V;;;;;;
D;109;1214213;6;20030619 09:05;V;;;;;;
B;109;1214329;7;20030619 09:05;;;;'GLENWOOD';CUMNOCK;2867;122.8;H;20021223;20030128;2303750;R;3;FARM;;RM;RM;0;9381646;
C;109;1214329;7;20030619 09:05;11, 12//112234 62, 75, 132, 146//753225;
D;109;1214329;7;20030619 09:05;P;;;;;;
D;109;1214329;7;20030619 09:05;V;;;;;;
B;109;1214339;8;20030619 09:05;;;;'GLENWOOD';CUMNOCK;2867;120.7;H;20021223;20030128;2303750;R;3;FARM;;RM;RM;0;9381646;
C;109;1214339;8;20030619 09:05;126//753225;
D;109;1214339;8;20030619 09:05;P;;;;;;
D;109;1214339;8;20030619 09:05;V;;;;;;
D;109;1214339;8;20030619 09:05;V;;;;;;
B;109;1214474;9;20030619 09:05;;;;OBLEY ST;CUMNOCK;2867;1037;M;20030109;20030218;65000;Z;R;RESIDENCE;;VF;AC;0;9482827;
C;109;1214474;9;20030619 09:05;6//304217;
D;109;1214474;9;20030619 09:05;P;;;;;;
D;109;1214474;9;20030619 09:05;P;;;;;;
D;109;1214474;9;20030619 09:05;V;;;;;;
B;109;1214947;10;20030619 09:05;;;;FORBES ST;CARGO;2800;2212;M;20030113;20030224;75000;Z;R;RESIDENCE;;VA;AC;0;9478574;
C;109;1214947;10;20030619 09:05;4, 5//255573;
D;109;1214947;10;20030619 09:05;P;;;;;;
D;109;1214947;10;20030619 09:05;P;;;;;;
D;109;1214947;10;20030619 09:05;V;;;;;;
D;109;1214947;10;20030619 09:05;V;;;;;;
B;109;1215108;11;20030619 09:05;;;23;STRATHNOOK LANE;CLIFTON GROVE;2800;2.691;H;20030206;20030320;100000;R;V;VACANT LAND;;HB;RV;0;9476089;
C;109;1215108;11;20030619 09:05;23//1014699;
D;109;1215108;11;20030619 09:05;P;;;;;;
D;109;1215108;11;20030619 09:05;P;;;;;;
D;109;1215108;11;20030619 09:05;V;;;;;;
B;109;1215196;12;20030619 09:05;BUNDALEER;;;EUGOWRA RD;CANOWINDRA;2804;5.65;H;20021209;20030116;200000;R;R;RESIDENCE;;CN;RR;0;9369002;
C;109;1215196;12;20030619 09:05;1, 2//597968;
D;109;1215196;12;20030619 09:05;P;;;;;;
D;109;1215196;12;20030619 09:05;P;;;;;;
D;109;1215196;12;20030619 09:05;V;;;;;;
B;109;1215352;13;20030619 09:05;;;;BELMORE RD;CANOWINDRA;2804;4046;M;20030117;20030314;36000;Z;V;VACANT LAND;;NC;;0;9480212;
C;109;1215352;13;20030619 09:05;18//1040762;
D;109;1215352;13;20030619 09:05;P;;;;;;
D;109;1215352;13;20030619 09:05;P;;;;;;
D;109;1215352;13;20030619 09:05;V;;;;;;
D;109;1215352;13;20030619 09:05;V;;;;;;
B;109;1215643;14;20030619 09:05;;;;NORTH ST;CANOWINDRA;2804;5081.5;M;20021113;20030113;15000;Z;V;VACANT LAND;;NC;AV;0;9334391;
C;109;1215643;14;20030619 09:05;10, 11, 12//32670;
D;109;1215643;14;20030619 09:05;P;;;;;;
D;109;1215643;14;20030619 09:05;V;;;;;;
B;109;1215710;15;20030619 09:05;;;66;RODD ST;CANOWINDRA;2804;1118;M;20021220;20030224;110000;Z;R;RESIDENCE;;NC;AC;0;9412811;
C;109;1215710;15;20030619 09:05;A//163591;
D;109;1215710;15;20030619 09:05;P;;;;;;
D;109;1215710;15;20030619 09:05;P;;;;;;
D;109;1215710;15;20030619 09:05;V;;;;;;
B;109;1215905;16;20030619 09:05;;;84;TILGA ST;CANOWINDRA;2804;670;M;20030106;20030128;54000;Z;R;RESIDENCE;;NC;AC;0;9356611;
C;109;1215905;16;20030619 09:05;3/44/758221;
D;109;1215905;16;20030619 09:05;P;;;;;;
D;109;1215905;16;20030619 09:05;P;;;;;;
D;109;1215905;16;20030619 09:05;V;;;;;;
B;109;1216145;17;20030619 09:05;;;;BOREE ST;CUDAL;2864;2023;M;20021207;20030131;3100;Z;V;VACANT LAND;;VD;AV;0;9344338;
C;109;1216145;17;20030619 09:05;3/11/758311;
D;109;1216145;17;20030619 09:05;P;;;;;;
D;109;1216145;17;20030619 09:05;P;;;;;;
D;109;1216145;17;20030619 09:05;V;;;;;;
B;109;1216243;18;20030619 09:05;;;70;MAIN ST;CUDAL;2864;1299;M;20030116;20030212;105000;Z;R;RESIDENCE;;VD;AC;0;9380851;
C;109;1216243;18;20030619 09:05;2//247777;
D;109;1216243;18;20030619 09:05;P;;;;;;
D;109;1216243;18;20030619 09:05;P;;;;;;
D;109;1216243;18;20030619 09:05;V;;;;;;
D;109;1216243;18;20030619 09:05;V;;;;;;
B;109;1216249;19;20030619 09:05;;;59;MAIN ST;CUDAL;2864;1353;M;20021220;20030130;92000;Z;R;RESIDENCE;;VD;AC;0;9336576;
C;109;1216249;19;20030619 09:05;4/25/758311;
D;109;1216249;19;20030619 09:05;P;;;;;;
D;109;1216249;19;20030619 09:05;P;;;;;;
D;109;1216249;19;20030619 09:05;V;;;;;;
B;109;1216496;20;20030619 09:05;;;;BROAD ST;EUGOWRA;2806;619.7;M;20021207;20030123;1800;Z;V;VACANT LAND;;VJ;AV;0;9345086;
C;109;1216496;20;20030619 09:05;A//342046;
D;109;1216496;20;20030619 09:05;P;;;;;;
D;109;1216496;20;20030619 09:05;V;;;;;;
D;109;1216496;20;20030619 09:05;V;;;;;;
B;109;1216558;21;20030619 09:05;;;46;EVELYN ST;EUGOWRA;2806;1108;M;20030116;20030207;14000;Z;R;RESIDENCE;;VE;AC;0;9369591;
C;109;1216558;21;20030619 09:05;9//11639;
D;109;1216558;21;20030619 09:05;P;;;;;;
D;109;1216558;21;20030619 09:05;P;;;;;;
D;109;1216558;21;20030619 09:05;V;;;;;;
B;109;1216606;22;20030619 09:05;;;;KAREENA ST;EUGOWRA;2806;1012;M;20021207;20030123;1800;Z;V;VACANT LAND;;VE;AV;0;9345086;
C;109;1216606;22;20030619 09:05;201//750182;
D;109;1216606;22;20030619 09:05;P;;;;;;
D;109;1216606;22;20030619 09:05;V;;;;;;
B;109;1217173;23;20030619 09:05;;;6;GEORGE ST;MANILDRA;2865;2023;M;20030108;20030117;31000;Z;R;RESIDENCE;;VM;AC;0;9321076;
C;109;1217173;23;20030619 09:05;6/24/758643;
D;109;1217173;23;20030619 09:05;P;;;;;;
D;109;1217173;23;20030619 09:05;P;;;;;;
D;109;1217173;23;20030619 09:05;V;;;;;;
B;109;1217296;24;20030619 09:05;;;15;ORANGE ST;MANILDRA;2865;2023;M;20030117;20030221;35000;Z;R;RESIDENCE;;VM;AC;0;9405921;
C;109;1217296;24;20030619 09:05;4/22/758643;
D;109;1217296;24;20030619 09:05;P;;;;;;
D;109;1217296;24;20030619 09:05;V;;;;;;
B;109;1217403;25;20030619 09:05;;;;'BLUE HILLS';BALDRY;;441.9;H;20030122;20030305;150000;R;V;VACANT LAND;;RH;RR;0;9447772;
C;109;1217403;25;20030619 09:05;10, 11//753239;
D;109;1217403;25;20030619 09:05;P;;;;;;
D;109;1217403;25;20030619 09:05;P;;;;;;
D;109;1217403;25;20030619 09:05;V;;;;;;
B;109;1217669;26;20030619 09:05;;;;;CLERGATE;2800;3;H;20021207;20030203;3000;R;V;VACANT LAND;;HB;RV;0;9350616;
C;109;1217669;26;20030619 09:05;1//254336;
D;109;1217669;26;20030619 09:05;P;;;;;;
D;109;1217669;26;20030619 09:05;P;;;;;;
D;109;1217669;26;20030619 09:05;V;;;;;;
B;109;1217691;27;20030619 09:05;;;;"WYBALENA";MOLONG;2866;129.5;H;20021217;20030221;244000;R;3;FARM;;RM;RM;0;9458954;
C;109;1217691;27;20030619 09:05;19//750169;
D;109;1217691;27;20030619 09:05;P;;;;;;
D;109;1217691;27;20030619 09:05;V;;;;;;
D;109;1217691;27;20030619 09:05;V;;;;;;
B;109;1219233;28;20030619 09:05;;;;FORBES RD;ORANGE;2800;2023;M;20021207;20030203;1500;Z;V;VACANT LAND;;VT;AV;0;9370498;
C;109;1219233;28;20030619 09:05;;
D;109;1219233;28;20030619 09:05;P;;;;;;
D;109;1219233;28;20030619 09:05;V;;;;;;
B;109;1219265;29;20030619 09:05;;;;HEIFER STATION LANE;NASHDALE;2800;4.398;H;20021025;20021205;285000;R;R;RESIDENCE;;HB;RR;0;9303830;
C;109;1219265;29;20030619 09:05;A//110474;
D;109;1219265;29;20030619 09:05;P;;;;;;
D;109;1219265;29;20030619 09:05;V;;;;;;
B;109;1219289;30;20030619 09:05;MOUNT CANOBOLAS VINEYARD;;;CALDWELL RD;BORENORE;2800;42.98;H;19951030;20030212;637500;R;3;VINEYARD;;CV;RP;0;9416709;
C;109;1219289;30;20030619 09:05;1//789776;
D;109;1219289;30;20030619 09:05;P;;;;;;
D;109;1219289;30;20030619 09:05;V;;;;;;
D;109;1219289;30;20030619 09:05;V;;;;;;
B;109;1219541;31;20030619 09:05;;;;PH WOLABLER;MANILDRA;2865;534.1;H;20030109;20030219;300000;R;3;FARM;;RH;RG;0;9467874;
C;109;1219541;31;20030619 09:05;7, 8, 49, 50, 102//750188;
D;109;1219541;31;20030619 09:05;P;;;;;;
D;109;1219541;31;20030619 09:05;P;;;;;;
D;109;1219541;31;20030619 09:05;P;;;;;;
D;109;1219541;31;20030619 09:05;P;;;;;;
D;109;1219541;31;20030619 09:05;V;;;;;;
D;109;1219541;31;20030619 09:05;V;;;;;;
B;109;2864461;32;20030619 09:05;;;;OSTINI LANE;MULLION CREEK;2800;1.634;H;20030204;20030321;85000;R;V;VACANT LAND;;HA;;0;9482964;
C;109;2864461;32;20030619 09:05;11//1034553;
D;109;2864461;32;20030619 09:05;P;;;;;;
D;109;2864461;32;20030619 09:05;P;;;;;;
D;109;2864461;32;20030619 09:05;V;;;;;;
D;109;2864461;32;20030619 09:05;V;;;;;;
B;109;2890344;33;20030619 09:05;;;;MARCH RD;ORANGE;2800;18.89;H;20030121;20030218;380000;R;3;FARM/RURAL;;HE;RR;0;9451514;
C;109;2890344;33;20030619 09:05;1//553227;
D;109;2890344;33;20030619 09:05;P;;;;;;
D;109;2890344;33;20030619 09:05;P;;;;;;
D;109;2890344;33;20030619 09:05;V;;;;;;
D;109;2890344;33;20030619 09:05;V;;;;;;
B;109;2910824;34;20030619 09:05;;;;FAVELL RD;ORANGE;2800;411.9;H;20020624;20020624;821877;R;3;FARM;;RA;RM;0;9466953;
C;109;2910824;34;20030619 09:05;800//1039358;
D;109;2910824;34;20030619 09:05;P;;;;;;
D;109;2910824;34;20030619 09:05;V;;;;;;
D;109;2910824;34;20030619 09:05;V;;;;;;
B;109;2939600;35;20030619 09:05;;;LOT1;DP 1045400;CANOWINDRA;2804;4580;M;20021206;20021213;3590;R;V;VACANT LAND;;CN;RV;0;9348419;
C;109;2939600;35;20030619 09:05;;
D;109;2939600;35;20030619 09:05;P;;;;;;
D;109;2939600;35;20030619 09:05;P;;;;;;
D;109;2939600;35;20030619 09:05;V;;;;;;
B;109;2974889;36;20030619 09:05;;;;NANCARROWS LANE;NASHDALE;2800;11.59;H;20021129;20021129;270000;R;V;VACANT LAND;;HC;RV;0;9329189;
C;109;2974889;36;20030619 09:05;2//1006901;
D;109;2974889;36;20030619 09:05;P;;;;;;
D;109;2974889;36;20030619 09:05;V;;;;;;
B;109;2974912;37;20030619 09:05;;;22;LOWER LEWIS PONDS RD;LEWIS PONDS;2800;14.94;H;20021019;20030203;270000;R;R;RESIDENCE;;HC;RR;0;9352170;
C;109;2974912;37;20030619 09:05;100//1048216;
D;109;2974912;37;20030619 09:05;P;;;;;;
D;109;2974912;37;20030619 09:05;P;;;;;;
D;109;2974912;37;20030619 09:05;V;;;;;;
D;109;2974912;37;20030619 09:05;V;;;;;;
B;109;2974915;38;20030619 09:05;ONE TREE;;;MITCHELL HWY;MOLONG;2866;10.14;H;20021223;20030203;155000;R;R;RESIDENCE;;HB;RV;0;9353395;
C;109;2974915;38;20030619 09:05;5//246327 12//789392;
D;109;2974915;38;20030619 09:05;P;;;;;;
D;109;2974915;38;20030619 09:05;P;;;;;;
D;109;2974915;38;20030619 09:05;V;;;;;;
D;109;2974915;38;20030619 09:05;V;;;;;;
