A;231;20011109 10:44;CDIXON;
B;231;2606145;1;20011109 10:44;;;;ARIAH ST;MIRROOL;2665;1012;M;20010615;20010731;3000;Z;R;RESIDENCE;;VM;;;7833642;
C;231;2606145;1;20011109 10:44;13/5/758684;
D;231;2606145;1;20011109 10:44;P;;;;;;
D;231;2606145;1;20011109 10:44;V;;;;;;
B;231;2606659;2;20011109 10:44;;;98;BURCHER MARSDEN RD;LAKE COWAL;2671;259;H;20010612;20010720;153600;R;3;FARM;;RM;;;7829847;
C;231;2606659;2;20011109 10:44;;
D;231;2606659;2;20011109 10:44;P;;;;;;
D;231;2606659;2;20011109 10:44;P;;;;;;
D;231;2606659;2;20011109 10:44;V;;;;;;
D;231;2606659;2;20011109 10:44;V;;;;;;
B;231;2606660;3;20011109 10:44;;;484;BURCHER MARSDEN RD;LAKE COWAL;2671;259;H;20010612;20010720;153600;R;3;FARM;;RM;;;7829848;
C;231;2606660;3;20011109 10:44;;
D;231;2606660;3;20011109 10:44;P;;;;;;
D;231;2606660;3;20011109 10:44;P;;;;;;
D;231;2606660;3;20011109 10:44;V;;;;;;
B;231;2606986;4;20011109 10:44;;;20;KIKOIRA NARADHAN RD;KIKOIRA;2669;2074;M;20010820;20010821;26710;R;V;VACANT LAND;;RM;;;7889303;
C;231;2606986;4;20011109 10:44;1, 2/3/758565;
D;231;2606986;4;20011109 10:44;P;;;;;;
D;231;2606986;4;20011109 10:44;P;;;;;;
D;231;2606986;4;20011109 10:44;V;;;;;;
B;231;2607304;5;20011109 10:44;;;4;RENWICK ST;BARMEDMAN;2668;2023;M;20010412;20010524;49950;Z;R;RESIDENCE;;VB;;;7876252;
C;231;2607304;5;20011109 10:44;7, 8/10/758055;
D;231;2607304;5;20011109 10:44;P;;;;;;
D;231;2607304;5;20011109 10:44;V;;;;;;
B;231;2607368;6;20011109 10:44;BELLAWRI VIA;;211;LOITERTONS LANE;ALLEENA;2671;209.5;H;20010706;20010801;130000;R;3;FARMLANDS;;RM;;;7886887;
C;231;2607368;6;20011109 10:44;1//419342;
D;231;2607368;6;20011109 10:44;P;;;;;;
D;231;2607368;6;20011109 10:44;P;;;;;;
D;231;2607368;6;20011109 10:44;V;;;;;;
B;231;2607791;7;20011109 10:44;;;1298;BARELLAN SOUTH YALGOGRIN RD;BARELLAN;2665;962.8;H;20000913;20010219;238718;R;3;LOT 11 DP 751726;;RM;RM;;7491609;
C;231;2607791;7;20011109 10:44;10, 11//751726;
D;231;2607791;7;20011109 10:44;P;;;;;;
D;231;2607791;7;20011109 10:44;V;;;;;;
B;231;2607791;8;20011109 10:44;;;1298;BARELLAN SOUTH YALGOGRIN RD;BARELLAN;2665;962.8;H;20000913;20010219;337000;R;3;LOT 10 DP 751726;;RM;RM;;7491619;
C;231;2607791;8;20011109 10:44;10, 11//751726;
D;231;2607791;8;20011109 10:44;P;;;;;;
D;231;2607791;8;20011109 10:44;V;;;;;;
B;231;2607802;9;20011109 10:44;;;1339;BARELLAN SOUTH YALGOGRIN RD;BARELLAN;2665;337.5;H;20000914;20010228;207500;R;3;;;RM;RM;;7491578;
C;231;2607802;9;20011109 10:44;33//751726 LEASE TYPE: CP LEASE NO: 1990/11;
D;231;2607802;9;20011109 10:44;P;;;;;;
D;231;2607802;9;20011109 10:44;V;;;;;;
B;231;2607979;10;20011109 10:44;;;;MACKRELL ST;UNGARIE;2669;1037;M;20010706;20010723;9000;Z;R;RESIDENCE;;VU;;;7887567;
C;231;2607979;10;20011109 10:44;8//221274;
