A;040;20031002 11:01;PDANN;
B;040;467910;1;20031002 11:01;;;;PSH BARNET;MOUNT FAIRY;2580;60.7;H;20030811;20030909;30000;R;V;VACANT LAND;;FC;;0;9985870;
C;040;467910;1;20031002 11:01;45, 46//754867;
D;040;467910;1;20031002 11:01;P;;;;;;
D;040;467910;1;20031002 11:01;V;;;;;;
B;040;468011;2;20031002 11:01;;;;PH BENDOURA;MAJORS CREEK;2622;7.809;H;20030429;20030610;318000;R;R;RESIDENCE;;RZ;;0;9988219;
C;040;468011;2;20031002 11:01;3//862498;
D;040;468011;2;20031002 11:01;P;;;;;;
D;040;468011;2;20031002 11:01;P;;;;;;
D;040;468011;2;20031002 11:01;P;;;;;;
D;040;468011;2;20031002 11:01;P;;;;;;
D;040;468011;2;20031002 11:01;V;;;;;;
D;040;468011;2;20031002 11:01;V;;;;;;
B;040;468704;3;20031002 11:01;;;15;SOLUS ST;BRAIDWOOD;2622;3956;M;20030801;20030911;260000;Z;R;RESIDENCE;;VB;;0;9991254;
C;040;468704;3;20031002 11:01;4, 5/7/758152;
D;040;468704;3;20031002 11:02;P;;;;;;
D;040;468704;3;20031002 11:02;P;;;;;;
D;040;468704;3;20031002 11:02;V;;;;;;
D;040;468704;3;20031002 11:02;V;;;;;;
B;040;469355;4;20031002 11:02;;;;PSH FAIRY MEADOW;MOUNT FAIRY;2580;7.238;H;20030915;20030915;40000;R;V;VACANT LAND;;HC;;0;9991531;
C;040;469355;4;20031002 11:02;19//1018500;
D;040;469355;4;20031002 11:02;P;;;;;;
D;040;469355;4;20031002 11:02;V;;;;;;
D;040;469355;4;20031002 11:02;V;;;;;;
D;040;469355;4;20031002 11:02;V;;;;;;
B;040;469764;5;20031002 11:02;;;;DP 755944;NERRIGA;2622;2.226;H;20030705;20030818;3500;R;V;VACANT LAND;;HL;;0;9976144;
C;040;469764;5;20031002 11:02;37//755944;
D;040;469764;5;20031002 11:02;P;;;;;;
D;040;469764;5;20031002 11:02;P;;;;;;
D;040;469764;5;20031002 11:02;V;;;;;;
B;040;469765;6;20031002 11:02;;;;DP 755944;NERRIGA;2622;8094;M;20030705;20030818;2300;R;V;VACANT LAND;;HL;;0;9976145;
C;040;469765;6;20031002 11:02;39//755944;
D;040;469765;6;20031002 11:02;P;;;;;;
D;040;469765;6;20031002 11:02;V;;;;;;
B;040;469926;7;20031002 11:02;;;;KINGS HWY OFF;MONGA;2622;2.43;H;20030807;20030912;240000;R;R;RESIDENCE;;HH;;0;9990994;
C;040;469926;7;20031002 11:02;1, 2, 3/12/758695;
D;040;469926;7;20031002 11:02;P;;;;;;
D;040;469926;7;20031002 11:02;V;;;;;;
B;040;470091;8;20031002 11:02;;;;PH PERCY;BOMBAY;2622;2.836;H;20030616;20030724;315000;R;R;RESIDENCE;;HD;;0;9976760;
C;040;470091;8;20031002 11:02;1//1014068;
D;040;470091;8;20031002 11:02;P;;;;;;
D;040;470091;8;20031002 11:02;P;;;;;;
D;040;470091;8;20031002 11:02;V;;;;;;
B;040;2831062;9;20031002 11:02;;;;CHARLEYS FOREST RD;MONGARLOWE;2622;81.66;H;20030731;20030911;139000;R;V;VACANT LAND;;SJ;;0;9997450;
C;040;2831062;9;20031002 11:02;11//1028689;
D;040;2831062;9;20031002 11:02;P;;;;;;
D;040;2831062;9;20031002 11:02;V;;;;;;
B;040;2992322;10;20031002 11:02;;;;BOMBAY RD;BRAIDWOOD;2622;1.271;H;20030618;20030716;95000;Z;V;VACANT LAND;;VE;;0;9999364;
C;040;2992322;10;20031002 11:02;51//1053239;
D;040;2992322;10;20031002 11:02;P;;;;;;
D;040;2992322;10;20031002 11:02;P;;;;;;
D;040;2992322;10;20031002 11:02;V;;;;;;
B;040;2993559;11;20031002 11:02;;;;BOMBAY RD;JEMBAICUMBENE;2622;2.673;H;20030723;20030912;120000;R;V;VACANT LAND;;HD;;0;9986837;
C;040;2993559;11;20031002 11:02;1//1053551;
D;040;2993559;11;20031002 11:02;P;;;;;;
D;040;2993559;11;20031002 11:02;P;;;;;;
D;040;2993559;11;20031002 11:02;V;;;;;;
B;040;3001540;12;20031002 11:02;;;;FARRINGDON RD;BRAIDWOOD;2622;37.27;H;20030728;20030908;104000;R;V;VACANT LAND;;RA;;0;9965954;
C;040;3001540;12;20031002 11:02;2//1055425;
D;040;3001540;12;20031002 11:02;P;;;;;;
D;040;3001540;12;20031002 11:02;P;;;;;;
D;040;3001540;12;20031002 11:02;V;;;;;;
D;040;3001540;12;20031002 11:02;V;;;;;;
B;040;3025352;13;20031002 11:02;;;;MAJORS CREEK MOUNTAIN RD;JEMBAICUMBENE;2622;84.61;H;20030715;20030812;48000;;V;VACANT LAND;;;;0;9898300;
C;040;3025352;13;20031002 11:02;3, 6, 7, 8//842928;
