A;210;20110801 02:26;VALNET;
B;210;2103607;1;20110801 02:26;;19;96;WALLIS ST;WOOLLAHRA;2025;;;20110531;20110712;570000;;R;RESIDENCE;19;;;0;AG374563;
C;210;2103607;1;20110801 02:26;19/SP32746;
D;210;2103607;1;20110801 02:26;P;;;;;;
D;210;2103607;1;20110801 02:26;V;;;;;;
B;210;2085429;2;20110801 02:26;;8;442;EDGECLIFF RD;EDGECLIFF;2027;;;20110609;20110714;832500;;R;RESIDENCE;8;;;0;AG380374;
C;210;2085429;2;20110801 02:26;8/SP3601;
D;210;2085429;2;20110801 02:26;P;;;;;;
D;210;2085429;2;20110801 02:26;V;;;;;;
B;210;2872250;3;20110801 02:26;;14;2 B;HOLT ST;DOUBLE BAY;2028;;;20101101;20110201;1550000;;R;RESIDENCE;14;;;0;AG375508;
C;210;2872250;3;20110801 02:26;14/SP1898;
D;210;2872250;3;20110801 02:26;P;;;;;;
D;210;2872250;3;20110801 02:26;V;;;;;;
D;210;2872250;3;20110801 02:26;V;;;;;;
B;210;2085708;4;20110801 02:26;;9;328;EDGECLIFF RD;WOOLLAHRA;2025;;;20110607;20110719;532500;;R;RESIDENCE;9;;;0;AG383922;
C;210;2085708;4;20110801 02:26;9/SP11933;
D;210;2085708;4;20110801 02:26;P;;;;;;
D;210;2085708;4;20110801 02:26;V;;;;;;
B;210;2088414;5;20110801 02:26;;6;186;GLENMORE RD;PADDINGTON;2021;;;20110609;20110708;625000;;R;RESIDENCE;6;;;0;AG381066;
C;210;2088414;5;20110801 02:26;6/SP9421;
D;210;2088414;5;20110801 02:26;P;;;;;;
D;210;2088414;5;20110801 02:26;P;;;;;;
D;210;2088414;5;20110801 02:26;V;;;;;;
B;210;2091036;6;20110801 02:26;;;57;KAMBALA RD;BELLEVUE HILL;2023;645;M;20110607;20110607;3900000;A;R;RESIDENCE;;RG;;0;AG391479;
C;210;2091036;6;20110801 02:26;B/386261;
D;210;2091036;6;20110801 02:26;P;;;;;;
D;210;2091036;6;20110801 02:26;V;;;;;;
