A;234;20020603 10:55;PTHIRLWELL;
B;234;2613429;1;20020603 10:55;;;538;ARGENT ST;BROKEN HILL;2880;505.9;M;20020416;20020419;16000;A;R;RESIDENCE;;CC;;;8563917;
C;234;2613429;1;20020603 10:55;1//328806;
D;234;2613429;1;20020603 10:55;P;;;;;;
D;234;2613429;1;20020603 10:55;V;;;;;;
B;234;2613689;2;20020603 10:55;;;718;BERYL ST;BROKEN HILL;2880;1012;M;20011115;20011207;11000;A;R;RESIDENCE;;CC;AC;;8281427;
C;234;2613689;2;20020603 10:55;3908//757298 Western Land Lease 9183;
D;234;2613689;2;20020603 10:55;P;;;;;;
D;234;2613689;2;20020603 10:55;P;;;;;;
D;234;2613689;2;20020603 10:55;V;;;;;;
B;234;2613826;3;20020603 10:55;;;162;BISMUTH ST;BROKEN HILL;2880;539.48;M;20011218;20020110;70000;A;R;RESIDENCE;;AL;AC;;8425690;
C;234;2613826;3;20020603 10:55;1//929781;
D;234;2613826;3;20020603 10:55;P;;;;;;
D;234;2613826;3;20020603 10:55;P;;;;;;
D;234;2613826;3;20020603 10:55;V;;;;;;
B;234;2614081;4;20020603 10:55;;;474;BLENDE ST;BROKEN HILL;2880;404.7;M;20020418;20020507;25000;A;R;RESIDENCE;;CC;;;8592014;
C;234;2614081;4;20020603 10:55;2326//757298;
D;234;2614081;4;20020603 10:55;P;;;;;;
D;234;2614081;4;20020603 10:55;P;;;;;;
D;234;2614081;4;20020603 10:55;V;;;;;;
D;234;2614081;4;20020603 10:55;V;;;;;;
B;234;2615645;5;20020603 10:55;;;42;COBALT ST;BROKEN HILL;2880;1012;M;20011212;20020123;106000;A;R;RESIDENCE;;CD;AC;;8351979;
C;234;2615645;5;20020603 10:55;13/15/759092 Western Land Lease 13863;
D;234;2615645;5;20020603 10:55;P;;;;;;
D;234;2615645;5;20020603 10:55;P;;;;;;
D;234;2615645;5;20020603 10:55;V;;;;;;
D;234;2615645;5;20020603 10:55;V;;;;;;
B;234;2616307;6;20020603 10:55;;;322;CUMMINS ST;BROKEN HILL;2880;;;20020325;20020506;165000;A;R;RESIDENCE;;HX;;;8606600;
C;234;2616307;6;20020603 10:55;3//942708;
D;234;2616307;6;20020603 10:55;P;;;;;;
D;234;2616307;6;20020603 10:55;P;;;;;;
D;234;2616307;6;20020603 10:55;V;;;;;;
D;234;2616307;6;20020603 10:55;V;;;;;;
B;234;2616326;7;20020603 10:55;;;162;CUMMINS ST;BROKEN HILL;2880;867;M;20011022;20011203;83000;A;R;RESIDENCE;;AS;AC;;8326018;
C;234;2616326;7;20020603 10:55;3432//757298;
D;234;2616326;7;20020603 10:55;P;;;;;;
D;234;2616326;7;20020603 10:55;P;;;;;;
D;234;2616326;7;20020603 10:55;V;;;;;;
B;234;2616597;8;20020603 10:55;;;139;EYRE ST;BROKEN HILL;2880;792.1;M;20020129;20020311;50000;A;R;RESIDENCE;;AE;;;8572067;
C;234;2616597;8;20020603 10:55;2//345250;
D;234;2616597;8;20020603 10:55;P;;;;;;
D;234;2616597;8;20020603 10:55;P;;;;;;
D;234;2616597;8;20020603 10:55;V;;;;;;
B;234;2616657;9;20020603 10:55;;;569;FISHER ST;BROKEN HILL;2880;1717.4;M;20020205;20020315;190000;A;R;RESIDENCE;;AY;;;8576084;
C;234;2616657;9;20020603 10:55;4964//757298;
D;234;2616657;9;20020603 10:55;P;;;;;;
D;234;2616657;9;20020603 10:55;P;;;;;;
D;234;2616657;9;20020603 10:55;V;;;;;;
B;234;2616660;10;20020603 10:55;;;577;FISHER ST;BROKEN HILL;2880;853.6;M;20011206;20020110;103500;A;R;RESIDENCE;;AY;AC;;8294312;
C;234;2616660;10;20020603 10:55;4966//757298 Western Land Lease 6820;
D;234;2616660;10;20020603 10:55;P;;;;;;
D;234;2616660;10;20020603 10:55;V;;;;;;
D;234;2616660;10;20020603 10:55;V;;;;;;
B;234;2617298;11;20020603 10:55;;;116;HEBBARD ST;BROKEN HILL;2880;1012;M;20020315;20020502;35000;A;R;RESIDENCE;;AE;;;8611405;
C;234;2617298;11;20020603 10:55;18/30/758018;
D;234;2617298;11;20020603 10:55;P;;;;;;
D;234;2617298;11;20020603 10:55;P;;;;;;
D;234;2617298;11;20020603 10:55;V;;;;;;
D;234;2617298;11;20020603 10:55;V;;;;;;
B;234;2617415;12;20020603 10:55;;;155;HEBBARD ST;BROKEN HILL;2880;1012;M;20020204;20020218;56000;A;R;RESIDENCE;;AE;AC;;8391968;
C;234;2617415;12;20020603 10:55;6/20/758018;
D;234;2617415;12;20020603 10:55;P;;;;;;
D;234;2617415;12;20020603 10:55;V;;;;;;
B;234;2617422;13;20020603 10:55;;;127;HEBBARD ST;BROKEN HILL;2880;575.4;M;20020410;20020412;62800;A;R;RESIDENCE;;AE;;;8564132;
C;234;2617422;13;20020603 10:55;C//325814;
D;234;2617422;13;20020603 10:55;P;;;;;;
D;234;2617422;13;20020603 10:55;P;;;;;;
D;234;2617422;13;20020603 10:55;V;;;;;;
D;234;2617422;13;20020603 10:55;V;;;;;;
B;234;2617591;14;20020603 10:55;;;372;IODIDE ST;BROKEN HILL;2880;529.7;M;20020308;20020510;76000;A;R;RESIDENCE;;AY;;;8616633;
C;234;2617591;14;20020603 10:55;2//338800;
D;234;2617591;14;20020603 10:55;P;;;;;;
D;234;2617591;14;20020603 10:55;P;;;;;;
D;234;2617591;14;20020603 10:55;V;;;;;;
D;234;2617591;14;20020603 10:55;V;;;;;;
