A;203;20020402 12:45;CDIXON;
B;203;1882795;1;20020402 12:45;;;1;ALFRED ST;MASCOT;2020;334;M;20011214;20020201;462200;A;R;RESIDENCE;;AJ;;;8446147;
C;203;1882795;1;20020402 12:45;7/7/3876;
D;203;1882795;1;20020402 12:45;P;;;;;;
D;203;1882795;1;20020402 12:45;P;;;;;;
D;203;1882795;1;20020402 12:45;V;;;;;;
D;203;1882795;1;20020402 12:45;V;;;;;;
B;203;1883333;2;20020402 12:45;;95;125;BANKSIA ST;BOTANY;2019;;;20020123;20020222;348000;;R;RESIDENCE;95;;;;8411127;
C;203;1883333;2;20020402 12:45;95//SP 58358;
D;203;1883333;2;20020402 12:45;P;;;;;;
D;203;1883333;2;20020402 12:45;V;;;;;;
B;203;1883333;3;20020402 12:45;;181;125;BANKSIA ST;BOTANY;2019;;;20010927;20011101;345000;;R;RESIDENCE;181;;;;8130136;
C;203;1883333;3;20020402 12:45;181//SP 58723;
D;203;1883333;3;20020402 12:45;P;;;;;;
D;203;1883333;3;20020402 12:45;P;;;;;;
D;203;1883333;3;20020402 12:45;P;;;;;;
D;203;1883333;3;20020402 12:45;P;;;;;;
D;203;1883333;3;20020402 12:45;V;;;;;;
B;203;1883665;4;20020402 12:45;;12;34;BARBER AVE;EASTLAKES;2018;;;20020115;20020226;260000;;R;RESIDENCE;12;;;;8422529;
C;203;1883665;4;20020402 12:45;12//1759;
D;203;1883665;4;20020402 12:45;P;;;;;;
D;203;1883665;4;20020402 12:45;P;;;;;;
D;203;1883665;4;20020402 12:45;V;;;;;;
D;203;1883665;4;20020402 12:45;V;;;;;;
B;203;1883826;5;20020402 12:45;;5;12;BARBER AVE;MASCOT;2020;;;20011220;20020201;252000;;R;RESIDENCE;5;;;;8393849;
C;203;1883826;5;20020402 12:45;5//SP 2195;
D;203;1883826;5;20020402 12:45;P;;;;;;
D;203;1883826;5;20020402 12:45;V;;;;;;
D;203;1883826;5;20020402 12:45;V;;;;;;
B;203;1883938;6;20020402 12:45;;;81;BAXTER RD;MASCOT;2020;1016;M;20011012;20020111;2705000;A;3;COMMERCIAL;;BH;;;8378678;
C;203;1883938;6;20020402 12:45;41, 42, 43//979354;
D;203;1883938;6;20020402 12:45;P;;;;;;
D;203;1883938;6;20020402 12:45;V;;;;;;
B;203;1884792;7;20020402 12:45;;;1655;BOTANY RD;BOTANY;2019;252.9;M;20020313;20020314;170000;B;R;RESIDENCE;;EF;;;8453097;
C;203;1884792;7;20020402 12:45;2//25396;
D;203;1884792;7;20020402 12:45;P;;;;;;
D;203;1884792;7;20020402 12:45;V;;;;;;
D;203;1884792;7;20020402 12:45;V;;;;;;
B;203;1885385;8;20020402 12:45;;5;30;BRITTAIN CRES;HILLSDALE;2036;;;20020114;20020225;217000;;R;RESIDENCE;5;;;;8411634;
C;203;1885385;8;20020402 12:45;5//2335;
D;203;1885385;8;20020402 12:45;P;;;;;;
D;203;1885385;8;20020402 12:45;P;;;;;;
D;203;1885385;8;20020402 12:45;V;;;;;;
D;203;1885385;8;20020402 12:45;V;;;;;;
B;203;1885729;9;20020402 12:45;;8;266 A;BUNNERONG RD;HILLSDALE;2036;;;19920914;19921006;140000;;R;RESIDENCE;8;;;;6881352;
C;203;1885729;9;20020402 12:45;8//3766;
D;203;1885729;9;20020402 12:45;P;;;;;;
B;203;1886376;10;20020402 12:45;;;133;COWARD ST;MASCOT;2020;470;M;20011005;20011130;680000;A;R;RESIDENCE;;AJ;;;8320992;
C;203;1886376;10;20020402 12:45;44, 45/1/4089;
D;203;1886376;10;20020402 12:45;P;;;;;;
D;203;1886376;10;20020402 12:45;P;;;;;;
D;203;1886376;10;20020402 12:45;V;;;;;;
B;203;1886696;11;20020402 12:45;;;19;DAPHNE ST;BOTANY;2019;505.9;M;20011004;20011129;800000;A;R;RESIDENCE;;BF;;;8401924;
C;203;1886696;11;20020402 12:45;B//435139;
D;203;1886696;11;20020402 12:45;P;;;;;;
D;203;1886696;11;20020402 12:45;V;;;;;;
B;203;1887259;12;20020402 12:45;;;2;EDWARD ST;BOTANY;2019;423.7;M;20011114;20020208;505000;A;R;RESIDENCE;;AF;;;8390860;
C;203;1887259;12;20020402 12:45;A//390926;
D;203;1887259;12;20020402 12:45;P;;;;;;
D;203;1887259;12;20020402 12:45;P;;;;;;
D;203;1887259;12;20020402 12:45;V;;;;;;
B;203;1888445;13;20020402 12:45;;;577;GARDENERS RD;MASCOT;2020;1616.7;M;20011025;20011221;1700000;I;3;FACTORY;;HH;;;8256023;
C;203;1888445;13;20020402 12:45;17, 18//11589;
D;203;1888445;13;20020402 12:45;P;;;;;;
D;203;1888445;13;20020402 12:45;P;;;;;;
D;203;1888445;13;20020402 12:45;V;;;;;;
B;203;1888541;14;20020402 12:45;;7;349;GARDENERS RD;ROSEBERY;2018;;;20011206;20020301;176500;;R;RESIDENCE;7;;;;8399738;
C;203;1888541;14;20020402 12:45;7//SP 63931;
D;203;1888541;14;20020402 12:45;P;;;;;;
D;203;1888541;14;20020402 12:45;V;;;;;;
B;203;1889009;15;20020402 12:45;;10;11;GRACE CAMPBELL CRES;HILLSDALE;2036;;;20011221;20020201;240000;;R;RESIDENCE;10;;;;8364295;
C;203;1889009;15;20020402 12:45;10//SP 5331;
D;203;1889009;15;20020402 12:45;P;;;;;;
D;203;1889009;15;20020402 12:45;P;;;;;;
D;203;1889009;15;20020402 12:45;V;;;;;;
B;203;1889764;16;20020402 12:45;;1;2;HEARNE CL;EASTLAKES;2018;;;20011207;20020118;257500;;R;RESIDENCE;1;;;;8386795;
C;203;1889764;16;20020402 12:45;1//1682;
D;203;1889764;16;20020402 12:45;P;;;;;;
D;203;1889764;16;20020402 12:45;P;;;;;;
D;203;1889764;16;20020402 12:45;V;;;;;;
B;203;1889965;17;20020402 12:45;;11;103;HIGH ST;BOTANY;2019;;;20011224;20020219;185000;;R;RESIDENCE;11;;;;8429697;
C;203;1889965;17;20020402 12:45;11//17225;
D;203;1889965;17;20020402 12:45;P;;;;;;
D;203;1889965;17;20020402 12:45;V;;;;;;
B;203;1890217;18;20020402 12:45;;20;62;HILLARY CL;EASTLAKES;2018;;;20020212;20020212;250000;;R;RESIDENCE;20;;;;8403437;
C;203;1890217;18;20020402 12:45;20//2657;
D;203;1890217;18;20020402 12:45;P;;;;;;
D;203;1890217;18;20020402 12:45;P;;;;;;
D;203;1890217;18;20020402 12:45;V;;;;;;
D;203;1890217;18;20020402 12:45;V;;;;;;
B;203;1890557;19;20020402 12:45;;5;2;JAUNCEY PL;HILLSDALE;2036;;;20011220;20020228;308000;;R;RESIDENCE;5;;;;8412156;
C;203;1890557;19;20020402 12:45;5//15751;
D;203;1890557;19;20020402 12:45;P;;;;;;
D;203;1890557;19;20020402 12:45;P;;;;;;
D;203;1890557;19;20020402 12:45;V;;;;;;
B;203;1890786;20;20020402 12:45;;12;17;JAUNCEY PL;HILLSDALE;2036;;;20020130;20020306;220000;;R;RESIDENCE;12;;;;8441660;
C;203;1890786;20;20020402 12:45;12//2902;
D;203;1890786;20;20020402 12:45;P;;;;;;
D;203;1890786;20;20020402 12:45;V;;;;;;
B;203;1891130;21;20020402 12:45;;3;206;KING ST;MASCOT;2020;;;20020116;20020227;310000;;R;RESIDENCE;3;;;;8398761;
C;203;1891130;21;20020402 12:45;3//4345;
D;203;1891130;21;20020402 12:45;P;;;;;;
D;203;1891130;21;20020402 12:45;V;;;;;;
B;203;1891484;22;20020402 12:45;;;14;LANG AVE;BOTANY;2019;;;20020124;20020325;615000;A;R;RESIDENCE;;AE;;;8458980;
C;203;1891484;22;20020402 12:45;A//433396;
D;203;1891484;22;20020402 12:45;P;;;;;;
D;203;1891484;22;20020402 12:45;V;;;;;;
D;203;1891484;22;20020402 12:45;V;;;;;;
B;203;1891905;23;20020402 12:45;;22;8;MALONEY ST;EASTLAKES;2018;;;20011114;20020116;287500;;R;RESIDENCE;22;;;;8376512;
C;203;1891905;23;20020402 12:45;22//4574;
D;203;1891905;23;20020402 12:45;P;;;;;;
D;203;1891905;23;20020402 12:45;P;;;;;;
D;203;1891905;23;20020402 12:45;V;;;;;;
D;203;1891905;23;20020402 12:45;V;;;;;;
B;203;1892112;24;20020402 12:45;;6;1;MASCOT DR;MASCOT;2020;;;20020123;20020306;265000;;R;RESIDENCE;6;;;;8442121;
C;203;1892112;24;20020402 12:45;6//1709;
D;203;1892112;24;20020402 12:45;P;;;;;;
D;203;1892112;24;20020402 12:45;V;;;;;;
B;203;1892756;25;20020402 12:45;;;16;MILES ST;MASCOT;2020;;;20010530;20010725;335000;A;R;RESIDENCE;;AH;;;8454235;
C;203;1892756;25;20020402 12:45;B//376283;
D;203;1892756;25;20020402 12:45;P;;;;;;
D;203;1892756;25;20020402 12:45;V;;;;;;
D;203;1892756;25;20020402 12:45;V;;;;;;
B;203;1892838;26;20020402 12:45;;4;10;MORGAN ST;BOTANY;2019;;;20020218;20020315;320000;;R;RESIDENCE;4;;;;8448316;
C;203;1892838;26;20020402 12:45;4//34352;
D;203;1892838;26;20020402 12:45;P;;;;;;
D;203;1892838;26;20020402 12:45;V;;;;;;
B;203;1892871;27;20020402 12:45;;;9;MYRTLE ST;BOTANY;2019;1429;M;20011228;20020227;7425000;I;V;VACANT LAND;;JF;;;8410879;
C;203;1892871;27;20020402 12:45;50/H/1787;
D;203;1892871;27;20020402 12:45;P;;;;;;
D;203;1892871;27;20020402 12:45;V;;;;;;
B;203;1892872;28;20020402 12:45;;;17;MYRTLE ST;BOTANY;2019;2010;M;20011228;20020227;7425000;I;V;VACANT LAND;;JF;;;8410879;
C;203;1892872;28;20020402 12:45;12//714224;
D;203;1892872;28;20020402 12:45;P;;;;;;
D;203;1892872;28;20020402 12:45;V;;;;;;
B;203;1892873;29;20020402 12:45;;;17;MYRTLE ST;BOTANY;2019;5734;M;20011228;20020227;7425000;I;V;VACANT LAND;;JF;;;8410879;
C;203;1892873;29;20020402 12:45;11//714224;
D;203;1892873;29;20020402 12:45;P;;;;;;
D;203;1892873;29;20020402 12:45;V;;;;;;
B;203;1893226;30;20020402 12:45;;6;221;O'RIORDAN ST;MASCOT;2020;;;20020125;20020215;775500;;3;IND STRATA UN;6;;;;8408991;
C;203;1893226;30;20020402 12:45;6//SP 48926;
D;203;1893226;30;20020402 12:45;P;;;;;;
D;203;1893226;30;20020402 12:45;P;;;;;;
D;203;1893226;30;20020402 12:45;V;;;;;;
D;203;1893226;30;20020402 12:45;V;;;;;;
B;203;1894204;31;20020402 12:45;;1;38;ROCHESTER ST;BOTANY;2019;;;20020213;20020320;250000;;R;RESIDENCE;1;;;;8457381;
C;203;1894204;31;20020402 12:45;1//SP 56203;
D;203;1894204;31;20020402 12:45;P;;;;;;
D;203;1894204;31;20020402 12:45;V;;;;;;
D;203;1894204;31;20020402 12:45;V;;;;;;
B;203;1894660;32;20020402 12:45;;;117;SUTHERLAND ST;MASCOT;2020;454;M;20020308;20020319;200000;A;R;RESIDENCE;;AJ;;;8434859;
C;203;1894660;32;20020402 12:45;2/2/937;
D;203;1894660;32;20020402 12:45;P;;;;;;
D;203;1894660;32;20020402 12:45;V;;;;;;
B;203;1894868;33;20020402 12:45;;3;31;TEMPLEMAN CRES;HILLSDALE;2036;;;20020131;20020318;260000;;R;RESIDENCE;3;;;;8456474;
C;203;1894868;33;20020402 12:45;3//1050;
D;203;1894868;33;20020402 12:45;P;;;;;;
D;203;1894868;33;20020402 12:45;P;;;;;;
D;203;1894868;33;20020402 12:45;V;;;;;;
B;203;1895326;34;20020402 12:45;;39;22;TUNBRIDGE ST;MASCOT;2020;;;20011124;20020118;295500;;3;HOME UNIT;39;;;;8412333;
C;203;1895326;34;20020402 12:45;39//15754;
D;203;1895326;34;20020402 12:45;P;;;;;;
D;203;1895326;34;20020402 12:45;V;;;;;;
D;203;1895326;34;20020402 12:45;V;;;;;;
B;203;1895967;35;20020402 12:45;;;69;WELLINGTON ST;MASCOT;2020;214.7;M;20020125;20020319;413500;A;R;RESIDENCE;;AJ;;;8461807;
C;203;1895967;35;20020402 12:45;C//369541;
D;203;1895967;35;20020402 12:45;P;;;;;;
D;203;1895967;35;20020402 12:45;P;;;;;;
D;203;1895967;35;20020402 12:45;V;;;;;;
