A;044;20020102 13:22;PTHIRLWELL;
B;044;480053;1;20020102 13:22;;;155;FOXLOW ST;CAPTAINS FLAT;2623;708.2;M;20010919;20011015;35000;Z;R;RESIDENCE;;VF;;;8102750;
C;044;480053;1;20020102 13:22;4/7/758223;
D;044;480053;1;20020102 13:22;P;;;;;;
D;044;480053;1;20020102 13:22;P;;;;;;
D;044;480053;1;20020102 13:22;V;;;;;;
B;044;480065;2;20020102 13:22;;;31;KURRAJONG ST;CAPTAINS FLAT;2623;1088;M;20001113;20010119;8000;Z;R;RESIDENCE;;VF;;;8181112;
C;044;480065;2;20020102 13:22;46//217231;
D;044;480065;2;20020102 13:22;P;;;;;;
D;044;480065;2;20020102 13:22;P;;;;;;
D;044;480065;2;20020102 13:22;V;;;;;;
B;044;480086;3;20020102 13:22;;;20;KURRAJONG ST;CAPTAINS FLAT;2623;474.2;M;20011012;20011109;32000;Z;R;RESIDENCE;;VF;;;8143590;
C;044;480086;3;20020102 13:22;7/5/18452;
D;044;480086;3;20020102 13:22;P;;;;;;
D;044;480086;3;20020102 13:22;V;;;;;;
B;044;480134;4;20020102 13:22;;;13;WATTLE AVE;CAPTAINS FLAT;2623;493.2;M;20011003;20011030;75000;Z;R;RESIDENCE;;VF;;;8171871;
C;044;480134;4;20020102 13:22;8/2/18452;
D;044;480134;4;20020102 13:22;P;;;;;;
D;044;480134;4;20020102 13:22;P;;;;;;
D;044;480134;4;20020102 13:22;V;;;;;;
B;044;480145;5;20020102 13:22;;;14;WATTLE AVE;CAPTAINS FLAT;2623;1113;M;20010912;20010928;65000;Z;R;RESIDENCE;;VF;AC;;8009842;
C;044;480145;5;20020102 13:22;8, 9/3/18452;
D;044;480145;5;20020102 13:22;P;;;;;;
D;044;480145;5;20020102 13:22;V;;;;;;
B;044;480271;6;20020102 13:22;;;;PH BULLONGONG PH PORS;CAPTAINS FLAT;2623;1100;M;20010913;20010913;105000;R;R;RESIDENCE;;NT;;;8179258;
C;044;480271;6;20020102 13:22;314//754870;
D;044;480271;6;20020102 13:22;P;;;;;;
D;044;480271;6;20020102 13:22;V;;;;;;
B;044;480345;7;20020102 13:22;;;;BURRA RD;BURRA CREEK;2620;26.24;H;20000801;20010921;340000;R;R;RESIDENCE;;RU;RR;;8012986;
C;044;480345;7;20020102 13:22;2//1014946 Enclosure Permit 167397 LEASE OVER PROPERTY;
D;044;480345;7;20020102 13:22;P;;;;;;
D;044;480345;7;20020102 13:22;V;;;;;;
B;044;480390;8;20020102 13:22;;;;CANDY RD;BURRA CREEK;2620;8.233;H;20011025;20011203;286000;R;R;RESIDENCE;;RU;;;8198864;
C;044;480390;8;20020102 13:22;42//843809;
D;044;480390;8;20020102 13:22;P;;;;;;
D;044;480390;8;20020102 13:22;P;;;;;;
D;044;480390;8;20020102 13:22;V;;;;;;
D;044;480390;8;20020102 13:22;V;;;;;;
B;044;480417;9;20020102 13:22;;;;LONDON BRIDGE RD;BURRA CREEK;2620;9.343;H;20011102;20011206;312000;R;R;RESIDENCE;;RU;;;8211017;
C;044;480417;9;20020102 13:22;141//857112;
D;044;480417;9;20020102 13:22;P;;;;;;
D;044;480417;9;20020102 13:22;P;;;;;;
D;044;480417;9;20020102 13:22;V;;;;;;
D;044;480417;9;20020102 13:22;V;;;;;;
B;044;480609;10;20020102 13:22;;;;FEDERAL H'WAY PH BYWONG;BYWONG;2621;14.4;H;20011017;20011115;170000;R;V;VACANT LAND;;RH;;;8206122;
C;044;480609;10;20020102 13:22;1, 4, 5//701044;
D;044;480609;10;20020102 13:22;P;;;;;;
D;044;480609;10;20020102 13:22;P;;;;;;
D;044;480609;10;20020102 13:22;V;;;;;;
B;044;480876;11;20020102 13:22;;;;NEWINGTON RD;BYWONG;2621;9.517;H;20010813;20011122;335000;R;R;RESIDENCE;;RY;;;8163683;
C;044;480876;11;20020102 13:22;90//854769;
D;044;480876;11;20020102 13:22;P;;;;;;
D;044;480876;11;20020102 13:22;P;;;;;;
D;044;480876;11;20020102 13:22;V;;;;;;
D;044;480876;11;20020102 13:22;V;;;;;;
B;044;481119;12;20020102 13:22;;;;PH CARWOOLA DP 15478;QUEANBEYAN;2620;2.163;H;20011003;20011026;365000;R;3;RURAL RESIDEN;;NX;;;8085671;
C;044;481119;12;20020102 13:22;42//246118;
D;044;481119;12;20020102 13:22;P;;;;;;
D;044;481119;12;20020102 13:22;P;;;;;;
D;044;481119;12;20020102 13:22;V;;;;;;
D;044;481119;12;20020102 13:22;V;;;;;;
B;044;481320;13;20020102 13:22;;;;WALGA CL;QUEANBEYAN;2620;4;H;20010822;20011003;125000;R;V;VACANT LAND;;RR;;;8155541;
C;044;481320;13;20020102 13:22;2//748498;
D;044;481320;13;20020102 13:22;P;;;;;;
D;044;481320;13;20020102 13:22;P;;;;;;
D;044;481320;13;20020102 13:22;V;;;;;;
B;044;481414;14;20020102 13:22;;;;;;;10.5;H;20010627;20010919;188000;R;R;RESIDENCE;;NL;RR;;8031080;
C;044;481414;14;20020102 13:22;8//245977;
D;044;481414;14;20020102 13:22;P;;;;;;
D;044;481414;14;20020102 13:22;V;;;;;;
D;044;481414;14;20020102 13:22;V;;;;;;
D;044;481414;14;20020102 13:22;V;;;;;;
B;044;481569;15;20020102 13:22;;;;MCDONNELL DR;BUNGENDORE;2621;8000;M;20011120;20011212;100000;R;V;VACANT LAND;;RZ;;;8210869;
C;044;481569;15;20020102 13:22;52//270053;
D;044;481569;15;20020102 13:22;P;;;;;;
D;044;481569;15;20020102 13:22;P;;;;;;
D;044;481569;15;20020102 13:22;V;;;;;;
D;044;481569;15;20020102 13:22;V;;;;;;
B;044;481644;16;20020102 13:22;;;217;TARAGO RD;BUNGENDORE;2621;1.659;H;20011207;20011207;37000;Z;V;VACANT LAND;;VD;;;8203169;
C;044;481644;16;20020102 13:22;277//754915;
D;044;481644;16;20020102 13:22;P;;;;;;
D;044;481644;16;20020102 13:22;V;;;;;;
B;044;481830;17;20020102 13:22;;;;FERNLEIGH DR;FERNLEIGH PARK;2620;2;H;20011026;20011130;385000;R;R;RESIDENCE;;RL;;;8195780;
C;044;481830;17;20020102 13:22;88//775098;
D;044;481830;17;20020102 13:22;P;;;;;;
D;044;481830;17;20020102 13:22;P;;;;;;
D;044;481830;17;20020102 13:22;V;;;;;;
B;044;481866;18;20020102 13:22;;;;SWAN DR;FERNLEIGH PARK;2620;15.62;H;20011012;20011130;450000;R;R;RESIDENCE;;RL;;;8195842;
C;044;481866;18;20020102 13:22;51//775098;
D;044;481866;18;20020102 13:22;P;;;;;;
D;044;481866;18;20020102 13:22;P;;;;;;
D;044;481866;18;20020102 13:22;V;;;;;;
D;044;481866;18;20020102 13:22;V;;;;;;
B;044;481915;19;20020102 13:22;;;;TALPA HEIGHTS ESTATE;QUEANBEYAN;2620;852.5;M;20010706;20010803;98000;R;V;VACANT LAND;;TH;;;8210574;
C;044;481915;19;20020102 13:22;4//285061;
D;044;481915;19;20020102 13:22;P;;;;;;
D;044;481915;19;20020102 13:22;P;;;;;;
D;044;481915;19;20020102 13:22;V;;;;;;
B;044;482087;20;20020102 13:22;;;8;CANNING CL;WAMBOIN;2620;8;H;20010920;20011026;328000;R;R;RESIDENCE;;RY;;;8143358;
C;044;482087;20;20020102 13:22;59//258033;
D;044;482087;20;20020102 13:22;P;;;;;;
D;044;482087;20;20020102 13:22;P;;;;;;
D;044;482087;20;20020102 13:22;V;;;;;;
B;044;482324;21;20020102 13:22;;;1354;SUTTON RD;WAMBOIN;2620;19.65;H;20011005;20011102;735000;R;R;RESIDENCE;;RH;;;8163262;
C;044;482324;21;20020102 13:22;202//654307;
D;044;482324;21;20020102 13:22;P;;;;;;
D;044;482324;21;20020102 13:22;P;;;;;;
D;044;482324;21;20020102 13:22;V;;;;;;
D;044;482324;21;20020102 13:22;V;;;;;;
D;044;482324;21;20020102 13:22;V;;;;;;
D;044;482324;21;20020102 13:22;V;;;;;;
B;044;482499;22;20020102 13:22;;;;VILL SUTTON PH GOOROOYAR;SUTTON;2620;1366;M;20010910;20011022;230000;Z;R;RESIDENCE;;VS;AC;;8059027;
C;044;482499;22;20020102 13:22;9/25/758937;
D;044;482499;22;20020102 13:22;P;;;;;;
D;044;482499;22;20020102 13:22;P;;;;;;
D;044;482499;22;20020102 13:22;V;;;;;;
D;044;482499;22;20020102 13:22;V;;;;;;
B;044;483522;23;20020102 13:22;;;;PH WAMBOIN PH PORS;WAMBOIN;2620;105.5;H;20010907;20011012;600000;R;V;VACANT LAND;;FB;RV;;8032428;
C;044;483522;23;20020102 13:22;100, 102, 103, 104, 15, 85//754915 Enclosure Permit 317112 LEASE OVER ;
C;044;483522;23;20020102 13:22;PROPERTY;
D;044;483522;23;20020102 13:22;P;;;;;;
D;044;483522;23;20020102 13:22;P;;;;;;
D;044;483522;23;20020102 13:22;V;;;;;;
B;044;483714;24;20020102 13:22;;;;PH WAMBOIN TURALLO SUBDN;WAMBOIN;2620;5.3;H;20010713;20010824;129000;R;V;VACANT LAND;;RY;RV;;8030662;
C;044;483714;24;20020102 13:22;1//589112;
D;044;483714;24;20020102 13:22;P;;;;;;
D;044;483714;24;20020102 13:22;P;;;;;;
D;044;483714;24;20020102 13:22;V;;;;;;
B;044;483829;25;20020102 13:22;;;67;BUTMAROO ST;BUNGENDORE;2621;788;M;20011120;20011130;163500;Z;R;RESIDENCE;;VB;;;8175473;
C;044;483829;25;20020102 13:22;2//819934;
D;044;483829;25;20020102 13:22;P;;;;;;
D;044;483829;25;20020102 13:22;P;;;;;;
D;044;483829;25;20020102 13:22;V;;;;;;
D;044;483829;25;20020102 13:22;V;;;;;;
B;044;483832;26;20020102 13:22;;;;BUTMAROO ST;BUNGENDORE;2621;985.6;M;20011002;20011101;175000;Z;R;RESIDENCE;;VB;;;8162530;
C;044;483832;26;20020102 13:22;2//852551;
D;044;483832;26;20020102 13:22;P;;;;;;
D;044;483832;26;20020102 13:22;P;;;;;;
D;044;483832;26;20020102 13:22;V;;;;;;
D;044;483832;26;20020102 13:22;V;;;;;;
B;044;484123;27;20020102 13:22;;;40;MALBON ST;BUNGENDORE;2621;2023;M;20010823;20010924;194000;Z;R;RESIDENCE;;VC;AC;;7984673;
C;044;484123;27;20020102 13:22;17//710756;
D;044;484123;27;20020102 13:22;P;;;;;;
D;044;484123;27;20020102 13:22;P;;;;;;
D;044;484123;27;20020102 13:22;P;;;;;;
D;044;484123;27;20020102 13:22;P;;;;;;
D;044;484123;27;20020102 13:22;V;;;;;;
B;044;484125;28;20020102 13:22;;;68;MALBON ST;BUNGENDORE;2621;1891;M;20011005;20011115;255000;Z;R;RESIDENCE;;VB;;;8169390;
C;044;484125;28;20020102 13:22;1//714417;
D;044;484125;28;20020102 13:22;P;;;;;;
D;044;484125;28;20020102 13:22;P;;;;;;
D;044;484125;28;20020102 13:22;V;;;;;;
B;044;484140;29;20020102 13:22;;;110;MALBON ST;BUNGENDORE;2621;889;M;20011109;20011217;140000;Z;R;RESIDENCE;;VB;;;8213970;
C;044;484140;29;20020102 13:22;1//746203;
D;044;484140;29;20020102 13:22;P;;;;;;
D;044;484140;29;20020102 13:22;P;;;;;;
D;044;484140;29;20020102 13:22;V;;;;;;
B;044;484292;30;20020102 13:22;;;47;OSBORNE ST;BUNGENDORE;2621;871;M;20011005;20011116;141000;Z;R;RESIDENCE;;VB;;;8207119;
C;044;484292;30;20020102 13:22;2//789568;
D;044;484292;30;20020102 13:22;P;;;;;;
D;044;484292;30;20020102 13:22;P;;;;;;
D;044;484292;30;20020102 13:22;V;;;;;;
B;044;484352;31;20020102 13:22;;;;TUROLLA TCE;BUNGENDORE;2621;1000;M;20011016;20011128;82000;Z;V;VACANT LAND;;VE;;;8202940;
C;044;484352;31;20020102 13:22;23//845722;
D;044;484352;31;20020102 13:22;P;;;;;;
D;044;484352;31;20020102 13:22;P;;;;;;
D;044;484352;31;20020102 13:22;V;;;;;;
D;044;484352;31;20020102 13:22;V;;;;;;
B;044;484429;32;20020102 13:22;;;;PH YANUNUNBEYAN PH PORS;HOSKINSTOWN;2621;24.53;H;20010927;20011101;400000;R;3;FARM;;RK;;;8114078;
C;044;484429;32;20020102 13:22;40//248653;
D;044;484429;32;20020102 13:22;P;;;;;;
D;044;484429;32;20020102 13:22;P;;;;;;
D;044;484429;32;20020102 13:22;V;;;;;;
D;044;484429;32;20020102 13:22;V;;;;;;
B;044;2773428;33;20020102 13:22;;;;SPUR PL;ROYALLA;2620;2.639;H;20010405;20011017;160000;R;V;VACANT LAND;;RW;;;8170244;
C;044;2773428;33;20020102 13:22;65//1019288;
D;044;2773428;33;20020102 13:22;P;;;;;;
D;044;2773428;33;20020102 13:22;V;;;;;;
B;044;2773441;34;20020102 13:22;;;;TRAIL PL;ROYALLA;2620;3.362;H;20011016;20011123;164000;R;V;VACANT LAND;;RW;;;8156674;
C;044;2773441;34;20020102 13:22;78//1019288;
D;044;2773441;34;20020102 13:22;P;;;;;;
D;044;2773441;34;20020102 13:22;P;;;;;;
D;044;2773441;34;20020102 13:22;V;;;;;;
B;044;2859196;35;20020102 13:22;;;;BURRA RD;BURRA CREEK;2620;8.16;H;20011003;20011113;120000;;V;VACANT LAND;;;;;8175106;
C;044;2859196;35;20020102 13:22;1//1033462;
D;044;2859196;35;20020102 13:22;P;;;;;;
D;044;2859196;35;20020102 13:22;P;;;;;;
D;044;2859196;35;20020102 13:22;V;;;;;;
D;044;2859196;35;20020102 13:22;V;;;;;;
D;044;2859196;35;20020102 13:22;V;;;;;;
B;044;2859198;36;20020102 13:22;;;;BURRA RD;BURRA CREEK;2620;8;H;20010926;20011109;114000;;V;VACANT LAND;;;;;8142407;
C;044;2859198;36;20020102 13:22;3//1033462;
D;044;2859198;36;20020102 13:22;P;;;;;;
D;044;2859198;36;20020102 13:22;P;;;;;;
D;044;2859198;36;20020102 13:22;V;;;;;;
D;044;2859198;36;20020102 13:22;V;;;;;;
D;044;2859198;36;20020102 13:22;V;;;;;;
Z;198;36;37;123;
