A;RTSALEDATA;243;20250127 01:03;VALNET;
B;243;4408390;1;20250127 01:03;WILGA;;1047;GLENCOE RD;HAY SOUTH;2711;9928.546;H;20240621;20241004;17300000;RU1;3;FARMLAND;;RRD;;0;AU488416;
C;243;4408390;1;20250127 01:03;1/105741 8, 9, 10, 11/114474 1/230423 23, 24/710354 26, 28/710355 1, 2;
C;243;4408390;1;20250127 01:03;/710356 34, 36/747382 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21;
C;243;4408390;1;20250127 01:03;, 22, 23, 24, 25, 37, 38, 39, 41, 49, 61, 64, 65, 66, 67/756739 10, 11;
C;243;4408390;1;20250127 01:03;, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 29, 30, 31, 32, 33, 50, 51, ;
C;243;4408390;1;20250127 01:03;52, 122/756781 34/756792 19, 20, 21, 22, 23, 43, 44, 45, 46, 47, 48, 4;
C;243;4408390;1;20250127 01:03;9, 50, 58/756799 59/1088956 1/1107555 15, 17/1207327 89/1244281 4/1275;
C;243;4408390;1;20250127 01:03;439;
D;243;4408390;1;20250127 01:03;P;;;;;;
D;243;4408390;1;20250127 01:03;V;;;;;;
D;243;4408390;1;20250127 01:03;V;;;;;;
Z;13;1;7;3;
