A;130;20020102 13:52;PTHIRLWELL;
B;130;1287143;1;20020102 13:52;;;;BARTON ST HOUSE NO: LOT 1;WELLINGTON;2820;2.83;H;20011019;20011123;25000;Z;V;VACANT LAND;;ZD;;;8165676;
C;130;1287143;1;20020102 13:52;1//120160;
D;130;1287143;1;20020102 13:52;P;;;;;;
D;130;1287143;1;20020102 13:52;V;;;;;;
B;130;1287276;2;20020102 13:52;;;;CURTIS ST;WELLINGTON;2820;12.48;H;20000420;20000601;50000;Z;V;VACANT LAND;;ZD;;;4275165;
C;130;1287276;2;20020102 13:52;1, 2//129997 355//531300 49, PT 50//756920;
D;130;1287276;2;20020102 13:52;P;;;;;;
B;130;1287449;3;20020102 13:52;;;36 A;GISBORNE ST;WELLINGTON;2820;525.9;M;20011108;20011108;52500;B;3;WORKSHOP;;BA;;;8144855;
C;130;1287449;3;20020102 13:52;1//1013643;
D;130;1287449;3;20020102 13:52;P;;;;;;
D;130;1287449;3;20020102 13:52;P;;;;;;
D;130;1287449;3;20020102 13:52;V;;;;;;
D;130;1287449;3;20020102 13:52;V;;;;;;
D;130;1287449;3;20020102 13:52;V;;;;;;
D;130;1287449;3;20020102 13:52;V;;;;;;
B;130;1287552;4;20020102 13:52;;;8;GLASSON ST;WELLINGTON;2820;729.4;M;20011123;20011203;15000;A;R;RESIDENCE;;AC;;;8206707;
C;130;1287552;4;20020102 13:52;4//36334;
D;130;1287552;4;20020102 13:52;P;;;;;;
D;130;1287552;4;20020102 13:52;P;;;;;;
D;130;1287552;4;20020102 13:52;V;;;;;;
B;130;1287671;5;20020102 13:52;;;;GOBOLION ST;WELLINGTON;2820;913.2;M;20011112;20011112;1000;A;V;VACANT LAND;;AA;;;8143219;
C;130;1287671;5;20020102 13:52;1//883877;
D;130;1287671;5;20020102 13:52;P;;;;;;
D;130;1287671;5;20020102 13:52;P;;;;;;
D;130;1287671;5;20020102 13:52;V;;;;;;
D;130;1287671;5;20020102 13:52;V;;;;;;
B;130;1287686;6;20020102 13:52;;;39;HAWKINS ST;WELLINGTON;2820;739.8;M;20011101;20011210;15000;A;R;RESIDENCE;;AC;;;8203741;
C;130;1287686;6;20020102 13:52;35//32265;
D;130;1287686;6;20020102 13:52;P;;;;;;
D;130;1287686;6;20020102 13:52;V;;;;;;
B;130;1288006;7;20020102 13:52;;;91;MAXWELL ST;WELLINGTON;2820;;;20010913;20011109;73000;A;R;RESIDENCE;;AB;;;8142814;
C;130;1288006;7;20020102 13:52;12, 13/2/3647;
D;130;1288006;7;20020102 13:52;P;;;;;;
D;130;1288006;7;20020102 13:52;P;;;;;;
D;130;1288006;7;20020102 13:52;V;;;;;;
B;130;1288187;8;20020102 13:52;;;23;NANCARROW LANE;WELLINGTON;2820;872.6;M;20011031;20011119;57000;A;R;RESIDENCE;;AB;;;8173944;
C;130;1288187;8;20020102 13:52;A//368345;
D;130;1288187;8;20020102 13:52;P;;;;;;
D;130;1288187;8;20020102 13:52;V;;;;;;
B;130;1288338;9;20020102 13:52;;;133;PERCY ST;WELLINGTON;2820;589.9;M;20011119;20011130;52000;B;R;RESIDENCE;;BA;;;8176934;
C;130;1288338;9;20020102 13:52;A//350319;
