A;230;20031117 14:05;PDANN;
B;230;2605206;1;20031117 14:05;;;23;MAYALL ST;BALRANALD;2715;;;20030919;20031017;148000;Z;R;RESIDENCE;;ZB;;0;AA113547;
C;230;2605206;1;20031117 14:05;1B//347982;
D;230;2605206;1;20031117 14:05;P;;;;;;
D;230;2605206;1;20031117 14:05;P;;;;;;
D;230;2605206;1;20031117 14:05;V;;;;;;
B;230;2605662;2;20031117 14:05;;;7;COWPER ST;EUSTON;2737;1007;M;20030423;20030519;135000;Z;R;RESIDENCE;;ZE;;0;9912886;
C;230;2605662;2;20031117 14:05;1/7/758402 Western Land Lease 12238;
D;230;2605662;2;20031117 14:05;P;;;;;;
D;230;2605662;2;20031117 14:05;P;;;;;;
D;230;2605662;2;20031117 14:05;V;;;;;;
D;230;2605662;2;20031117 14:05;V;;;;;;
B;230;3016725;3;20031117 14:05;;;LOT4405;BALLARAH STATION;BALRANALD;2715;1561;H;20030721;20031024;512000;R;3;FARM;;RC;;0;AA108583;
C;230;3016725;3;20031117 14:05;4405//767298 Western Land Lease 10772;
D;230;3016725;3;20031117 14:05;P;;;;;;
D;230;3016725;3;20031117 14:05;P;;;;;;
D;230;3016725;3;20031117 14:05;V;;;;;;
Z;18;3;3;10;
