A;089;20011109 09:19;CDIXON;
B;089;805291;19;20011109 09:19;;;7;ANDREWS AVE;TOONGABBIE;2146;556.4;M;20010607;20010712;256000;A;R;RESIDENCE;;BQ;;;7784589;
C;089;805291;19;20011109 09:19;18//201092;
D;089;805291;19;20011109 09:19;P;;;;;;
D;089;805291;19;20011109 09:19;P;;;;;;
D;089;805291;19;20011109 09:19;V;;;;;;
B;089;805334;20;20011109 09:19;;;17 A;ANGUS AVE;EPPING;2121;389.9;M;20010529;20010703;410000;A;R;RESIDENCE;;AB;;;7775337;
C;089;805334;20;20011109 09:19;2//863297;
D;089;805334;20;20011109 09:19;P;;;;;;
D;089;805334;20;20011109 09:19;P;;;;;;
D;089;805334;20;20011109 09:19;V;;;;;;
B;089;805569;21;20011109 09:19;;;135;ARTHUR ST;PARRAMATTA;2150;;;20010310;20010406;313000;A;R;RESIDENCE;;CX;;;7767698;
C;089;805569;21;20011109 09:19;2//27997;
D;089;805569;21;20011109 09:19;P;;;;;;
D;089;805569;21;20011109 09:19;V;;;;;;
D;089;805569;21;20011109 09:19;V;;;;;;
B;089;805713;22;20011109 09:19;;;23;ASHCROFT ST;ERMINGTON;2115;;;20010521;20010711;308000;A;R;RESIDENCE;;AK;;;7776971;
C;089;805713;22;20011109 09:19;34//36752;
D;089;805713;22;20011109 09:19;P;;;;;;
D;089;805713;22;20011109 09:19;V;;;;;;
B;089;806008;23;20011109 09:19;;;19;AUSTIN WOODBURY PL;TOONGABBIE;2146;669.8;M;20010610;20010723;323000;A;R;RESIDENCE;;BQ;;;7801959;
C;089;806008;23;20011109 09:19;12//775672;
D;089;806008;23;20011109 09:19;P;;;;;;
D;089;806008;23;20011109 09:19;V;;;;;;
B;089;806122;24;20011109 09:19;;;2;BADHAM ST;MERRYLANDS;2160;;;20010613;20010720;260000;A;R;RESIDENCE;;BC;;;7803399;
C;089;806122;24;20011109 09:19;1/6/7470;
D;089;806122;24;20011109 09:19;P;;;;;;
D;089;806122;24;20011109 09:19;V;;;;;;
