A;235;20020102 13:59;PTHIRLWELL;
B;235;2624050;1;20020102 13:59;;;;MENINDEE ST;MENINDEE;2879;1012;M;20010821;20011002;1650;Z;V;VACANT LAND;;MA;AV;;8021123;
C;235;2624050;1;20020102 13:59;3/16/758669 Western Land Lease 10662;
D;235;2624050;1;20020102 13:59;P;;;;;;
D;235;2624050;1;20020102 13:59;V;;;;;;
B;235;2624193;2;20020102 13:59;;;55;LAKEVIEW AVE;MENINDEE;2879;663.9;M;20010808;20011024;70000;Z;R;RESIDENCE;;SW;;;8159263;
C;235;2624193;2;20020102 13:59;10/3/250192;
D;235;2624193;2;20020102 13:59;P;;;;;;
D;235;2624193;2;20020102 13:59;V;;;;;;
D;235;2624193;2;20020102 13:59;V;;;;;;
B;235;2624292;3;20020102 13:59;;;18;KINGFISHER AVE;MENINDEE;2879;663.9;M;20010814;20010814;40000;Z;R;RESIDENCE;;SW;;;7948088;
C;235;2624292;3;20020102 13:59;10/12/758598 Western Land Lease 11821;
D;235;2624292;3;20020102 13:59;P;;;;;;
D;235;2624292;3;20020102 13:59;P;;;;;;
D;235;2624292;3;20020102 13:59;V;;;;;;
B;235;2624540;4;20020102 13:59;;;;TOWN OF WHITE CLIFFS;WHITE CLIFFS;2836;1000;M;20010905;20010905;30000;Z;R;RESIDENCE;;WC;AC;;8018941;
C;235;2624540;4;20020102 13:59;6/7/759084 Western Land Lease 13060;
D;235;2624540;4;20020102 13:59;P;;;;;;
D;235;2624540;4;20020102 13:59;V;;;;;;
B;235;2625043;5;20020102 13:59;;;64;REID ST;WILCANNIA;2836;3526;M;20011115;20011204;30000;Z;R;RESIDENCE;;WA;;;8195278;
C;235;2625043;5;20020102 13:59;1/14/759091;
D;235;2625043;5;20020102 13:59;P;;;;;;
D;235;2625043;5;20020102 13:59;P;;;;;;
D;235;2625043;5;20020102 13:59;V;;;;;;
B;235;2625178;6;20020102 13:59;;;120;WOORE ST;WILCANNIA;2836;1012;M;20011009;20011123;23000;Z;R;RESIDENCE;;WA;;;8164687;
C;235;2625178;6;20020102 13:59;4//582322;
D;235;2625178;6;20020102 13:59;P;;;;;;
D;235;2625178;6;20020102 13:59;V;;;;;;
D;235;2625178;6;20020102 13:59;V;;;;;;
B;235;2625419;7;20020102 13:59;;;;;WILCANNIA;2836;9897;H;20010621;20010913;162500;Z;3;FARM;;EE;;;7967845;
C;235;2625419;7;20020102 13:59;4546//767652 Western Land Lease 11663;
D;235;2625419;7;20020102 13:59;P;;;;;;
D;235;2625419;7;20020102 13:59;V;;;;;;
D;235;2625419;7;20020102 13:59;V;;;;;;
D;235;2625419;7;20020102 13:59;V;;;;;;
D;235;2625419;7;20020102 13:59;V;;;;;;
B;235;2836570;8;20020102 13:59;;;;MENINDEE ENVIRONS;MENINDEE;2879;27.34;H;20010207;20010323;197500;Z;3;RURAL BLDGS &;;MW;RR;;7804774;
C;235;2836570;8;20020102 13:59;46//754390 762//761877 2707//764834 2982//765181 Licence 330481 WS 085;
C;235;2836570;8;20020102 13:59;235 Western Land Lease 9378 Western Land Lease 14037 Western Land Leas;
C;235;2836570;8;20020102 13:59;e 14037 Western Land Lease 9378 (Pumpsite) (Being 112 Megs, 68 Megs hi;
C;235;2836570;8;20020102 13:59;gh security and 44 Megs general);
D;235;2836570;8;20020102 13:59;P;;;;;;
Z;43;8;11;22;
