A;209;20110801 02:26;VALNET;
B;209;2052997;1;20110801 02:26;;;48;BRISBANE ST;BONDI JUNCTION;2022;164.3;M;20110602;20110714;985000;A;R;RESIDENCE;;CP;;0;AG375989;
C;209;2052997;1;20110801 02:26;83/710422;
D;209;2052997;1;20110801 02:26;P;;;;;;
D;209;2052997;1;20110801 02:26;P;;;;;;
D;209;2052997;1;20110801 02:26;V;;;;;;
D;209;2052997;1;20110801 02:26;V;;;;;;
B;209;2058361;2;20110801 02:26;;;46;FITZGERALD ST;QUEENS PARK;2022;132.8;M;20110607;20110715;1195000;A;R;RESIDENCE;;CN;;0;AG381023;
C;209;2058361;2;20110801 02:26;5/224135;
D;209;2058361;2;20110801 02:26;P;;;;;;
D;209;2058361;2;20110801 02:26;V;;;;;;
B;209;2054047;3;20110801 02:26;;2;12;BURGE ST;VAUCLUSE;2030;;;20110603;20110715;605000;;R;RESIDENCE;2;;;0;AG379590;
C;209;2054047;3;20110801 02:26;2/SP14818;
D;209;2054047;3;20110801 02:26;P;;;;;;
D;209;2054047;3;20110801 02:26;P;;;;;;
D;209;2054047;3;20110801 02:26;V;;;;;;
B;209;2059917;4;20110801 02:26;;;39;GILGANDRA RD;NORTH BONDI;2026;284.5;M;20110521;20110708;2320000;A;R;RESIDENCE;;CD;;0;AG382770;
C;209;2059917;4;20110801 02:26;9/110391;
D;209;2059917;4;20110801 02:26;P;;;;;;
D;209;2059917;4;20110801 02:26;V;;;;;;
D;209;2059917;4;20110801 02:26;V;;;;;;
D;209;2059917;4;20110801 02:26;V;;;;;;
D;209;2059917;4;20110801 02:26;V;;;;;;
B;209;2055159;5;20110801 02:26;;;61;CHALEYER ST;ROSE BAY;2029;170.7;M;20110601;20110713;917000;A;R;RESIDENCE;;CC;;0;AG374433;
C;209;2055159;5;20110801 02:26;B/445570;
D;209;2055159;5;20110801 02:26;P;;;;;;
D;209;2055159;5;20110801 02:26;V;;;;;;
B;209;2060353;6;20110801 02:26;;23;177;GLENAYR AVE;BONDI BEACH;2026;;;20110525;20110713;464000;;R;RESIDENCE;23;;;0;AG376837;
C;209;2060353;6;20110801 02:26;23/SP11161;
D;209;2060353;6;20110801 02:26;P;;;;;;
D;209;2060353;6;20110801 02:26;P;;;;;;
D;209;2060353;6;20110801 02:26;V;;;;;;
B;209;2063467;7;20110801 02:26;;;20;KNOWLES AVE;NORTH BONDI;2026;240.2;M;20110528;20110705;1307000;A;R;RESIDENCE;;CD;;0;AG382635;
C;209;2063467;7;20110801 02:26;B/444086;
D;209;2063467;7;20110801 02:26;P;;;;;;
D;209;2063467;7;20110801 02:26;V;;;;;;
D;209;2063467;7;20110801 02:26;V;;;;;;
D;209;2063467;7;20110801 02:26;V;;;;;;
B;209;2060492;8;20110801 02:26;;;5;GORDON PL;BRONTE;2024;227.6;M;20110618;20110719;1704000;A;R;RESIDENCE;;CL;;0;AG389842;
C;209;2060492;8;20110801 02:26;E/180893;
D;209;2060492;8;20110801 02:26;P;;;;;;
D;209;2060492;8;20110801 02:26;V;;;;;;
B;209;2069090;9;20110801 02:26;;11;273;OLD SOUTH HEAD RD;BONDI BEACH;2026;;;20110512;20110712;692000;;R;RESIDENCE;11;;;0;AG372761;
C;209;2069090;9;20110801 02:26;11/SP22783;
D;209;2069090;9;20110801 02:26;P;;;;;;
D;209;2069090;9;20110801 02:26;V;;;;;;
B;209;2063924;10;20110801 02:26;;9;7;LEICHHARDT ST;WAVERLEY;2024;;;20110603;20110715;508000;;R;RESIDENCE;9;;;0;AG383029;
C;209;2063924;10;20110801 02:26;9/SP3585;
D;209;2063924;10;20110801 02:26;P;;;;;;
D;209;2063924;10;20110801 02:26;V;;;;;;
B;209;2063924;11;20110801 02:26;;19;7;LEICHHARDT ST;WAVERLEY;2024;;;20110603;20110715;508000;;R;RESIDENCE;19;;;0;AG383029;
C;209;2063924;11;20110801 02:26;19/SP3585;
D;209;2063924;11;20110801 02:26;P;;;;;;
D;209;2063924;11;20110801 02:26;V;;;;;;
B;209;2066859;12;20110801 02:26;;;39;NANCY ST;NORTH BONDI;2026;253.18;M;20110418;20110705;1185000;A;R;RESIDENCE;;CD;;0;AG382372;
C;209;2066859;12;20110801 02:26;171/510284;
D;209;2066859;12;20110801 02:26;P;;;;;;
D;209;2066859;12;20110801 02:26;P;;;;;;
D;209;2066859;12;20110801 02:26;V;;;;;;
B;209;2064424;13;20110801 02:26;;5;5;LUCIUS ST;BONDI BEACH;2026;;;20110407;20110712;815000;;R;RESIDENCE;5;;;0;AG384712;
C;209;2064424;13;20110801 02:26;5/SP31675;
D;209;2064424;13;20110801 02:26;P;;;;;;
D;209;2064424;13;20110801 02:26;V;;;;;;
D;209;2064424;13;20110801 02:26;V;;;;;;
B;209;2064424;14;20110801 02:26;;7;5;LUCIUS ST;BONDI BEACH;2026;;;20110407;20110712;815000;;R;RESIDENCE;7;;;0;AG384712;
C;209;2064424;14;20110801 02:26;7/SP31675;
D;209;2064424;14;20110801 02:26;P;;;;;;
D;209;2064424;14;20110801 02:26;V;;;;;;
D;209;2064424;14;20110801 02:26;V;;;;;;
B;209;2072346;15;20110801 02:26;;2;62;QUEENS PARK RD;QUEENS PARK;2022;;;20110517;20110520;690000;;R;RESIDENCE;2;;;0;AG370109;
C;209;2072346;15;20110801 02:26;2/SP4110;
D;209;2072346;15;20110801 02:26;P;;;;;;
D;209;2072346;15;20110801 02:26;V;;;;;;
B;209;2072346;16;20110801 02:26;;2;62;QUEENS PARK RD;QUEENS PARK;2022;;;20110517;20110520;690000;;R;RESIDENCE;33;;;0;AG370109;
C;209;2072346;16;20110801 02:26;33/SP4110;
D;209;2072346;16;20110801 02:26;P;;;;;;
D;209;2072346;16;20110801 02:26;V;;;;;;
B;209;2069815;17;20110801 02:26;TAMERLANE;12;745;OLD SOUTH HEAD RD;VAUCLUSE;2030;;;20110420;20110707;762000;;R;RESIDENCE;12;;;0;AG366355;
C;209;2069815;17;20110801 02:26;12/SP6475;
D;209;2069815;17;20110801 02:26;P;;;;;;
D;209;2069815;17;20110801 02:26;P;;;;;;
D;209;2069815;17;20110801 02:26;V;;;;;;
D;209;2069815;17;20110801 02:26;V;;;;;;
B;209;2078039;18;20110801 02:26;;;11;WOODSTOCK ST;BONDI JUNCTION;2022;259.3;M;20110618;20110718;1710000;A;R;RESIDENCE;;CG;;0;AG387480;
C;209;2078039;18;20110801 02:26;4/442856;
D;209;2078039;18;20110801 02:26;P;;;;;;
D;209;2078039;18;20110801 02:26;P;;;;;;
D;209;2078039;18;20110801 02:26;V;;;;;;
B;209;2064677;19;20110801 02:26;;;4;MACLEAY ST;NORTH BONDI;2026;988.6;M;20110503;20110712;2061000;A;R;RESIDENCE;;CB;;0;AG384623;
C;209;2064677;19;20110801 02:26;A/19876 1516/752011;
D;209;2064677;19;20110801 02:26;P;;;;;;
D;209;2064677;19;20110801 02:26;P;;;;;;
D;209;2064677;19;20110801 02:26;V;;;;;;
B;209;2075526;20;20110801 02:26;;;49;TAMARAMA ST;TAMARAMA;2026;309.8;M;20110511;20110711;1800000;A;R;RESIDENCE;;CH;;0;AG382775;
C;209;2075526;20;20110801 02:26;1/201112;
D;209;2075526;20;20110801 02:26;P;;;;;;
D;209;2075526;20;20110801 02:26;V;;;;;;
D;209;2075526;20;20110801 02:26;V;;;;;;
B;209;2078202;21;20110801 02:26;;3;67;YORK RD;QUEENS PARK;2022;;;20110506;20110617;672500;;R;RESIDENCE;3;;;0;AG332828;
C;209;2078202;21;20110801 02:26;3/SP5380;
D;209;2078202;21;20110801 02:26;P;;;;;;
D;209;2078202;21;20110801 02:26;V;;;;;;
B;209;2075637;22;20110801 02:26;;1;32;THE AVENUE;ROSE BAY;2029;;;20110607;20110719;580000;;R;RESIDENCE;1;;;0;AG377508;
C;209;2075637;22;20110801 02:26;1/SP2660;
D;209;2075637;22;20110801 02:26;P;;;;;;
D;209;2075637;22;20110801 02:26;P;;;;;;
D;209;2075637;22;20110801 02:26;V;;;;;;
B;209;2065107;23;20110801 02:26;;1;42;MACPHERSON ST;BRONTE;2024;;;20110701;20110708;300000;;R;RESIDENCE;1;;;0;AG372183;
C;209;2065107;23;20110801 02:26;1/SP32422;
D;209;2065107;23;20110801 02:26;P;;;;;;
D;209;2065107;23;20110801 02:26;V;;;;;;
B;209;2067673;24;20110801 02:26;;7;38;O'BRIEN ST;BONDI BEACH;2026;;;20110530;20110711;630000;;R;RESIDENCE;7;;;0;AG373180;
C;209;2067673;24;20110801 02:26;7/SP5309;
D;209;2067673;24;20110801 02:26;P;;;;;;
D;209;2067673;24;20110801 02:26;V;;;;;;
D;209;2067673;24;20110801 02:26;V;;;;;;
B;209;2065182;25;20110801 02:26;;2;4;MACPHERSON ST;WAVERLEY;2024;;;20110603;20110715;405000;;R;RESIDENCE;2;;;0;AG382874;
C;209;2065182;25;20110801 02:26;2/SP2404;
D;209;2065182;25;20110801 02:26;P;;;;;;
D;209;2065182;25;20110801 02:26;V;;;;;;
D;209;2065182;25;20110801 02:26;V;;;;;;
B;209;2076034;26;20110801 02:26;;;61;VICTORIA ST;WAVERLEY;2024;476.13;M;20110305;20110527;2750000;A;R;RESIDENCE;;CM;;0;AG386955;
C;209;2076034;26;20110801 02:26;4/738;
D;209;2076034;26;20110801 02:26;P;;;;;;
D;209;2076034;26;20110801 02:26;P;;;;;;
D;209;2076034;26;20110801 02:26;V;;;;;;
D;209;2076034;26;20110801 02:26;V;;;;;;
B;209;2070900;27;20110801 02:26;;2;14;PALMERSTON AVE;BRONTE;2024;;;20110605;20110718;580000;;R;RESIDENCE;2;;;0;AG385841;
C;209;2070900;27;20110801 02:26;2/SP19739;
D;209;2070900;27;20110801 02:26;P;;;;;;
D;209;2070900;27;20110801 02:26;V;;;;;;
B;209;3386219;28;20110801 02:26;;;7 A;EASTERN AVE;DOVER HEIGHTS;2030;208.7;M;20110415;20110714;1985000;A;R;RESIDENCE;;CA;;0;AG375696;
C;209;3386219;28;20110801 02:26;94/837;
D;209;3386219;28;20110801 02:26;P;;;;;;
D;209;3386219;28;20110801 02:26;P;;;;;;
D;209;3386219;28;20110801 02:26;V;;;;;;
B;209;3406215;29;20110801 02:26;;;95;HENRIETTA ST;WAVERLEY;2024;138;M;20110610;20110715;870000;A;R;RESIDENCE;;CM;;0;AG382018;
C;209;3406215;29;20110801 02:26;1/1128862;
D;209;3406215;29;20110801 02:26;P;;;;;;
D;209;3406215;29;20110801 02:26;P;;;;;;
D;209;3406215;29;20110801 02:26;P;;;;;;
D;209;3406215;29;20110801 02:26;V;;;;;;
B;209;2073934;30;20110801 02:26;;;101;RUTHVEN ST;BONDI JUNCTION;2022;203.6;M;20110323;20110713;1445000;A;R;RESIDENCE;;CP;;0;AG380206;
C;209;2073934;30;20110801 02:26;72/252259;
D;209;2073934;30;20110801 02:26;P;;;;;;
D;209;2073934;30;20110801 02:26;V;;;;;;
D;209;2073934;30;20110801 02:26;V;;;;;;
B;209;2071590;31;20110801 02:26;;32;22;PENKIVIL ST;BONDI;2026;;;20110702;20110720;650000;;R;RESIDENCE;32;;;0;AG386579;
C;209;2071590;31;20110801 02:26;32/SP11889;
D;209;2071590;31;20110801 02:26;P;;;;;;
D;209;2071590;31;20110801 02:26;V;;;;;;
D;209;2071590;31;20110801 02:26;V;;;;;;
B;209;3535631;32;20110801 02:26;;;152;BRIGHTON BVD;NORTH BONDI;2026;;;20110503;20110520;1235000;;V;VACANT LAND;1;;;0;AG278839;
C;209;3535631;32;20110801 02:26;1/SP84229;
D;209;3535631;32;20110801 02:26;P;;;;;;
D;209;3535631;32;20110801 02:26;V;;;;;;
B;209;3587785;33;20110801 02:26;;;28;SPRING ST;BONDI JUNCTION;2022;;;20110520;20110714;790000;;3;COMMERCIAL;91;;;0;AG383323;
C;209;3587785;33;20110801 02:26;91/SP85450;
D;209;3587785;33;20110801 02:26;P;;;;;;
D;209;3587785;33;20110801 02:26;V;;;;;;
B;209;2068733;34;20110801 02:26;;3;62;O'DONNELL ST;NORTH BONDI;2026;;;20110609;20110629;580000;;R;RESIDENCE;7;;;0;AG368590;
C;209;2068733;34;20110801 02:26;7/SP79223;
D;209;2068733;34;20110801 02:26;P;;;;;;
D;209;2068733;34;20110801 02:26;P;;;;;;
D;209;2068733;34;20110801 02:26;V;;;;;;
Z;166;34;34;96;
