A;044;20020402 12:52;CDIXON;
B;044;479915;1;20020402 12:52;;;;PH BALLALLABA PH PORS;CAPTAINS FLAT;2623;30;H;20010214;20020313;25000;R;V;VACANT LAND;;HH;;;8443897;
C;044;479915;1;20020402 12:52;48//754866;
D;044;479915;1;20020402 12:52;P;;;;;;
D;044;479915;1;20020402 12:52;V;;;;;;
B;044;479958;2;20020402 12:52;;;260;FOXLOW ST;CAPTAINS FLAT;2623;720.8;M;20020104;20020128;50000;Z;R;RESIDENCE;;VF;;;8347305;
C;044;479958;2;20020402 12:52;4//252149;
D;044;479958;2;20020402 12:52;P;;;;;;
D;044;479958;2;20020402 12:52;P;;;;;;
D;044;479958;2;20020402 12:52;V;;;;;;
D;044;479958;2;20020402 12:52;V;;;;;;
B;044;480025;3;20020402 12:52;;;55;FOXLOW ST;CAPTAINS FLAT;2623;1521;M;20020207;20020301;199000;Z;R;RESIDENCE;;VF;;;8420860;
C;044;480025;3;20020402 12:52;2//585090;
D;044;480025;3;20020402 12:52;P;;;;;;
D;044;480025;3;20020402 12:52;P;;;;;;
D;044;480025;3;20020402 12:52;V;;;;;;
B;044;480045;4;20020402 12:52;;;131;FOXLOW ST;CAPTAINS FLAT;2623;2213;M;20011221;20020305;89950;Z;R;RESIDENCE;;VF;;;8443753;
C;044;480045;4;20020402 12:52;1, 2, 3//216069;
D;044;480045;4;20020402 12:52;P;;;;;;
D;044;480045;4;20020402 12:52;P;;;;;;
D;044;480045;4;20020402 12:52;V;;;;;;
B;044;480122;5;20020402 12:52;;;48;SCHARDT ST;CAPTAINS FLAT;2623;695.6;M;20011022;20020117;55000;Z;R;RESIDENCE;;VF;;;8368542;
C;044;480122;5;20020402 12:52;3//115182;
D;044;480122;5;20020402 12:52;P;;;;;;
D;044;480122;5;20020402 12:52;P;;;;;;
D;044;480122;5;20020402 12:52;V;;;;;;
D;044;480122;5;20020402 12:52;V;;;;;;
D;044;480122;5;20020402 12:52;V;;;;;;
D;044;480122;5;20020402 12:52;V;;;;;;
B;044;480288;6;20020402 12:52;;;7154;MONARO HWY;WILLIAMSDALE;2620;26.35;H;20010824;20020118;470000;R;R;RESIDENCE;;RU;;;8339199;
C;044;480288;6;20020402 12:52;1//563134;
D;044;480288;6;20020402 12:52;P;;;;;;
D;044;480288;6;20020402 12:52;P;;;;;;
D;044;480288;6;20020402 12:52;V;;;;;;
D;044;480288;6;20020402 12:52;V;;;;;;
D;044;480288;6;20020402 12:52;V;;;;;;
B;044;480360;7;20020402 12:52;;;;BURRA RD;BURRA CREEK;2620;16;H;20020201;20020308;370000;R;R;RESIDENCE;;RU;;;8442863;
C;044;480360;7;20020402 12:52;5//700709;
D;044;480360;7;20020402 12:52;P;;;;;;
D;044;480360;7;20020402 12:52;P;;;;;;
D;044;480360;7;20020402 12:52;V;;;;;;
D;044;480360;7;20020402 12:52;V;;;;;;
B;044;480467;8;20020402 12:52;;;;ROYALLA DR;ROYALLA;2620;3.095;H;20011015;20011031;54667;R;V;VACANT LAND;;RW;;;8392163;
C;044;480467;8;20020402 12:52;28//1017324;
D;044;480467;8;20020402 12:52;P;;;;;;
