A;134;20020102 12:35;PTHIRLWELL;
B;134;1292600;1;20020102 12:35;;1;34;ALT ST;ASHFIELD;2131;;;20011020;20011130;251000;;R;RESIDENCE;1;;;;8200970;
C;134;1292600;1;20020102 12:35;1//368;
D;134;1292600;1;20020102 12:35;P;;;;;;
D;134;1292600;1;20020102 12:35;V;;;;;;
D;134;1292600;1;20020102 12:35;V;;;;;;
B;134;1292661;2;20020102 12:35;;15;28;ALT ST;ASHFIELD;2131;;;20010809;20010920;269000;;R;RESIDENCE;15;;;;8200202;
C;134;1292661;2;20020102 12:35;15//SP 1102;
D;134;1292661;2;20020102 12:35;P;;;;;;
D;134;1292661;2;20020102 12:35;V;;;;;;
D;134;1292661;2;20020102 12:35;V;;;;;;
B;134;1292661;3;20020102 12:35;;31;28;ALT ST;ASHFIELD;2131;;;20010809;20010920;269000;;R;RESIDENCE;31;;;;8200202;
C;134;1292661;3;20020102 12:35;31//SP 1102;
D;134;1292661;3;20020102 12:35;P;;;;;;
D;134;1292661;3;20020102 12:35;V;;;;;;
D;134;1292661;3;20020102 12:35;V;;;;;;
B;134;1292927;4;20020102 12:35;;;10;BARTLETT ST;SUMMER HILL;2130;417.3;M;20011030;20011211;575500;A;R;RESIDENCE;;EL;;;8213177;
C;134;1292927;4;20020102 12:35;A//316505;
D;134;1292927;4;20020102 12:35;P;;;;;;
D;134;1292927;4;20020102 12:35;P;;;;;;
D;134;1292927;4;20020102 12:35;V;;;;;;
B;134;1293010;5;20020102 12:35;;;4;BARTON AVE;HABERFIELD;2045;626;M;20011103;20011123;805000;A;R;RESIDENCE;;EH;;;8149937;
C;134;1293010;5;20020102 12:35;1//103899;
D;134;1293010;5;20020102 12:35;P;;;;;;
D;134;1293010;5;20020102 12:35;V;;;;;;
B;134;1293128;6;20020102 12:35;;24;5;BENALLA AVE;ASHFIELD;2131;;;20010924;20011123;275000;;R;RESIDENCE;24;;;;8189828;
C;134;1293128;6;20020102 12:35;24//4659;
D;134;1293128;6;20020102 12:35;P;;;;;;
D;134;1293128;6;20020102 12:35;V;;;;;;
B;134;1293989;7;20020102 12:35;;;13;CARLISLE ST;ASHFIELD;2131;;;20011027;20011210;515000;A;R;RESIDENCE;;ES;;;8199692;
C;134;1293989;7;20020102 12:35;7//2777;
D;134;1293989;7;20020102 12:35;P;;;;;;
D;134;1293989;7;20020102 12:35;V;;;;;;
D;134;1293989;7;20020102 12:35;V;;;;;;
B;134;1294035;8;20020102 12:35;;;18;CARLISLE ST;ASHFIELD;2131;328.8;M;20011110;20011217;471000;A;R;RESIDENCE;;ES;;;8215449;
C;134;1294035;8;20020102 12:35;21//130133;
D;134;1294035;8;20020102 12:35;P;;;;;;
