A;140;20020402 12:48;CDIXON;
B;140;1458560;1;20020402 12:48;;9;5 A;APSLEY ST;PENSHURST;2222;;;20020119;20020226;319000;;R;RESIDENCE;9;;;;8421846;
C;140;1458560;1;20020402 12:48;9//SP 54266;
D;140;1458560;1;20020402 12:48;P;;;;;;
D;140;1458560;1;20020402 12:48;P;;;;;;
D;140;1458560;1;20020402 12:48;V;;;;;;
D;140;1458560;1;20020402 12:48;V;;;;;;
B;140;1458693;2;20020402 12:48;;11;16;ARCADIA ST;PENSHURST;2222;;;20020116;20020225;260000;;R;RESIDENCE;11;;;;8425463;
C;140;1458693;2;20020402 12:48;11//SP 58038;
D;140;1458693;2;20020402 12:48;P;;;;;;
D;140;1458693;2;20020402 12:48;V;;;;;;
B;140;1459049;3;20020402 12:48;;;15;AUSTIN AVE;BEVERLY HILLS;2209;461.6;M;20011214;20020215;396000;A;R;RESIDENCE;;XF;;;8411249;
C;140;1459049;3;20020402 12:48;8//29949;
D;140;1459049;3;20020402 12:48;P;;;;;;
D;140;1459049;3;20020402 12:48;P;;;;;;
D;140;1459049;3;20020402 12:48;V;;;;;;
B;140;1459079;4;20020402 12:48;;2;11;AUSTRAL ST;PENSHURST;2222;;;20020117;20020301;226000;;R;RESIDENCE;2;;;;8411850;
C;140;1459079;4;20020402 12:48;2//22511;
D;140;1459079;4;20020402 12:48;P;;;;;;
D;140;1459079;4;20020402 12:48;V;;;;;;
B;140;1459088;5;20020402 12:48;;5;13;AUSTRAL ST;PENSHURST;2222;;;20011201;20020114;265000;;R;RESIDENCE;5;;;;8382471;
C;140;1459088;5;20020402 12:48;5//8148;
D;140;1459088;5;20020402 12:48;P;;;;;;
D;140;1459088;5;20020402 12:48;V;;;;;;
B;140;1459088;6;20020402 12:48;;18;13;AUSTRAL ST;PENSHURST;2222;;;20011201;20020114;265000;;R;RESIDENCE;18;;;;8382471;
C;140;1459088;6;20020402 12:48;18//8148;
D;140;1459088;6;20020402 12:48;P;;;;;;
D;140;1459088;6;20020402 12:48;V;;;;;;
B;140;1459173;7;20020402 12:48;;3;45;AUSTRAL ST;PENSHURST;2222;;;20011119;20020207;255000;;R;RESIDENCE;3;;;;8407904;
C;140;1459173;7;20020402 12:48;3//6340;
D;140;1459173;7;20020402 12:48;P;;;;;;
D;140;1459173;7;20020402 12:48;P;;;;;;
D;140;1459173;7;20020402 12:48;V;;;;;;
B;140;1459173;8;20020402 12:48;;13;45;AUSTRAL ST;PENSHURST;2222;;;20011119;20020207;255000;;R;RESIDENCE;13;;;;8407904;
C;140;1459173;8;20020402 12:48;13//6340;
D;140;1459173;8;20020402 12:48;P;;;;;;
D;140;1459173;8;20020402 12:48;P;;;;;;
D;140;1459173;8;20020402 12:48;V;;;;;;
B;140;1459198;9;20020402 12:48;;3;49;AUSTRAL ST;PENSHURST;2222;;;20020121;20020304;234000;;R;RESIDENCE;3;;;;8416449;
C;140;1459198;9;20020402 12:48;3//8849;
D;140;1459198;9;20020402 12:48;P;;;;;;
D;140;1459198;9;20020402 12:48;P;;;;;;
D;140;1459198;9;20020402 12:48;V;;;;;;
D;140;1459198;9;20020402 12:48;V;;;;;;
B;140;1459567;10;20020402 12:48;;;23;BALTIMORE RD;MORTDALE;2223;;;20020112;20020226;412000;A;3;HOUSE TOWNHOU;;XJ;;;8435127;
C;140;1459567;10;20020402 12:48;280//13827;
D;140;1459567;10;20020402 12:48;P;;;;;;
D;140;1459567;10;20020402 12:48;V;;;;;;
B;140;1459637;11;20020402 12:48;;;3;BANNERMAN ST;MORTDALE;2223;;;20011108;20011219;500000;A;R;RESIDENCE;;XJ;;;8230408;
C;140;1459637;11;20020402 12:48;136//13827;
D;140;1459637;11;20020402 12:48;P;;;;;;
D;140;1459637;11;20020402 12:48;V;;;;;;
B;140;1459919;12;20020402 12:48;;;76;BASSETT ST;HURSTVILLE;2220;;;20011103;20011221;407000;A;R;RESIDENCE;;XD;;;8396693;
C;140;1459919;12;20020402 12:48;B//313217;
D;140;1459919;12;20020402 12:48;P;;;;;;
D;140;1459919;12;20020402 12:48;V;;;;;;
D;140;1459919;12;20020402 12:48;V;;;;;;
B;140;1460417;13;20020402 12:48;;;3;BEECH PL;LUGARNO;2210;561.2;M;20011121;20020227;668000;A;R;RESIDENCE;;LG;;;8414732;
C;140;1460417;13;20020402 12:48;27//245968;
D;140;1460417;13;20020402 12:48;P;;;;;;
D;140;1460417;13;20020402 12:48;P;;;;;;
D;140;1460417;13;20020402 12:48;V;;;;;;
B;140;1460894;14;20020402 12:48;;11;1 C;BERRILLE RD;NARWEE;2209;;;20010322;20010517;167000;;R;RESIDENCE;11;;;;8447799;
C;140;1460894;14;20020402 12:48;11//2204;
D;140;1460894;14;20020402 12:48;P;;;;;;
D;140;1460894;14;20020402 12:48;V;;;;;;
D;140;1460894;14;20020402 12:48;V;;;;;;
B;140;1460894;15;20020402 12:48;;19;1 C;BERRILLE RD;NARWEE;2209;;;20010322;20010517;167000;;R;RESIDENCE;19;;;;8447799;
C;140;1460894;15;20020402 12:48;19//2204;
D;140;1460894;15;20020402 12:48;P;;;;;;
D;140;1460894;15;20020402 12:48;V;;;;;;
D;140;1460894;15;20020402 12:48;V;;;;;;
B;140;1460970;16;20020402 12:48;;;82;BERONGA AVE;HURSTVILLE;2220;;;20020125;20020308;390000;A;R;RESIDENCE;;XC;;;8444506;
C;140;1460970;16;20020402 12:48;24//12621;
D;140;1460970;16;20020402 12:48;P;;;;;;
D;140;1460970;16;20020402 12:48;P;;;;;;
D;140;1460970;16;20020402 12:48;V;;;;;;
B;140;1461201;17;20020402 12:48;;25;11;BOND ST;HURSTVILLE;2220;;;20020124;20020219;303000;;R;RESIDENCE;25;;;;8388260;
C;140;1461201;17;20020402 12:48;25//45282;
D;140;1461201;17;20020402 12:48;P;;;;;;
D;140;1461201;17;20020402 12:48;V;;;;;;
B;140;1461283;18;20020402 12:48;;11;2;BOND ST;HURSTVILLE;2220;;;20020130;20020315;315000;;R;RESIDENCE;11;;;;8450407;
