A;127;20030619 09:06;PDANN;
B;127;1280728;1;20030619 09:06;TORRIE LODGE;;7145;BYLONG VALLEY WAY;BYLONG;2849;380.6;H;20021022;20030117;740000;R;R;RESIDENCE;;MA;RM;0;9311237;
C;127;1280728;1;20030619 09:06;1//199850 1//420435 7, 8, PT 13, 14, 15, 21, 27, 28, 29, 45, 69, 70, 7;
C;127;1280728;1;20030619 09:06;1//755419;
D;127;1280728;1;20030619 09:06;P;;;;;;
D;127;1280728;1;20030619 09:06;P;;;;;;
D;127;1280728;1;20030619 09:06;V;;;;;;
D;127;1280728;1;20030619 09:06;V;;;;;;
B;127;1280873;2;20030619 09:06;;;262;HOME HILLS RD;GLEN ALICE;2849;40;H;20021129;20021129;100000;R;3;FARM/RURAL;;HG;RR;0;9366801;
C;127;1280873;2;20030619 09:06;2//258666;
D;127;1280873;2;20030619 09:06;P;;;;;;
D;127;1280873;2;20030619 09:06;P;;;;;;
D;127;1280873;2;20030619 09:06;V;;;;;;
B;127;1282238;3;20030619 09:06;;;35;DUNN ST;KANDOS;2848;;;20030204;20030318;55000;Z;R;RESIDENCE;;AE;AC;0;9461874;
C;127;1282238;3;20030619 09:06;A//361740;
D;127;1282238;3;20030619 09:06;P;;;;;;
D;127;1282238;3;20030619 09:06;V;;;;;;
D;127;1282238;3;20030619 09:06;V;;;;;;
B;127;1282405;4;20030619 09:06;;;11;MCDONALD ST;KANDOS;2848;1214;M;20021223;20030203;62500;Z;R;RESIDENCE;;AE;AC;0;9374930;
C;127;1282405;4;20030619 09:06;21/20/9704;
D;127;1282405;4;20030619 09:06;P;;;;;;
D;127;1282405;4;20030619 09:06;V;;;;;;
B;127;1282422;5;20030619 09:06;;;;MCLACHLAN ST;KANDOS;2848;1214;M;20030130;20030313;65000;Z;V;VACANT LAND;;AE;AV;0;9449962;
C;127;1282422;5;20030619 09:06;;
D;127;1282422;5;20030619 09:06;P;;;;;;
D;127;1282422;5;20030619 09:06;V;;;;;;
B;127;1282436;6;20030619 09:06;;;29;MCLACHLAN ST;KANDOS;2848;2024;M;20021126;20021217;10000;Z;V;VACANT LAND;;AE;AV;0;9344994;
C;127;1282436;6;20030619 09:06;17, 18/23/9704;
D;127;1282436;6;20030619 09:06;P;;;;;;
D;127;1282436;6;20030619 09:06;P;;;;;;
D;127;1282436;6;20030619 09:06;V;;;;;;
B;127;1282540;7;20030619 09:06;;;16;RODGERS ST;KANDOS;2848;1012;M;20021217;20030207;40000;Z;R;RESIDENCE;;AE;AC;0;9390424;
C;127;1282540;7;20030619 09:06;8/8/8161;
D;127;1282540;7;20030619 09:06;P;;;;;;
D;127;1282540;7;20030619 09:06;V;;;;;;
B;127;2976650;8;20030619 09:06;;;;NULLO MOUNTAIN RD;RYLSTONE;2849;48.56;H;20021018;20021129;20000;R;V;VACANT LAND;;HH;RV;0;9329946;
C;127;2976650;8;20030619 09:06;43//755444 Conditional Lease 06/21;
D;127;2976650;8;20030619 09:06;P;;;;;;
D;127;2976650;8;20030619 09:06;V;;;;;;
D;127;2976650;8;20030619 09:06;V;;;;;;
D;127;2976650;8;20030619 09:06;V;;;;;;
Z;42;8;9;23;
