A;256;20020102 13:35;PTHIRLWELL;
B;256;2688211;1;20020102 13:35;;;;PH ADAMS;WARIALDA;2402;255.5;H;20010824;20011002;320000;R;R;RESIDENCE;;SF;RG;;8046597;
C;256;2688211;1;20020102 13:35;5, 6, 7//4806 1//104937 2//111590 67//751085 87//751095 Special Lease ;
C;256;2688211;1;20020102 13:35;66/5 Special Lease 67/1;
D;256;2688211;1;20020102 13:35;P;;;;;;
D;256;2688211;1;20020102 13:35;P;;;;;;
D;256;2688211;1;20020102 13:35;P;;;;;;
D;256;2688211;1;20020102 13:35;P;;;;;;
D;256;2688211;1;20020102 13:35;V;;;;;;
B;256;2688403;2;20020102 13:35;;;;;WARIALDA;2402;462.9;H;20010621;20010628;250000;R;3;FARM;;SF;RG;;7775264;
C;256;2688403;2;20020102 13:35;1//594512 2//617889 69, 7, 8, 9, //751095;
D;256;2688403;2;20020102 13:35;P;;;;;;
D;256;2688403;2;20020102 13:35;P;;;;;;
D;256;2688403;2;20020102 13:35;P;;;;;;
D;256;2688403;2;20020102 13:35;P;;;;;;
D;256;2688403;2;20020102 13:35;V;;;;;;
B;256;2688689;3;20020102 13:35;;;2;BENT ST;GRAVESEND;2401;7360;M;20010815;20010912;64000;Z;V;VACANT LAND;;GN;AC;;8050516;
C;256;2688689;3;20020102 13:35;99//662530 96, 97, 98//751108 1//950096;
D;256;2688689;3;20020102 13:35;P;;;;;;
D;256;2688689;3;20020102 13:35;P;;;;;;
D;256;2688689;3;20020102 13:35;V;;;;;;
B;256;2688763;4;20020102 13:35;;;;;WARIALDA;2402;4809;H;20010523;20010629;2100000;R;3;INCLS 1861527;;MF;RM;;8046445;
C;256;2688763;4;20020102 13:35;6//131053 12, 24, 25, 31, 33, 34, 35, 36, 37, 4, 44, 45, 49, 5, 57, 6,;
C;256;2688763;4;20020102 13:35; 60, 7, 8, 9, //751113 10, 11, 26, 27//751123 CL RDS;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;P;;;;;;
D;256;2688763;4;20020102 13:35;V;;;;;;
B;256;2689043;5;20020102 13:35;;;;"CAVELL HILL";WARIALDA;2402;449.6;H;20010309;20010419;135000;R;3;RURAL LAND;;SF;RG;;7553883;
C;256;2689043;5;20020102 13:35;110//39963 63, 64, 74, 75, //751128;
D;256;2689043;5;20020102 13:35;P;;;;;;
D;256;2689043;5;20020102 13:35;P;;;;;;
D;256;2689043;5;20020102 13:35;V;;;;;;
