A;RTSALEDATA;261;20250310 01:08;VALNET;
B;261;815099;1;20250310 01:08;;;4 A;CHISWICK RD;SOUTH GRANVILLE;2142;314.3;M;20250124;20250228;965000;R2;R;RESIDENCE;;BCA;;0;AU858943;
C;261;815099;1;20250310 01:08;22/845931;
D;261;815099;1;20250310 01:08;P;;;;;;
D;261;815099;1;20250310 01:08;P;;;;;;
D;261;815099;1;20250310 01:08;V;;;;;;
B;261;850500;2;20250310 01:08;;;123;THE TRONGATE;GRANVILLE;2142;757;M;20241206;20250303;1520000;R2;R;RESIDENCE;;BCA;;0;AU863082;
C;261;850500;2;20250310 01:08;4/7165;
D;261;850500;2;20250310 01:08;P;;;;;;
D;261;850500;2;20250310 01:08;P;;;;;;
D;261;850500;2;20250310 01:08;V;;;;;;
B;261;850652;3;20250310 01:08;;10;22;THE TRONGATE;GRANVILLE;2142;50;M;20241206;20250228;380000;;R;RESIDENCE;10;;;0;AU857368;
C;261;850652;3;20250310 01:08;10/SP10253;
D;261;850652;3;20250310 01:08;P;;;;;;
D;261;850652;3;20250310 01:08;P;;;;;;
D;261;850652;3;20250310 01:08;V;;;;;;
B;261;848275;4;20250310 01:08;;;88;SOUTH ST;GRANVILLE;2142;412.5;M;20250116;20250228;1375000;E1;R;RESIDENCE;;LC2;;0;AU859737;
C;261;848275;4;20250310 01:08;1/1005779;
D;261;848275;4;20250310 01:08;P;;;;;;
D;261;848275;4;20250310 01:08;V;;;;;;
B;261;2444025;5;20250310 01:08;;;212;GREYSTANES RD;GREYSTANES;2145;556.4;M;20250104;20250303;1100000;R2;R;RESIDENCE;;AAB;;0;AU864207;
C;261;2444025;5;20250310 01:08;5/238791;
D;261;2444025;5;20250310 01:08;P;;;;;;
D;261;2444025;5;20250310 01:08;P;;;;;;
D;261;2444025;5;20250310 01:08;V;;;;;;
D;261;2444025;5;20250310 01:08;V;;;;;;
D;261;2444025;5;20250310 01:08;V;;;;;;
B;261;2438786;6;20250310 01:08;;;62;CUMBERLAND RD;GREYSTANES;2145;565.3;M;20250120;20250228;1405000;R2;R;RESIDENCE;;AAB;;0;AU857525;
C;261;2438786;6;20250310 01:08;4/250298;
D;261;2438786;6;20250310 01:08;P;;;;;;
D;261;2438786;6;20250310 01:08;V;;;;;;
D;261;2438786;6;20250310 01:08;V;;;;;;
B;261;2444373;7;20250310 01:08;;1;466;GUILDFORD RD;GUILDFORD;2161;;;20250206;20250227;380000;;R;RESIDENCE;1;;;0;AU854691;
C;261;2444373;7;20250310 01:08;1/SP5431;
D;261;2444373;7;20250310 01:08;P;;;;;;
D;261;2444373;7;20250310 01:08;V;;;;;;
B;261;2437317;8;20250310 01:08;;14;21;CHELMSFORD RD;SOUTH WENTWORTHVILLE;2145;;;20250202;20250303;680000;;R;RESIDENCE;14;;;0;AU865204;
C;261;2437317;8;20250310 01:08;14/SP47110;
D;261;2437317;8;20250310 01:08;P;;;;;;
D;261;2437317;8;20250310 01:08;P;;;;;;
D;261;2437317;8;20250310 01:08;V;;;;;;
B;261;2445903;9;20250310 01:08;;;10 E;HILLTOP RD;MERRYLANDS;2160;954.9;M;20241022;20250224;4200000;E1;R;RESIDENCE;;LNC;;0;AU846378;
C;261;2445903;9;20250310 01:08;1, 2, 3, 4, 5, 6/28303;
D;261;2445903;9;20250310 01:08;P;;;;;;
D;261;2445903;9;20250310 01:08;V;;;;;;
D;261;2445903;9;20250310 01:08;V;;;;;;
B;261;2461573;10;20250310 01:08;;;8;VIRGINIA ST;GUILDFORD WEST;2161;569.1;M;20241129;20250227;1150000;R2;R;RESIDENCE;;AAG;;0;AU855276;
C;261;2461573;10;20250310 01:08;29/29342;
D;261;2461573;10;20250310 01:08;P;;;;;;
D;261;2461573;10;20250310 01:09;V;;;;;;
