A;084;20021204 09:04;PDANN;
B;084;683110;1;20021204 09:04;;;71;ABINGDON RD;ROSEVILLE;2069;764.4;M;20020902;20021115;665000;A;R;RESIDENCE;;GD;;;9152499;
C;084;683110;1;20021204 09:04;38//13028;
D;084;683110;1;20021204 09:04;P;;;;;;
D;084;683110;1;20021204 09:04;P;;;;;;
D;084;683110;1;20021204 09:04;V;;;;;;
B;084;683864;2;20021204 09:04;;;24;ALVONA AVE;ST IVES;2075;916.9;M;20010922;20011029;592000;A;R;RESIDENCE;;GP;;;9138877;
C;084;683864;2;20021204 09:04;5//211094;
D;084;683864;2;20021204 09:04;P;;;;;;
D;084;683864;2;20021204 09:04;P;;;;;;
D;084;683864;2;20021204 09:04;V;;;;;;
B;084;684493;3;20021204 09:04;;;54;ATHENA AVE;ST IVES;2075;954.8;M;20020926;20021107;785000;A;R;RESIDENCE;;GS;;;9134989;
C;084;684493;3;20021204 09:04;3//238542;
D;084;684493;3;20021204 09:04;P;;;;;;
D;084;684493;3;20021204 09:04;P;;;;;;
D;084;684493;3;20021204 09:04;V;;;;;;
B;084;684903;4;20021204 09:04;;;37;BALMARINGA AVE;TURRAMURRA;2074;929.5;M;20020923;20021104;677500;A;R;RESIDENCE;;EH;;;9113219;
C;084;684903;4;20021204 09:04;3//29437;
D;084;684903;4;20021204 09:04;P;;;;;;
D;084;684903;4;20021204 09:04;P;;;;;;
D;084;684903;4;20021204 09:04;V;;;;;;
D;084;684903;4;20021204 09:04;V;;;;;;
B;084;685352;5;20021204 09:04;;;27;BAREENA AVE;WAHROONGA;2076;1113;M;20020823;20021011;1230000;A;R;RESIDENCE;;HE;;;9114486;
C;084;685352;5;20021204 09:04;11//748510;
D;084;685352;5;20021204 09:04;P;;;;;;
D;084;685352;5;20021204 09:04;V;;;;;;
D;084;685352;5;20021204 09:04;V;;;;;;
B;084;686083;6;20021204 09:04;;;84;BENT ST;LINDFIELD;2070;1252;M;20021018;20021107;101220;A;3;;;GB;;;9139570;
C;084;686083;6;20021204 09:04;C//376544;
D;084;686083;6;20021204 09:04;P;;;;;;
D;084;686083;6;20021204 09:04;P;;;;;;
D;084;686083;6;20021204 09:04;P;;;;;;
D;084;686083;6;20021204 09:04;V;;;;;;
D;084;686083;6;20021204 09:04;V;;;;;;
D;084;686083;6;20021204 09:04;V;;;;;;
B;084;686273;7;20021204 09:04;;;63;BILLYARD AVE;WAHROONGA;2076;860;M;20020523;20020523;500000;A;R;RESIDENCE;;HB;;;9135795;
C;084;686273;7;20021204 09:04;1//339596;
D;084;686273;7;20021204 09:04;P;;;;;;
D;084;686273;7;20021204 09:04;V;;;;;;
D;084;686273;7;20021204 09:04;V;;;;;;
B;084;686695;8;20021204 09:04;;;212;BOBBIN HEAD RD;TURRAMURRA;2074;1303;M;20020830;20021101;775000;A;R;RESIDENCE;;MH;;;9149150;
C;084;686695;8;20021204 09:04;B//343953;
D;084;686695;8;20021204 09:04;P;;;;;;
D;084;686695;8;20021204 09:04;P;;;;;;
D;084;686695;8;20021204 09:04;P;;;;;;
D;084;686695;8;20021204 09:04;V;;;;;;
B;084;686842;9;20021204 09:04;HOUN PARK;11;381;BOBBIN HEAD RD;TURRAMURRA;2074;;;20020902;20021101;750000;;R;RESIDENCE;11;;;;9110467;
C;084;686842;9;20021204 09:04;11//42159;
D;084;686842;9;20021204 09:04;P;;;;;;
D;084;686842;9;20021204 09:04;V;;;;;;
B;084;686842;10;20021204 09:04;HOUN PARK;48;381;BOBBIN HEAD RD;TURRAMURRA;2074;;;20021008;20021108;753000;;R;RESIDENCE;48;;;;9117079;
C;084;686842;10;20021204 09:04;48//SP 54427;
D;084;686842;10;20021204 09:04;P;;;;;;
D;084;686842;10;20021204 09:04;P;;;;;;
D;084;686842;10;20021204 09:04;V;;;;;;
B;084;687134;11;20021204 09:04;;;12;BOLWARRA AVE;WEST PYMBLE;2073;910.5;M;20020913;20021108;640000;A;R;RESIDENCE;;EQ;;;9117827;
C;084;687134;11;20021204 09:04;115//27290;
D;084;687134;11;20021204 09:04;P;;;;;;
D;084;687134;11;20021204 09:04;P;;;;;;
D;084;687134;11;20021204 09:04;V;;;;;;
B;084;687445;12;20021204 09:04;;;113;BOUNDARY RD;WAHROONGA;2076;2257;M;20020719;20021119;2000000;A;R;RESIDENCE;;HD;;;9147711;
C;084;687445;12;20021204 09:04;Y//389663;
D;084;687445;12;20021204 09:04;P;;;;;;
D;084;687445;12;20021204 09:04;V;;;;;;
B;084;688368;13;20021204 09:04;;;6;BRUCE AVE;KILLARA;2071;1113;M;20020911;20020911;475000;A;R;RESIDENCE;;EY;;;9147159;
C;084;688368;13;20021204 09:04;C//400922;
D;084;688368;13;20021204 09:04;P;;;;;;
D;084;688368;13;20021204 09:04;V;;;;;;
D;084;688368;13;20021204 09:04;V;;;;;;
