A;114;20020916 14:04;PDANN;
B;114;1222311;1;20020916 14:04;;;13;ALLANDALE DR;DUBBO;2830;992;M;20020604;20020719;240000;A;R;RESIDENCE;;AA;;;8925236;
C;114;1222311;1;20020916 14:04;503//604075;
D;114;1222311;1;20020916 14:04;P;;;;;;
D;114;1222311;1;20020916 14:04;P;;;;;;
D;114;1222311;1;20020916 14:04;V;;;;;;
D;114;1222311;1;20020916 14:04;V;;;;;;
B;114;1222601;2;20020916 14:04;;1;71;BAIRD DR;DUBBO;2830;;;20020802;20020823;82000;;R;RESIDENCE;1;;;;8920210;
C;114;1222601;2;20020916 14:04;1//SP 41019;
D;114;1222601;2;20020916 14:04;P;;;;;;
D;114;1222601;2;20020916 14:04;V;;;;;;
B;114;1222962;3;20020916 14:04;;;7;BELMORE PL;DUBBO;2830;890.2;M;20020816;20020816;100000;A;R;RESIDENCE;;AE;;;8917814;
C;114;1222962;3;20020916 14:04;281//806892;
D;114;1222962;3;20020916 14:04;P;;;;;;
D;114;1222962;3;20020916 14:04;V;;;;;;
D;114;1222962;3;20020916 14:04;V;;;;;;
B;114;1223379;4;20020916 14:04;;;4;BISHOP ST;DUBBO;2830;;;20020715;20020826;120000;A;R;RESIDENCE;;AE;;;8919531;
C;114;1223379;4;20020916 14:04;8/2/6277;
D;114;1223379;4;20020916 14:04;P;;;;;;
D;114;1223379;4;20020916 14:04;P;;;;;;
D;114;1223379;4;20020916 14:04;V;;;;;;
B;114;1223645;5;20020916 14:04;;;131;BOUNDARY RD;DUBBO;2830;708.2;M;20020725;20020904;143000;A;R;RESIDENCE;;AC;;;8939482;
C;114;1223645;5;20020916 14:04;6//239869;
D;114;1223645;5;20020916 14:04;P;;;;;;
D;114;1223645;5;20020916 14:04;P;;;;;;
D;114;1223645;5;20020916 14:04;V;;;;;;
B;114;1223854;6;20020916 14:04;;;87;BOURKE ST;DUBBO;2830;404.7;M;20020715;20020826;90000;A;R;RESIDENCE;;DG;;;8933950;
C;114;1223854;6;20020916 14:04;1//741272;
D;114;1223854;6;20020916 14:04;P;;;;;;
D;114;1223854;6;20020916 14:04;V;;;;;;
D;114;1223854;6;20020916 14:04;V;;;;;;
B;114;1224327;7;20020916 14:04;;1;77;BULTJE ST;DUBBO;2830;;;20020722;20020826;165000;;R;RESIDENCE;1;;;;8901772;
C;114;1224327;7;20020916 14:04;1//SP 43832;
D;114;1224327;7;20020916 14:04;P;;;;;;
D;114;1224327;7;20020916 14:04;V;;;;;;
B;114;1224474;8;20020916 14:04;;;166;BUNGLEGUMBIE RD;DUBBO;2830;713.1;M;20020605;20020816;112000;A;R;RESIDENCE;;AT;;;8911729;
C;114;1224474;8;20020916 14:04;4//249332;
D;114;1224474;8;20020916 14:04;P;;;;;;
D;114;1224474;8;20020916 14:04;V;;;;;;
D;114;1224474;8;20020916 14:04;V;;;;;;
B;114;1225239;9;20020916 14:04;;;51;COBBORA RD;DUBBO;2830;;;20020621;20020816;85000;A;R;RESIDENCE;;AP;;;8913557;
C;114;1225239;9;20020916 14:04;4//23530;
D;114;1225239;9;20020916 14:04;P;;;;;;
D;114;1225239;9;20020916 14:04;V;;;;;;
D;114;1225239;9;20020916 14:04;V;;;;;;
D;114;1225239;9;20020916 14:04;V;;;;;;
B;114;1225335;10;20020916 14:04;;;152;COBRA ST;DUBBO;2830;;;20020704;20020815;300000;A;3;HOUSE/SHOP;;DF;;;8911053;
C;114;1225335;10;20020916 14:04;1//309752;
D;114;1225335;10;20020916 14:04;P;;;;;;
D;114;1225335;10;20020916 14:04;P;;;;;;
D;114;1225335;10;20020916 14:04;V;;;;;;
D;114;1225335;10;20020916 14:04;V;;;;;;
B;114;1225465;11;20020916 14:04;;;22;COLONY CRES;DUBBO;2830;4000;M;20020517;20020719;407500;A;R;RESIDENCE;;GA;;;8903706;
C;114;1225465;11;20020916 14:04;10//805275;
D;114;1225465;11;20020916 14:04;P;;;;;;
D;114;1225465;11;20020916 14:04;P;;;;;;
D;114;1225465;11;20020916 14:04;V;;;;;;
D;114;1225465;11;20020916 14:04;V;;;;;;
B;114;1226105;12;20020916 14:04;;;192;DARLING ST;DUBBO;2830;383.3;M;20020620;20020723;65000;A;R;RESIDENCE;;AE;;;8915503;
C;114;1226105;12;20020916 14:04;8/1/2978;
D;114;1226105;12;20020916 14:04;P;;;;;;
D;114;1226105;12;20020916 14:04;V;;;;;;
B;114;1227245;13;20020916 14:04;;;416 B;FITZROY ST;DUBBO;2830;992.1;M;20020606;20020808;252000;A;R;RESIDENCE;;AA;;;8915839;
C;114;1227245;13;20020916 14:04;504//604075;
D;114;1227245;13;20020916 14:04;P;;;;;;
D;114;1227245;13;20020916 14:04;P;;;;;;
B;114;1227335;14;20020916 14:04;;;226;FITZROY ST;DUBBO;2830;1012;M;20020628;20020628;375000;A;3;FLATS;;DB;;;8917785;
C;114;1227335;14;20020916 14:04;291//115770;
D;114;1227335;14;20020916 14:04;P;;;;;;
D;114;1227335;14;20020916 14:04;V;;;;;;
B;114;1227490;15;20020916 14:04;;;281;FITZROY ST;DUBBO;2830;2011;M;20020704;20020821;316000;A;R;RESIDENCE;;AD;;;8915663;
C;114;1227490;15;20020916 14:04;G//417400;
D;114;1227490;15;20020916 14:04;P;;;;;;
D;114;1227490;15;20020916 14:04;P;;;;;;
D;114;1227490;15;20020916 14:04;V;;;;;;
D;114;1227490;15;20020916 14:04;V;;;;;;
B;114;1227709;16;20020916 14:04;;;12;GARNET ST;DUBBO;2830;602.7;M;20020725;20020905;175000;A;R;RESIDENCE;;AA;;;8932974;
C;114;1227709;16;20020916 14:04;45//247824;
D;114;1227709;16;20020916 14:04;P;;;;;;
D;114;1227709;16;20020916 14:04;V;;;;;;
D;114;1227709;16;20020916 14:04;V;;;;;;
B;114;1228441;17;20020916 14:04;;;2;HEATHER ST;DUBBO;2830;556.4;M;20020613;20020719;105000;A;R;RESIDENCE;;AB;;;8928092;
C;114;1228441;17;20020916 14:04;8//507156;
D;114;1228441;17;20020916 14:04;P;;;;;;
D;114;1228441;17;20020916 14:04;V;;;;;;
B;114;1228582;18;20020916 14:04;;;18;HOMESTEAD DR;DUBBO;2830;4896;M;20020712;20020823;230000;A;R;RESIDENCE;;GA;;;8928725;
C;114;1228582;18;20020916 14:04;49//835119;
D;114;1228582;18;20020916 14:04;P;;;;;;
D;114;1228582;18;20020916 14:04;P;;;;;;
D;114;1228582;18;20020916 14:04;V;;;;;;
D;114;1228582;18;20020916 14:04;V;;;;;;
B;114;1228955;19;20020916 14:04;;;;JANNALI RD;DUBBO;2830;1.57;H;20020614;20020614;100000;I;V;VACANT LAND;;QK;;;8915262;
C;114;1228955;19;20020916 14:04;7//529578;
D;114;1228955;19;20020916 14:04;P;;;;;;
D;114;1228955;19;20020916 14:04;V;;;;;;
B;114;1229063;20;20020916 14:04;;;3;LINCOLN PARK WAY;DUBBO;2830;1440;M;20020801;20020829;220000;A;R;RESIDENCE;;EA;;;8932485;
C;114;1229063;20;20020916 14:04;186//830404;
D;114;1229063;20;20020916 14:04;P;;;;;;
D;114;1229063;20;20020916 14:04;V;;;;;;
D;114;1229063;20;20020916 14:04;V;;;;;;
B;114;1229664;21;20020916 14:04;;;19;LINCOLN PKWY;DUBBO;2830;1038;M;20020808;20020830;220000;A;R;RESIDENCE;;EA;;;8931115;
C;114;1229664;21;20020916 14:04;194//835233;
D;114;1229664;21;20020916 14:04;P;;;;;;
D;114;1229664;21;20020916 14:04;P;;;;;;
D;114;1229664;21;20020916 14:04;V;;;;;;
D;114;1229664;21;20020916 14:04;V;;;;;;
B;114;1230983;22;20020916 14:04;;;26;MURRUMBIDGEE PL;DUBBO;2830;822.4;M;20020530;20020705;180000;A;R;RESIDENCE;;EC;;;8908539;
C;114;1230983;22;20020916 14:04;65//874342;
D;114;1230983;22;20020916 14:04;P;;;;;;
D;114;1230983;22;20020916 14:04;P;;;;;;
D;114;1230983;22;20020916 14:04;V;;;;;;
D;114;1230983;22;20020916 14:04;V;;;;;;
B;114;1231022;23;20020916 14:04;;;105;MYALL ST;DUBBO;2830;741;M;20020719;20020830;105000;A;R;RESIDENCE;;AQ;;;8935252;
C;114;1231022;23;20020916 14:04;1//704108;
D;114;1231022;23;20020916 14:04;P;;;;;;
D;114;1231022;23;20020916 14:04;V;;;;;;
B;114;1231982;24;20020916 14:04;;;56;OXLEY CIR;DUBBO;2830;684.7;M;20020725;20020829;114000;A;R;RESIDENCE;;AK;;;8934700;
C;114;1231982;24;20020916 14:04;142//248655;
D;114;1231982;24;20020916 14:04;P;;;;;;
D;114;1231982;24;20020916 14:04;P;;;;;;
D;114;1231982;24;20020916 14:04;V;;;;;;
B;114;1232187;25;20020916 14:04;;;9 L;PANAI AVE;DUBBO;2830;11.97;H;20020712;20020830;85000;R;3;;;HB;;;8929536;
C;114;1232187;25;20020916 14:04;4//626624;
D;114;1232187;25;20020916 14:04;P;;;;;;
D;114;1232187;25;20020916 14:04;P;;;;;;
D;114;1232187;25;20020916 14:04;V;;;;;;
B;114;1232874;26;20020916 14:04;;;20;RON GORDON PL;DUBBO;2830;723.5;M;20020813;20020827;230000;A;R;RESIDENCE;;AL;;;8918706;
C;114;1232874;26;20020916 14:04;60//819286;
D;114;1232874;26;20020916 14:04;P;;;;;;
D;114;1232874;26;20020916 14:04;P;;;;;;
D;114;1232874;26;20020916 14:04;V;;;;;;
D;114;1232874;26;20020916 14:04;V;;;;;;
B;114;1233400;27;20020916 14:04;;;17;SLOMAN CL;DUBBO;2830;742.4;M;20020710;20020731;95000;A;R;RESIDENCE;;AQ;;;8924870;
C;114;1233400;27;20020916 14:04;30//721274;
D;114;1233400;27;20020916 14:04;P;;;;;;
D;114;1233400;27;20020916 14:04;V;;;;;;
D;114;1233400;27;20020916 14:04;V;;;;;;
B;114;1233412;28;20020916 14:04;;2;10;SMITH ST;DUBBO;2830;;;20020705;20020814;73000;;R;RESIDENCE;2;;;;8888623;
C;114;1233412;28;20020916 14:04;2//7446;
D;114;1233412;28;20020916 14:04;P;;;;;;
D;114;1233412;28;20020916 14:04;P;;;;;;
D;114;1233412;28;20020916 14:04;V;;;;;;
B;114;1233483;29;20020916 14:04;;;20;SOVEREIGN ST;DUBBO;2830;800;M;20020722;20020902;245000;A;R;RESIDENCE;;AJ;;;8929230;
C;114;1233483;29;20020916 14:04;178//262001;
D;114;1233483;29;20020916 14:04;P;;;;;;
D;114;1233483;29;20020916 14:04;P;;;;;;
D;114;1233483;29;20020916 14:04;V;;;;;;
D;114;1233483;29;20020916 14:04;V;;;;;;
B;114;1233514;30;20020916 14:04;;;2;ANDREW PL;DUBBO;2830;960.4;M;20020712;20020823;183000;A;R;RESIDENCE;;AJ;;;8920731;
C;114;1233514;30;20020916 14:04;250//262001;
D;114;1233514;30;20020916 14:04;P;;;;;;
D;114;1233514;30;20020916 14:04;P;;;;;;
D;114;1233514;30;20020916 14:04;V;;;;;;
D;114;1233514;30;20020916 14:04;V;;;;;;
B;114;1233829;31;20020916 14:04;;;18;STERLING ST;DUBBO;2830;947.8;M;20020726;20020726;90000;A;R;RESIDENCE;;AE;;;8911547;
C;114;1233829;31;20020916 14:04;B//379224;
D;114;1233829;31;20020916 14:04;P;;;;;;
D;114;1233829;31;20020916 14:04;V;;;;;;
B;114;1233861;32;20020916 14:04;;;41;STERLING ST;DUBBO;2830;505.9;M;20020716;20020827;124000;A;R;RESIDENCE;;AE;;;8916571;
C;114;1233861;32;20020916 14:04;1//339708;
D;114;1233861;32;20020916 14:04;P;;;;;;
D;114;1233861;32;20020916 14:04;V;;;;;;
B;114;1234193;33;20020916 14:04;;;35;TALBRAGAR ST;DUBBO;2830;163.2;M;20020717;20020812;132000;B;3;SHOP;;BE;;;8914456;
C;114;1234193;33;20020916 14:04;1//212088;
D;114;1234193;33;20020916 14:04;P;;;;;;
D;114;1234193;33;20020916 14:04;V;;;;;;
B;114;1234611;34;20020916 14:04;;;5 L;THURLOO RD;DUBBO;2830;2.033;H;20020731;20020828;75000;A;3;;;CF;;;8911538;
C;114;1234611;34;20020916 14:04;199//285134;
D;114;1234611;34;20020916 14:04;P;;;;;;
D;114;1234611;34;20020916 14:04;P;;;;;;
D;114;1234611;34;20020916 14:04;V;;;;;;
B;114;1234770;35;20020916 14:04;;;16;TRAFLAGAR PL;DUBBO;2830;1295;M;20020624;20020805;195000;A;R;RESIDENCE;;AL;;;8923543;
C;114;1234770;35;20020916 14:04;18//264598;
D;114;1234770;35;20020916 14:04;P;;;;;;
D;114;1234770;35;20020916 14:04;P;;;;;;
D;114;1234770;35;20020916 14:04;V;;;;;;
D;114;1234770;35;20020916 14:04;V;;;;;;
B;114;1235024;36;20020916 14:04;;;9;VOYAGER WAY;DUBBO;2830;701;M;20020704;20020809;108000;A;R;RESIDENCE;;AM;;;8908720;
C;114;1235024;36;20020916 14:04;27//814019;
D;114;1235024;36;20020916 14:04;P;;;;;;
D;114;1235024;36;20020916 14:04;V;;;;;;
B;114;1235401;37;20020916 14:04;;;73;WHEELERS LANE;DUBBO;2830;1938;M;19990512;19990817;170000;I;3;COMMERCIAL;;QB;;;8942033;
C;114;1235401;37;20020916 14:04;1021//805033;
D;114;1235401;37;20020916 14:04;P;;;;;;
D;114;1235401;37;20020916 14:04;V;;;;;;
D;114;1235401;37;20020916 14:04;V;;;;;;
D;114;1235401;37;20020916 14:04;V;;;;;;
B;114;1235698;38;20020916 14:04;;;12;WILLS ST;DUBBO;2830;739.3;M;20020618;20020815;140000;A;R;RESIDENCE;;AK;;;8938682;
C;114;1235698;38;20020916 14:04;239//250330;
D;114;1235698;38;20020916 14:04;P;;;;;;
D;114;1235698;38;20020916 14:04;P;;;;;;
D;114;1235698;38;20020916 14:04;V;;;;;;
D;114;1235698;38;20020916 14:04;V;;;;;;
B;114;1236035;39;20020916 14:04;;;7;WYUNA AVE;DUBBO;2830;619.7;M;20020604;20020729;167500;A;R;RESIDENCE;;AC;;;8936693;
C;114;1236035;39;20020916 14:04;64//536683;
D;114;1236035;39;20020916 14:04;P;;;;;;
D;114;1236035;39;20020916 14:04;V;;;;;;
D;114;1236035;39;20020916 14:04;V;;;;;;
B;114;1236944;40;20020916 14:04;;;7 R;DARLING ST;DUBBO;2830;319.8;H;20020506;20020823;120000;R;R;RESIDENCE;;RA;;;8910972;
C;114;1236944;40;20020916 14:04;68//40916 42, 43, 55//754300;
D;114;1236944;40;20020916 14:04;P;;;;;;
D;114;1236944;40;20020916 14:04;P;;;;;;
D;114;1236944;40;20020916 14:04;V;;;;;;
B;114;1237071;41;20020916 14:04;;;110 L;MAIALA RD;DUBBO;2830;412;H;20020321;20020424;150000;R;3;FARM;;RA;;;8879577;
C;114;1237071;41;20020916 14:04;17//752578 31//754307;
D;114;1237071;41;20020916 14:04;P;;;;;;
D;114;1237071;41;20020916 14:04;P;;;;;;
D;114;1237071;41;20020916 14:04;V;;;;;;
B;114;2833132;42;20020916 14:04;;;3;PROVAN PL;DUBBO;2830;436.9;M;20020715;20020826;155000;A;R;RESIDENCE;;DL;;;8908387;
C;114;2833132;42;20020916 14:04;10//1029372;
D;114;2833132;42;20020916 14:04;P;;;;;;
D;114;2833132;42;20020916 14:04;P;;;;;;
D;114;2833132;42;20020916 14:04;V;;;;;;
D;114;2833132;42;20020916 14:04;V;;;;;;
B;114;2845639;43;20020916 14:04;;;4;HAKEA PL;DUBBO;2830;1036;M;20020620;20020801;49000;A;V;VACANT LAND;;AH;;;8928257;
C;114;2845639;43;20020916 14:04;47//1031061;
D;114;2845639;43;20020916 14:04;P;;;;;;
D;114;2845639;43;20020916 14:04;P;;;;;;
D;114;2845639;43;20020916 14:04;V;;;;;;
B;114;2900737;44;20020916 14:04;;;36;ST ANDREWS DR;DUBBO;2830;915.3;M;20020725;20020725;55000;A;R;RESIDENCE;;ED;;;8924765;
C;114;2900737;44;20020916 14:04;410//1038526;
D;114;2900737;44;20020916 14:04;P;;;;;;
D;114;2900737;44;20020916 14:04;V;;;;;;
B;114;2900761;45;20020916 14:04;;;30;TURNBERRY TCE;DUBBO;2830;1100;M;20020513;20020710;110000;A;V;VACANT LAND;;ED;;;8915838;
C;114;2900761;45;20020916 14:04;434//1038532;
D;114;2900761;45;20020916 14:04;P;;;;;;
D;114;2900761;45;20020916 14:04;P;;;;;;
D;114;2900761;45;20020916 14:04;V;;;;;;
B;114;2908148;46;20020916 14:04;;;39 R;DEBEAUFORT DR;DUBBO;2830;1.596;H;20020621;20020726;83500;;V;VACANT LAND;;;;;8902431;
C;114;2908148;46;20020916 14:04;86//1040828;
D;114;2908148;46;20020916 14:04;P;;;;;;
