A;051;20030501 12:38;PBARBER;
B;051;504703;1;20030501 12:39;;;15;KAMAROOKA ST;BAROOGA;3644;1292;M;20021203;20030412;135000;Z;R;RESIDENCE;;VB;;;9546092;
C;051;504703;1;20030501 12:39;3//248812;
D;051;504703;1;20030501 12:39;P;;;;;;
D;051;504703;1;20030501 12:39;P;;;;;;
D;051;504703;1;20030501 12:39;V;;;;;;
B;051;504883;2;20030501 12:39;;2;30;WIRUNA ST;BAROOGA;3644;;;20030303;20030408;110000;;R;RESIDENCE;2;;;;9552562;
C;051;504883;2;20030501 12:39;2//SP 37785;
D;051;504883;2;20030501 12:39;P;;;;;;
D;051;504883;2;20030501 12:39;P;;;;;;
D;051;504883;2;20030501 12:39;V;;;;;;
D;051;504883;2;20030501 12:39;V;;;;;;
B;051;505071;3;20030501 12:39;;;;KENNEDYS RD;BAROOGA;3644;129;H;20020823;20030210;240000;R;V;VACANT LAND;;RV;;;9522530;
C;051;505071;3;20030501 12:39;54//752280;
D;051;505071;3;20030501 12:39;P;;;;;;
D;051;505071;3;20030501 12:39;P;;;;;;
D;051;505071;3;20030501 12:39;V;;;;;;
D;051;505071;3;20030501 12:39;V;;;;;;
D;051;505071;3;20030501 12:39;V;;;;;;
B;051;505507;4;20030501 12:39;;;1;DRUITT CT;FINLEY;2713;747.9;M;20030312;20030328;87000;Z;R;RESIDENCE;;FA;;;9547354;
C;051;505507;4;20030501 12:39;14//39698;
D;051;505507;4;20030501 12:39;P;;;;;;
D;051;505507;4;20030501 12:39;V;;;;;;
D;051;505507;4;20030501 12:39;V;;;;;;
D;051;505507;4;20030501 12:39;V;;;;;;
D;051;505507;4;20030501 12:39;V;;;;;;
B;051;505627;5;20030501 12:39;;;29;HAMPDEN ST;FINLEY;2713;809.4;M;20030228;20030331;36000;Z;R;RESIDENCE;;FA;;;9522202;
C;051;505627;5;20030501 12:39;4//35186;
D;051;505627;5;20030501 12:39;P;;;;;;
D;051;505627;5;20030501 12:39;V;;;;;;
D;051;505627;5;20030501 12:39;V;;;;;;
B;051;505887;6;20030501 12:39;;;65;MURRAY ST;FINLEY;2713;2023;M;20030206;20030314;25000;Z;V;VACANT LAND;;FA;;;9546219;
C;051;505887;6;20030501 12:39;7/3/758412;
D;051;505887;6;20030501 12:39;P;;;;;;
D;051;505887;6;20030501 12:39;V;;;;;;
B;051;506001;7;20030501 12:39;;;47;TONGS ST;FINLEY;2713;1011.6;M;20010316;20010525;63000;Z;R;RESIDENCE;;FA;AC;;7709673;
C;051;506001;7;20030501 12:39;B//443883;
D;051;506001;7;20030501 12:39;P;;;;;;
D;051;506001;7;20030501 12:39;V;;;;;;
B;051;506004;8;20030501 12:39;;;25;TONGS ST;FINLEY;2713;1212;M;20030131;20030401;83000;Z;R;RESIDENCE;;FL;;;9538265;
C;051;506004;8;20030501 12:39;7//777117;
D;051;506004;8;20030501 12:39;P;;;;;;
D;051;506004;8;20030501 12:39;V;;;;;;
B;051;506765;9;20030501 12:39;;;80;JERILDERIE ST;BERRIGAN;2712;1400;M;20021104;20021202;130000;Z;R;RESIDENCE;;BC;;;9396109;
C;051;506765;9;20030501 12:39;1//748872 Telstra Site Number 3271;
D;051;506765;9;20030501 12:39;P;;;;;;
D;051;506765;9;20030501 12:39;P;;;;;;
D;051;506765;9;20030501 12:39;V;;;;;;
D;051;506765;9;20030501 12:39;V;;;;;;
B;051;507064;10;20030501 12:39;;;;BACK BAROOGA RD;BAROOGA;3644;129.5;H;20030115;20030320;157000;R;3;FARM;;RC;;;9537541;
C;051;507064;10;20030501 12:39;35//752291;
D;051;507064;10;20030501 12:39;P;;;;;;
D;051;507064;10;20030501 12:39;P;;;;;;
D;051;507064;10;20030501 12:39;V;;;;;;
B;051;507332;11;20030501 12:39;;;;HONNIBALL DR;TOCUMWAL;2714;1.095;H;20030219;20030404;137500;R;R;RESIDENCE;;TH;;;9546159;
C;051;507332;11;20030501 12:39;10//739735;
D;051;507332;11;20030501 12:39;P;;;;;;
D;051;507332;11;20030501 12:39;P;;;;;;
D;051;507332;11;20030501 12:39;V;;;;;;
B;051;507400;12;20030501 12:39;;;80;ADAMS ST;TOCUMWAL;2714;841;M;20030130;20030228;86000;Z;R;RESIDENCE;;TR;;;9425022;
C;051;507400;12;20030501 12:39;A//398513;
D;051;507400;12;20030501 12:39;P;;;;;;
D;051;507400;12;20030501 12:39;P;;;;;;
D;051;507400;12;20030501 12:39;V;;;;;;
