A;097;20030620 11:14;PDANN;
B;097;999872;1;20030620 11:14;;;124;BEACH RD;BATEMANS BAY;2536;588.1;M;20030325;20030525;265000;A;R;RESIDENCE;;XM;AC;0;9649902;
C;097;999872;1;20030620 11:14;16//26893;
D;097;999872;1;20030620 11:14;P;;;;;;
D;097;999872;1;20030620 11:14;V;;;;;;
D;097;999872;1;20030620 11:14;V;;;;;;
B;097;1000144;2;20030620 11:14;;4;692;BEACH RD;SURF BEACH;2536;;;20030305;20030416;195000;;R;RESIDENCE;4;;XA;0;9615879;
C;097;1000144;2;20030620 11:14;4//SP 22527;
D;097;1000144;2;20030620 11:14;P;;;;;;
D;097;1000144;2;20030620 11:14;P;;;;;;
D;097;1000144;2;20030620 11:14;V;;;;;;
D;097;1000144;2;20030620 11:14;V;;;;;;
B;097;1000144;3;20030620 11:14;;10;692;BEACH RD;SURF BEACH;2536;;;20030423;20030514;150000;;3;HOME UNIT;10;;XA;0;9615967;
C;097;1000144;3;20030620 11:14;10//SP 30792;
D;097;1000144;3;20030620 11:14;P;;;;;;
D;097;1000144;3;20030620 11:14;P;;;;;;
D;097;1000144;3;20030620 11:14;V;;;;;;
D;097;1000144;3;20030620 11:14;V;;;;;;
B;097;1000428;4;20030620 11:14;;;1;CALEY PL;SUNSHINE BAY;2536;772.8;M;20030129;20030401;387000;A;R;RESIDENCE;;YH;AC;0;9598416;
C;097;1000428;4;20030620 11:14;130//803654;
D;097;1000428;4;20030620 11:14;P;;;;;;
D;097;1000428;4;20030620 11:14;V;;;;;;
D;097;1000428;4;20030620 11:14;V;;;;;;
B;097;1000451;5;20030620 11:14;;;13;CALGA CRES;CATALINA;2536;556.4;M;20030411;20030506;385000;A;R;RESIDENCE;;YP;AC;0;9637568;
C;097;1000451;5;20030620 11:14;40//203722;
D;097;1000451;5;20030620 11:14;P;;;;;;
D;097;1000451;5;20030620 11:14;P;;;;;;
D;097;1000451;5;20030620 11:14;V;;;;;;
B;097;1000599;6;20030620 11:14;;;26;CARRAMAR DR;LILLI PILLI;2536;709.5;M;20030417;20030516;325000;A;R;RESIDENCE;;YM;AC;0;9629413;
C;097;1000599;6;20030620 11:14;25//791434;
D;097;1000599;6;20030620 11:14;P;;;;;;
D;097;1000599;6;20030620 11:14;P;;;;;;
D;097;1000599;6;20030620 11:14;P;;;;;;
D;097;1000599;6;20030620 11:14;V;;;;;;
D;097;1000599;6;20030620 11:14;V;;;;;;
B;097;1000651;7;20030620 11:14;;;39;CATALINA DR;CATALINA;2536;752.5;M;20030327;20030508;112500;A;V;VACANT LAND;;YP;AV;0;9650052;
C;097;1000651;7;20030620 11:14;51//242907;
D;097;1000651;7;20030620 11:14;P;;;;;;
D;097;1000651;7;20030620 11:14;P;;;;;;
D;097;1000651;7;20030620 11:14;V;;;;;;
B;097;1001023;8;20030620 11:14;;;28;CRANBROOK RD;BATEMANS BAY;2536;1922;M;20030424;20030430;150000;I;V;VACANT LAND;;FA;IV;0;9649673;
C;097;1001023;8;20030620 11:14;307//40630;
D;097;1001023;8;20030620 11:14;P;;;;;;
D;097;1001023;8;20030620 11:14;P;;;;;;
D;097;1001023;8;20030620 11:14;V;;;;;;
D;097;1001023;8;20030620 11:14;V;;;;;;
D;097;1001023;8;20030620 11:14;V;;;;;;
B;097;1001155;9;20030620 11:14;;;38;DERRIBONG AVE;CATALINA;2536;594.4;M;20030326;20030428;275000;A;R;RESIDENCE;;YP;AC;0;9639897;
C;097;1001155;9;20030620 11:14;92//203722;
D;097;1001155;9;20030620 11:14;P;;;;;;
D;097;1001155;9;20030620 11:14;V;;;;;;
D;097;1001155;9;20030620 11:14;V;;;;;;
B;097;1001284;10;20030620 11:14;;5;15;ERIC FENNING DR;SURF BEACH;2536;;;20030411;20030512;198000;;R;RESIDENCE;5;;XA;0;9634448;
C;097;1001284;10;20030620 11:14;5//SP 52053;
D;097;1001284;10;20030620 11:14;P;;;;;;
D;097;1001284;10;20030620 11:14;P;;;;;;
D;097;1001284;10;20030620 11:14;V;;;;;;
B;097;1001482;11;20030620 11:14;;;40;ENDEAVOUR AVE;LILLI PILLI;2536;733.5;M;20030325;20030423;455000;A;R;RESIDENCE;;XV;AC;0;9638047;
C;097;1001482;11;20030620 11:14;79//239662;
D;097;1001482;11;20030620 11:14;P;;;;;;
D;097;1001482;11;20030620 11:14;V;;;;;;
D;097;1001482;11;20030620 11:14;V;;;;;;
B;097;1001655;12;20030620 11:14;;;3;FAIRVIEW DR;LILLI PILLI;2536;765.1;M;20030226;20030515;530000;A;R;RESIDENCE;;XU;AC;0;9625434;
C;097;1001655;12;20030620 11:14;39//239662;
D;097;1001655;12;20030620 11:14;P;;;;;;
D;097;1001655;12;20030620 11:14;V;;;;;;
D;097;1001655;12;20030620 11:14;V;;;;;;
B;097;1001840;13;20030620 11:14;;;1;GULL CL;CATALINA;2536;1159;M;20030328;20030430;330000;A;R;RESIDENCE;;XF;AC;0;9581759;
C;097;1001840;13;20030620 11:14;151//245485;
D;097;1001840;13;20030620 11:14;P;;;;;;
D;097;1001840;13;20030620 11:14;P;;;;;;
D;097;1001840;13;20030620 11:14;V;;;;;;
