A;140;20021204 09:34;PDANN;
B;140;1458442;1;20021204 09:34;;;5;ANGUS AVE;PEAKHURST;2210;474.2;M;20021008;20021113;465000;A;R;RESIDENCE;;XG;;;9147860;
C;140;1458442;1;20021204 09:34;3//29631;
D;140;1458442;1;20021204 09:34;P;;;;;;
D;140;1458442;1;20021204 09:34;P;;;;;;
D;140;1458442;1;20021204 09:34;V;;;;;;
B;140;1459478;2;20021204 09:34;;;8;BALMORAL RD;MORTDALE;2223;223.1;M;20021001;20021025;300000;A;R;RESIDENCE;;XJ;;;9136891;
C;140;1459478;2;20021204 09:34;7//13827;
D;140;1459478;2;20021204 09:34;P;;;;;;
D;140;1459478;2;20021204 09:34;V;;;;;;
D;140;1459478;2;20021204 09:34;V;;;;;;
B;140;1459770;3;20021204 09:34;;;18;BARRY AVE;MORTDALE;2223;;;20020814;20020925;675000;I;3;COMMERCIAL;;FA;;;9127620;
C;140;1459770;3;20021204 09:34;1//15552;
D;140;1459770;3;20021204 09:34;P;;;;;;
D;140;1459770;3;20021204 09:34;P;;;;;;
D;140;1459770;3;20021204 09:34;V;;;;;;
B;140;1460196;4;20021204 09:34;;;96;BAUMANS RD;PEAKHURST;2210;;;20020906;20021101;465000;A;R;RESIDENCE;;XF;;;9117417;
C;140;1460196;4;20021204 09:34;51//12823;
D;140;1460196;4;20021204 09:34;P;;;;;;
D;140;1460196;4;20021204 09:34;P;;;;;;
D;140;1460196;4;20021204 09:34;V;;;;;;
B;140;1460696;5;20021204 09:34;;1;93;BELMORE RD;PEAKHURST;2210;;;20021004;20021115;490000;;R;RESIDENCE;1;;;;9148140;
C;140;1460696;5;20021204 09:34;1//SP 57261;
D;140;1460696;5;20021204 09:34;P;;;;;;
D;140;1460696;5;20021204 09:34;P;;;;;;
D;140;1460696;5;20021204 09:34;V;;;;;;
B;140;1460884;6;20021204 09:34;;;20;BERRILLE RD;BEVERLY HILLS;2209;;;20020925;20021106;413000;A;R;RESIDENCE;;TC;;;9137446;
C;140;1460884;6;20021204 09:34;19//16824;
D;140;1460884;6;20021204 09:34;P;;;;;;
D;140;1460884;6;20021204 09:34;P;;;;;;
D;140;1460884;6;20021204 09:34;V;;;;;;
B;140;1462000;7;20021204 09:34;;43;17;THE KING GEORGE GARDENTS 2-8;HURSTVILLE;2220;;;20020924;20021105;405000;;R;RESIDENCE;43;;;;9119960;
C;140;1462000;7;20021204 09:34;43//SP 54531;
D;140;1462000;7;20021204 09:34;P;;;;;;
D;140;1462000;7;20021204 09:34;P;;;;;;
D;140;1462000;7;20021204 09:34;V;;;;;;
B;140;1463585;8;20021204 09:34;;;103;CARRINGTON AVE;HURSTVILLE;2220;;;20020905;20021114;718000;A;R;RESIDENCE;;XD;;;9148036;
C;140;1463585;8;20021204 09:34;2//348641;
D;140;1463585;8;20021204 09:34;P;;;;;;
D;140;1463585;8;20021204 09:34;P;;;;;;
D;140;1463585;8;20021204 09:34;V;;;;;;
D;140;1463585;8;20021204 09:34;V;;;;;;
