A;129;20020402 12:33;CDIXON;
B;129;1283573;1;20020402 12:33;"THREE RIVERS";;74;FALLS RD;ABERCROMBIE;2795;1033;H;20011108;20011213;450000;R;R;RESIDENCE;;SG;RG;;8303724;
C;129;1283573;1;20020402 12:33;36//753016 Licence 314533 PSH BOMBAH LOT 36 DP 753016 & LI 314533 (PT ;
C;129;1283573;1;20020402 12:33;R 31562) LEASE OVER PROPERTY;
D;129;1283573;1;20020402 12:33;P;;;;;;
D;129;1283573;1;20020402 12:33;V;;;;;;
B;129;1283998;2;20020402 12:33;;;;PH COLE DP 1830;BATHURST;2795;2438;M;20011213;20011221;135000;R;R;RESIDENCE;;CA;RR;;8251851;
C;129;1283998;2;20020402 12:33;260//837077;
D;129;1283998;2;20020402 12:33;P;;;;;;
D;129;1283998;2;20020402 12:33;P;;;;;;
D;129;1283998;2;20020402 12:33;V;;;;;;
B;129;1284338;3;20020402 12:33;;;1585;MID WESTERN HWY;EVANS PLAINS;2795;15;H;20011220;20020125;247500;R;R;RESIDENCE;;CB;RR;;8318670;
C;129;1284338;3;20020402 12:33;1//817711;
D;129;1284338;3;20020402 12:33;P;;;;;;
D;129;1284338;3;20020402 12:33;P;;;;;;
D;129;1284338;3;20020402 12:33;V;;;;;;
D;129;1284338;3;20020402 12:33;V;;;;;;
B;129;1284425;4;20020402 12:33;;;;;GEORGES PLAINS;2795;930.7;M;20020201;20020308;130000;Z;R;RESIDENCE;;ZG;;;8422076;
C;129;1284425;4;20020402 12:33;1//194134;
D;129;1284425;4;20020402 12:33;P;;;;;;
D;129;1284425;4;20020402 12:33;V;;;;;;
D;129;1284425;4;20020402 12:33;V;;;;;;
B;129;1284733;5;20020402 12:33;;;;;BURRAGA;2795;1991.9;M;19960421;20020214;18000;Z;R;RESIDENCE;;ZB;;;8376117;
C;129;1284733;5;20020402 12:33;23, 24/A/3789;
D;129;1284733;5;20020402 12:33;P;;;;;;
D;129;1284733;5;20020402 12:33;P;;;;;;
D;129;1284733;5;20020402 12:33;V;;;;;;
B;129;1284924;6;20020402 12:33;"BROOKLYN HEIGHTS";;1211;OPHIR RD;ROCK FOREST;2795;45.84;H;20011031;20011217;285000;R;R;RESIDENCE;;CD;RR;;8274244;
C;129;1284924;6;20020402 12:33;1//859001;
D;129;1284924;6;20020402 12:33;P;;;;;;
D;129;1284924;6;20020402 12:33;P;;;;;;
D;129;1284924;6;20020402 12:33;V;;;;;;
B;129;1284949;7;20020402 12:33;"KIAH PARK";;1460;OPHIR RD;ROCK FOREST;2795;28.64;H;20011203;20011220;309000;R;3;RURAL;;CC;RR;;8261925;
