A;RTSALEDATA;050;20250310 01:06;VALNET;
B;050;3430407;1;20250310 01:06;;;7;FIRETAIL ST;THURGOONA;2640;361.1;M;20250129;20250228;540000;R1;R;RESIDENCE;;ATN;;0;AU859488;
C;050;3430407;1;20250310 01:06;3/1131177;
D;050;3430407;1;20250310 01:06;P;;;;;;
D;050;3430407;1;20250310 01:06;P;;;;;;
D;050;3430407;1;20250310 01:06;V;;;;;;
B;050;485899;2;20250310 01:06;;;290;BIMBADEEN AVE;EAST ALBURY;2640;860.6;M;20250120;20250303;980000;R1;R;RESIDENCE;;AEA;;0;AU864533;
C;050;485899;2;20250310 01:06;40/253257;
D;050;485899;2;20250310 01:06;P;;;;;;
D;050;485899;2;20250310 01:06;P;;;;;;
D;050;485899;2;20250310 01:06;V;;;;;;
D;050;485899;2;20250310 01:06;V;;;;;;
B;050;486855;3;20250310 01:06;;1;229;CADELL ST;EAST ALBURY;2640;;;20250120;20250303;315000;;R;RESIDENCE;1;;;0;AU863641;
C;050;486855;3;20250310 01:06;1/SP22246;
D;050;486855;3;20250310 01:06;P;;;;;;
D;050;486855;3;20250310 01:06;P;;;;;;
D;050;486855;3;20250310 01:06;V;;;;;;
B;050;488082;4;20250310 01:06;;;96;CRAWSHAW CRES;GLENROY;2640;515.2;M;20250128;20250227;539000;R1;R;RESIDENCE;;ANP;;0;AU854662;
C;050;488082;4;20250310 01:06;103/830191;
D;050;488082;4;20250310 01:06;P;;;;;;
D;050;488082;4;20250310 01:06;V;;;;;;
B;050;497126;5;20250310 01:06;;4;611;OLIVE ST;ALBURY;2640;182;M;20241122;20250228;356000;;R;RESIDENCE;4;;;0;AU857065;
C;050;497126;5;20250310 01:06;4/SP18294;
D;050;497126;5;20250310 01:06;P;;;;;;
D;050;497126;5;20250310 01:06;V;;;;;;
D;050;497126;5;20250310 01:06;V;;;;;;
B;050;494619;6;20250310 01:06;;;499;LARAMEE DR;LAVINGTON;2641;668.9;M;20250131;20250303;500000;R1;R;RESIDENCE;;ALV;;0;AU863143;
C;050;494619;6;20250310 01:06;35/251544;
D;050;494619;6;20250310 01:06;P;;;;;;
D;050;494619;6;20250310 01:06;P;;;;;;
D;050;494619;6;20250310 01:06;V;;;;;;
B;050;492270;7;20250310 01:06;;2;522;HILL ST;WEST ALBURY;2640;;;20250114;20250226;317000;;R;RESIDENCE;2;;;0;AU851483;
C;050;492270;7;20250310 01:06;2/SP16698;
D;050;492270;7;20250310 01:06;P;;;;;;
D;050;492270;7;20250310 01:06;V;;;;;;
B;050;492354;8;20250310 01:06;;6;745;HODGE ST;GLENROY;2640;546;M;20241231;20250303;480000;;R;RESIDENCE;6;;;0;AU863655;
C;050;492354;8;20250310 01:06;6/SP47218;
D;050;492354;8;20250310 01:06;P;;;;;;
D;050;492354;8;20250310 01:06;V;;;;;;
B;050;495575;9;20250310 01:06;;;816;MATE ST;NORTH ALBURY;2640;752.5;M;20250207;20250227;505000;R1;R;RESIDENCE;;ANS;;0;AU854544;
C;050;495575;9;20250310 01:06;6/38188;
D;050;495575;9;20250310 01:06;P;;;;;;
D;050;495575;9;20250310 01:06;P;;;;;;
D;050;495575;9;20250310 01:06;V;;;;;;
B;050;498356;10;20250310 01:06;;;308;PLOVER ST;NORTH ALBURY;2640;695.6;M;20250214;20250303;440000;R1;R;RESIDENCE;;ANN;;0;AU862800;
C;050;498356;10;20250310 01:06;64/36535;
D;050;498356;10;20250310 01:06;P;;;;;;
D;050;498356;10;20250310 01:06;V;;;;;;
B;050;490752;11;20250310 01:06;;;800;GAP RD;GLENROY;2640;1200;M;20250130;20250303;780000;R1;R;RESIDENCE;;AGR;;0;AU863850;
C;050;490752;11;20250310 01:06;8/1003701;
D;050;490752;11;20250310 01:06;P;;;;;;
D;050;490752;11;20250310 01:06;V;;;;;;
B;050;496387;12;20250310 01:06;;4;52;MOUNTFORD CRES;EAST ALBURY;2640;324;M;20250130;20250303;535000;R1;R;RESIDENCE;;AEV;;0;AU864029;
C;050;496387;12;20250310 01:06;4/285512;
D;050;496387;12;20250310 01:06;P;;;;;;
D;050;496387;12;20250310 01:06;P;;;;;;
D;050;496387;12;20250310 01:06;V;;;;;;
B;050;500131;13;20250310 01:06;;;546;SCHUBACH ST;EAST ALBURY;2640;695.5;M;20250130;20250226;570000;R1;R;RESIDENCE;;AEA;;0;AU852114;
C;050;500131;13;20250310 01:06;4/C/12801;
D;050;500131;13;20250310 01:06;P;;;;;;
D;050;500131;13;20250310 01:06;P;;;;;;
D;050;500131;13;20250310 01:06;V;;;;;;
B;050;500827;14;20250310 01:06;;;4;STEWART CT;THURGOONA;2640;657.2;M;20250106;20250303;510000;R1;R;RESIDENCE;;ATO;;0;AU865455;
C;050;500827;14;20250310 01:06;29/719098;
D;050;500827;14;20250310 01:06;P;;;;;;
D;050;500827;14;20250310 01:06;P;;;;;;
D;050;500827;14;20250310 01:06;V;;;;;;
D;050;500827;14;20250310 01:06;V;;;;;;
B;050;501658;15;20250310 01:06;;;1074;TOBRUK ST;NORTH ALBURY;2640;695.5;M;20250117;20250228;435000;R1;R;RESIDENCE;;ANN;;0;AU860665;
C;050;501658;15;20250310 01:06;73/38111;
D;050;501658;15;20250310 01:06;P;;;;;;
D;050;501658;15;20250310 01:06;P;;;;;;
D;050;501658;15;20250310 01:06;V;;;;;;
B;050;3085991;16;20250310 01:06;;;2;MANNA CT;LAKE HUME VILLAGE;3691;442.6;M;20250227;20250228;125000;RU5;R;RESIDENCE;;VLH;;0;AU857746;
C;050;3085991;16;20250310 01:06;2/285834;
D;050;3085991;16;20250310 01:06;P;;;;;;
D;050;3085991;16;20250310 01:06;V;;;;;;
B;050;3530281;17;20250310 01:06;;;166;KOSCIUSZKO RD;THURGOONA;2640;726.9;M;20241115;20250227;752500;R1;R;RESIDENCE;;ATN;;0;AU854933;
C;050;3530281;17;20250310 01:06;26/1154283;
D;050;3530281;17;20250310 01:06;P;;;;;;
D;050;3530281;17;20250310 01:06;P;;;;;;
D;050;3530281;17;20250310 01:06;V;;;;;;
D;050;3530281;17;20250310 01:06;V;;;;;;
B;050;4584594;18;20250310 01:06;;2;25;FEATHERTOP CCT;THURGOONA;2640;473;M;20250114;20250226;485000;;R;RESIDENCE;2;;;0;AU850420;
C;050;4584594;18;20250310 01:06;2/SP107884;
D;050;4584594;18;20250310 01:06;P;;;;;;
D;050;4584594;18;20250310 01:06;V;;;;;;
B;050;4561969;19;20250310 01:06;;;20;CANTERBURY RD;THURGOONA;2640;611;M;20250122;20250228;235000;R1;V;VACANT LAND;;ATN;;0;AU859022;
C;050;4561969;19;20250310 01:06;512/1289690;
D;050;4561969;19;20250310 01:06;P;;;;;;
D;050;4561969;19;20250310 01:06;V;;;;;;
B;050;4562003;20;20250310 01:06;;;332;BROOKLYN DR;THURGOONA;2640;602.7;M;20250122;20250228;235000;R1;V;VACANT LAND;;ATN;;0;AU858919;
C;050;4562003;20;20250310 01:06;546/1289690;
D;050;4562003;20;20250310 01:06;P;;;;;;
D;050;4562003;20;20250310 01:06;V;;;;;;
B;050;3704170;21;20250310 01:06;;;33;BARNETT AVE;THURGOONA;2640;510;M;20250123;20250228;660000;R1;R;RESIDENCE;;ATN;;0;AU859856;
