A;129;20020603 10:18;PTHIRLWELL;
B;129;1283481;1;20020603 10:18;"FOSTERS VALLEY";;1811;ROCKLEY RD;FOSTERS VALLEY;2795;1174.06;H;20011205;20020118;2512000;R;3;FARM;;CG;RG;;8444717;
C;129;1283481;1;20020603 10:18;PT 16//750355 1, 2//863442 1//883861 2, 3, 4//999396 521//999397;
D;129;1283481;1;20020603 10:18;P;;;;;;
D;129;1283481;1;20020603 10:18;P;;;;;;
D;129;1283481;1;20020603 10:18;V;;;;;;
B;129;1284193;2;20020603 10:18;;;;MOUNT HAVEN WAY;MEADOW FLAT;2795;1.869;H;20020426;20020430;85000;R;V;VACANT LAND;;CA;;;8604458;
C;129;1284193;2;20020603 10:18;3//270159;
D;129;1284193;2;20020603 10:18;P;;;;;;
D;129;1284193;2;20020603 10:18;P;;;;;;
D;129;1284193;2;20020603 10:18;V;;;;;;
B;129;1284383;3;20020603 10:18;;;;;GEORGES PLAINS;2795;2.002;H;20020326;20020430;70000;R;V;VACANT LAND;;CA;;;8614795;
C;129;1284383;3;20020603 10:18;4//860155;
D;129;1284383;3;20020603 10:18;P;;;;;;
D;129;1284383;3;20020603 10:18;V;;;;;;
D;129;1284383;3;20020603 10:18;V;;;;;;
B;129;1284767;4;20020603 10:18;;;;VILLAGE OF BURRAGA;BURRAGA;2795;2010;M;20020215;20020308;40000;Z;R;RESIDENCE;;ZB;AC;;8455269;
C;129;1284767;4;20020603 10:18;10, 11/18/758196;
D;129;1284767;4;20020603 10:18;P;;;;;;
D;129;1284767;4;20020603 10:18;P;;;;;;
D;129;1284767;4;20020603 10:18;V;;;;;;
B;129;1285296;5;20020603 10:18;;;567;OPHIR RD;DUNKELD;2795;10.73;H;20020122;20020219;372500;R;R;RESIDENCE;;CB;RR;;8424788;
C;129;1285296;5;20020603 10:18;2, 3//575018;
D;129;1285296;5;20020603 10:18;P;;;;;;
D;129;1285296;5;20020603 10:18;P;;;;;;
D;129;1285296;5;20020603 10:18;V;;;;;;
B;129;1285570;6;20020603 10:18;;;233;BILLYWILLINGA RD;BILLYWILLINGA;2795;42.41;H;20020225;20020315;80000;R;V;VACANT LAND;;ND;RV;;8438923;
C;129;1285570;6;20020603 10:18;14//245688;
D;129;1285570;6;20020603 10:18;P;;;;;;
D;129;1285570;6;20020603 10:18;P;;;;;;
D;129;1285570;6;20020603 10:18;P;;;;;;
D;129;1285570;6;20020603 10:18;V;;;;;;
D;129;1285570;6;20020603 10:18;V;;;;;;
B;129;1285715;7;20020603 10:18;;;;VILLAGE OF ROCKLEY;ROCKLEY;2795;638.6;M;20020325;20020429;82000;Z;R;RESIDENCE;;ZR;AC;;8548737;
C;129;1285715;7;20020603 10:18;A//91290;
D;129;1285715;7;20020603 10:18;P;;;;;;
D;129;1285715;7;20020603 10:18;P;;;;;;
D;129;1285715;7;20020603 10:18;V;;;;;;
B;129;1285961;8;20020603 10:18;;;4119;SOFALA RD;WATTLE FLAT;2795;123.3;H;20020201;20020315;82500;R;V;VACANT LAND;;NF;RFR;;8435543;
C;129;1285961;8;20020603 10:18;2//6263 533//755790;
D;129;1285961;8;20020603 10:18;P;;;;;;
D;129;1285961;8;20020603 10:18;P;;;;;;
D;129;1285961;8;20020603 10:18;V;;;;;;
B;129;1286152;9;20020603 10:18;;;;PH TAMBAROORA;HILL END;2850;8094;M;20010605;20010605;11500;R;V;VACANT LAND;;NA;RV;;7666793;
C;129;1286152;9;20020603 10:18;105//756905;
D;129;1286152;9;20020603 10:18;P;;;;;;
D;129;1286152;9;20020603 10:18;V;;;;;;
B;129;1286706;10;20020603 10:18;;;;PSH WIAGDON;BATHURST;2795;6117;M;20011207;20020211;36000;R;V;VACANT LAND;;NA;RV;;8419255;
C;129;1286706;10;20020603 10:18;52, 53, 54//755803 351, 352//823407 Licence 87/18 LEASE OVER PROPERTY;
D;129;1286706;10;20020603 10:18;P;;;;;;
D;129;1286706;10;20020603 10:18;V;;;;;;
D;129;1286706;10;20020603 10:18;V;;;;;;
B;129;1286773;11;20020603 10:18;;;3473;SOFALA RD;WATTLE FLAT;2795;40.47;H;20020122;20020227;115000;R;3;FARM/RURAL;;ND;RV;;8395416;
C;129;1286773;11;20020603 10:18;32//610920;
D;129;1286773;11;20020603 10:18;P;;;;;;
D;129;1286773;11;20020603 10:18;P;;;;;;
D;129;1286773;11;20020603 10:18;V;;;;;;
B;129;1286841;12;20020603 10:18;"WOODLANDS";;1571;TARANA RD;LOCKSLEY;2795;1.696;H;20020103;20020125;165000;R;R;RESIDENCE;;CA;RR;;8345851;
C;129;1286841;12;20020603 10:18;41//845687;
D;129;1286841;12;20020603 10:18;P;;;;;;
D;129;1286841;12;20020603 10:18;P;;;;;;
D;129;1286841;12;20020603 10:18;V;;;;;;
D;129;1286841;12;20020603 10:18;V;;;;;;
B;129;1286910;13;20020603 10:18;"ESROY SERVICE STATION";;3529;GREAT WESTERN HWY;YETHOLME;2795;8396;M;20011102;20011205;280000;R;3;COMMERCIAL;;CA;;;8402659;
C;129;1286910;13;20020603 10:18;27, 36, 37//239011 2//631161;
D;129;1286910;13;20020603 10:18;P;;;;;;
D;129;1286910;13;20020603 10:18;V;;;;;;
D;129;1286910;13;20020603 10:18;V;;;;;;
