A;171;20031002 11:12;PDANN;
C;171;1807965;17;20031002 11:12;4//28334;
D;171;1807965;17;20031002 11:12;P;;;;;;
D;171;1807965;17;20031002 11:12;P;;;;;;
D;171;1807965;17;20031002 11:12;V;;;;;;
B;171;1808129;18;20031002 11:12;;;1374;BYRRILL CREEK RD;BRAYS CREEK;2484;8.223;H;20030707;20030806;195000;R;3;;;RR;;0;9994478;
C;171;1808129;18;20031002 11:12;5//619619;
D;171;1808129;18;20031002 11:12;P;;;;;;
D;171;1808129;18;20031002 11:12;V;;;;;;
D;171;1808129;18;20031002 11:12;V;;;;;;
B;171;1808226;19;20031002 11:12;;;106;CABARITA RD;BOGANGAR;2488;660;M;20030530;20030630;310000;A;R;RESIDENCE;;JF;;0;9966533;
C;171;1808226;19;20031002 11:12;104//836305;
D;171;1808226;19;20031002 11:12;P;;;;;;
D;171;1808226;19;20031002 11:12;P;;;;;;
D;171;1808226;19;20031002 11:12;V;;;;;;
D;171;1808226;19;20031002 11:12;V;;;;;;
B;171;1808378;20;20031002 11:12;;1;36;CALOOLA DR;TWEED HEADS;2485;;;20030814;20030910;225000;;R;RESIDENCE;1;;;0;9995280;
C;171;1808378;20;20031002 11:12;1//SP 20207;
D;171;1808378;20;20031002 11:12;P;;;;;;
D;171;1808378;20;20031002 11:12;V;;;;;;
B;171;1809212;21;20031002 11:12;;2;11;CHARDONNAY CRES;TWEED HEADS SOUTH;2486;;;20030819;20030826;250000;;R;RESIDENCE;2;;;0;AA1182;
C;171;1809212;21;20031002 11:12;2//SP 50868;
D;171;1809212;21;20031002 11:12;P;;;;;;
D;171;1809212;21;20031002 11:12;P;;;;;;
D;171;1809212;21;20031002 11:12;V;;;;;;
D;171;1809212;21;20031002 11:12;V;;;;;;
B;171;1809216;22;20031002 11:12;;;7;CHARDONNAY CRES;TWEED HEADS SOUTH;2486;753.7;M;20030428;20030625;350000;A;R;RESIDENCE;;NL;;0;9968593;
C;171;1809216;22;20031002 11:12;122//836272;
D;171;1809216;22;20031002 11:12;P;;;;;;
D;171;1809216;22;20031002 11:12;P;;;;;;
D;171;1809216;22;20031002 11:12;V;;;;;;
D;171;1809216;22;20031002 11:12;V;;;;;;
B;171;1809339;23;20031002 11:12;;;52;CHARLES ST;TWEED HEADS;2485;1132;M;20021128;20030313;650000;A;R;RESIDENCE;;NA;;0;9986138;
C;171;1809339;23;20031002 11:12;2//211861;
D;171;1809339;23;20031002 11:12;P;;;;;;
D;171;1809339;23;20031002 11:12;V;;;;;;
B;171;1809420;24;20031002 11:12;;;34;CHEVELL PL;SMITHS CREEK;2460;1.153;H;20030521;20030606;200000;R;R;RESIDENCE;;RE;;0;9967094;
C;171;1809420;24;20031002 11:12;12//263961;
D;171;1809420;24;20031002 11:12;P;;;;;;
D;171;1809420;24;20031002 11:12;P;;;;;;
D;171;1809420;24;20031002 11:12;V;;;;;;
D;171;1809420;24;20031002 11:12;V;;;;;;
B;171;1809429;25;20031002 11:12;;;50;CHILCOTTS RD;CRYSTAL CREEK;2484;2.004;H;20030815;20030915;385000;R;R;RESIDENCE;;RE;;0;9999412;
C;171;1809429;25;20031002 11:12;8//624022;
D;171;1809429;25;20031002 11:12;P;;;;;;
D;171;1809429;25;20031002 11:12;P;;;;;;
D;171;1809429;25;20031002 11:12;V;;;;;;
B;171;1809600;26;20031002 11:12;;;57;CLAREVILLE RD;SMITHS CREEK;2460;4338;M;20030714;20030825;345000;R;R;RESIDENCE;;RE;;0;9983766;
C;171;1809600;26;20031002 11:12;4//831682;
D;171;1809600;26;20031002 11:12;P;;;;;;
D;171;1809600;26;20031002 11:12;P;;;;;;
D;171;1809600;26;20031002 11:12;V;;;;;;
D;171;1809600;26;20031002 11:12;V;;;;;;
B;171;1809903;27;20031002 11:12;;;20;TWEED COAST RD;CABARITA BEACH;2488;562.8;M;20030717;20030825;540000;A;R;RESIDENCE;;JF;;0;9977327;
C;171;1809903;27;20031002 11:12;2/3/29748;
D;171;1809903;27;20031002 11:12;P;;;;;;
D;171;1809903;27;20031002 11:12;P;;;;;;
D;171;1809903;27;20031002 11:12;V;;;;;;
B;171;1809965;28;20031002 11:12;;1;26;TWEED COAST RD;HASTINGS POINT;2489;;;20030621;20030721;400000;;R;RESIDENCE;1;;;0;9971039;
C;171;1809965;28;20031002 11:12;1//SP 56889;
D;171;1809965;28;20031002 11:12;P;;;;;;
D;171;1809965;28;20031002 11:12;V;;;;;;
B;171;1810025;29;20031002 11:12;;18;42;TWEED COAST RD;POTTSVILLE;2489;;;20030710;20030807;168300;;R;RESIDENCE;18;;;0;9991832;
C;171;1810025;29;20031002 11:12;18//SP 34398;
D;171;1810025;29;20031002 11:12;P;;;;;;
D;171;1810025;29;20031002 11:12;P;;;;;;
D;171;1810025;29;20031002 11:12;V;;;;;;
D;171;1810025;29;20031002 11:12;V;;;;;;
B;171;1810264;30;20031002 11:12;;;1;TWEED COAST RD;BOGANGAR;2488;663.9;M;20030729;20030822;590000;A;R;RESIDENCE;;JF;;0;9982522;
C;171;1810264;30;20031002 11:12;1//31208;
D;171;1810264;30;20031002 11:12;P;;;;;;
D;171;1810264;30;20031002 11:12;P;;;;;;
D;171;1810264;30;20031002 11:12;P;;;;;;
D;171;1810264;30;20031002 11:12;V;;;;;;
D;171;1810264;30;20031002 11:12;V;;;;;;
B;171;1810321;31;20031002 11:12;;;58;COLEFAX CT;URLIUP;2484;2.36;H;20030708;20030730;525000;R;R;RESIDENCE;;RE;;0;9990493;
C;171;1810321;31;20031002 11:12;3//844759;
D;171;1810321;31;20031002 11:12;P;;;;;;
D;171;1810321;31;20031002 11:12;V;;;;;;
D;171;1810321;31;20031002 11:12;V;;;;;;
B;171;1810379;32;20031002 11:12;;;48;COMINAN AVE;BANORA POINT;2486;629.3;M;20021112;20021206;228000;A;R;RESIDENCE;;HM;;0;9992723;
C;171;1810379;32;20031002 11:12;151//260990;
D;171;1810379;32;20031002 11:12;P;;;;;;
D;171;1810379;32;20031002 11:12;P;;;;;;
D;171;1810379;32;20031002 11:12;V;;;;;;
B;171;1810762;33;20031002 11:12;;;;COOLMAN ST;TYALGUM;2484;7411;M;20030708;20030731;315000;A;R;RESIDENCE;;MD;;0;9963754;
C;171;1810762;33;20031002 11:12;59//755748;
D;171;1810762;33;20031002 11:12;P;;;;;;
D;171;1810762;33;20031002 11:12;V;;;;;;
D;171;1810762;33;20031002 11:12;V;;;;;;
B;171;1811016;34;20031002 11:12;;;28;COUNTRYSIDE DR;MURWILLUMBAH;2484;653.7;M;20030814;20030915;255000;A;R;RESIDENCE;;LR;;0;AA893;
C;171;1811016;34;20031002 11:12;72//253421;
D;171;1811016;34;20031002 11:12;P;;;;;;
D;171;1811016;34;20031002 11:12;V;;;;;;
B;171;1811173;35;20031002 11:12;;5;1;COX DR;TWEED HEADS;2485;;;20030828;20030919;245000;;R;RESIDENCE;5;;;0;AA12713;
C;171;1811173;35;20031002 11:12;5//SP 57665;
D;171;1811173;35;20031002 11:12;P;;;;;;
D;171;1811173;35;20031002 11:12;V;;;;;;
D;171;1811173;35;20031002 11:12;V;;;;;;
B;171;1811784;36;20031002 11:12;;2;2;CUPANIA CT;TWEED HEADS;2485;;;20030610;20030818;162000;;R;RESIDENCE;2;;;0;9996250;
C;171;1811784;36;20031002 11:12;2//SP 48387;
