A;RTSALEDATA;082;20250407 01:06;VALNET;
B;082;2951046;1;20250407 01:06;;;49 A;PARKLANDS RD;MOUNT COLAH;2079;476.7;M;20250219;20250402;1355000;R2;R;RESIDENCE;;REP;;0;AU943365;
C;082;2951046;1;20250407 01:06;22/1044397;
D;082;2951046;1;20250407 01:06;P;;;;;;
D;082;2951046;1;20250407 01:06;P;;;;;;
D;082;2951046;1;20250407 01:06;V;;;;;;
D;082;2951046;1;20250407 01:06;V;;;;;;
B;082;3393202;2;20250407 01:06;;;17 C;REDGRAVE RD;NORMANHURST;2076;613.2;M;20250217;20250402;2261000;R2;R;RESIDENCE;;REB;;0;AU943933;
C;082;3393202;2;20250407 01:06;272/1126232;
D;082;3393202;2;20250407 01:06;P;;;;;;
D;082;3393202;2;20250407 01:06;P;;;;;;
D;082;3393202;2;20250407 01:06;V;;;;;;
B;082;4180187;3;20250407 01:06;;107;1;CITRUS AVE;HORNSBY;2077;;;20250301;20250331;700000;;R;RESIDENCE;17;;;0;AU936051;
C;082;4180187;3;20250407 01:06;17/SP98794;
D;082;4180187;3;20250407 01:06;P;;;;;;
D;082;4180187;3;20250407 01:06;P;;;;;;
D;082;4180187;3;20250407 01:06;V;;;;;;
B;082;4223707;4;20250407 01:06;;23;5;CITRUS AVE;HORNSBY;2077;110;M;20250210;20250324;795000;;R;RESIDENCE;23;;;0;AU916858;
C;082;4223707;4;20250407 01:06;23/SP99233;
D;082;4223707;4;20250407 01:06;P;;;;;;
D;082;4223707;4;20250407 01:06;P;;;;;;
D;082;4223707;4;20250407 01:06;V;;;;;;
D;082;4223707;4;20250407 01:06;V;;;;;;
B;082;4218112;5;20250407 01:06;TOWER C;303;7;FISHER AVE;PENNANT HILLS;2120;;;20250215;20250331;730000;;R;RESIDENCE;21;;;0;AU937809;
C;082;4218112;5;20250407 01:06;21/SP96985;
D;082;4218112;5;20250407 01:06;P;;;;;;
D;082;4218112;5;20250407 01:06;V;;;;;;
B;082;4235915;6;20250407 01:06;;68;117;PACIFIC HWY;HORNSBY;2077;91;M;20250213;20250327;548000;;R;RESIDENCE;68;;;0;AU928325;
C;082;4235915;6;20250407 01:06;68/SP99921;
D;082;4235915;6;20250407 01:06;P;;;;;;
D;082;4235915;6;20250407 01:06;V;;;;;;
B;082;4221634;7;20250407 01:06;;;50 D;BEECROFT RD;BEECROFT;2119;826.8;M;20250210;20250324;2980000;R2;R;RESIDENCE;;REN;;0;AU917842;
C;082;4221634;7;20250407 01:06;1/1230733;
D;082;4221634;7;20250407 01:06;P;;;;;;
D;082;4221634;7;20250407 01:06;V;;;;;;
B;082;4227012;8;20250407 01:06;;31;2;LODGE ST;HORNSBY;2077;79;M;20250302;20250331;565000;;R;RESIDENCE;31;;;0;AU936094;
C;082;4227012;8;20250407 01:06;31/SP99840;
D;082;4227012;8;20250407 01:06;P;;;;;;
D;082;4227012;8;20250407 01:06;V;;;;;;
B;082;4227012;9;20250407 01:06;;49;2;LODGE ST;HORNSBY;2077;91;M;20250214;20250328;480000;;R;RESIDENCE;49;;;0;AU930974;
C;082;4227012;9;20250407 01:06;49/SP99840;
D;082;4227012;9;20250407 01:06;P;;;;;;
D;082;4227012;9;20250407 01:06;V;;;;;;
B;082;2996850;10;20250407 01:06;;22;20;COLLEGE CRES;HORNSBY;2077;;;20250217;20250331;655000;;R;RESIDENCE;22;;;0;AU936177;
C;082;2996850;10;20250407 01:06;22/SP70404;
D;082;2996850;10;20250407 01:06;P;;;;;;
D;082;2996850;10;20250407 01:06;P;;;;;;
D;082;2996850;10;20250407 01:06;V;;;;;;
D;082;2996850;10;20250407 01:06;V;;;;;;
B;082;3041409;11;20250407 01:06;;63;38;ORARA ST;WAITARA;2077;;;20250211;20250402;728000;;R;RESIDENCE;63;;;0;AU944250;
C;082;3041409;11;20250407 01:06;63/SP71186;
D;082;3041409;11;20250407 01:06;P;;;;;;
D;082;3041409;11;20250407 01:06;P;;;;;;
D;082;3041409;11;20250407 01:06;V;;;;;;
D;082;3041409;11;20250407 01:06;V;;;;;;
D;082;3041409;11;20250407 01:06;V;;;;;;
B;082;3083672;12;20250407 01:06;CALTEX WOOLWORTHS SERVICE STN;;192;PENNANT HILLS RD;THORNLEIGH;2120;2880;M;20241219;20250331;10750000;E3;R;RESIDENCE;;EPS;;0;AU935882;
C;082;3083672;12;20250407 01:06;41/1064578;
D;082;3083672;12;20250407 01:06;P;;;;;;
D;082;3083672;12;20250407 01:06;V;;;;;;
B;082;4104739;13;20250407 01:06;;20;1;COWAN RD;MOUNT COLAH;2079;;;20250208;20250328;610000;;R;RESIDENCE;20;;;0;AU933657;
C;082;4104739;13;20250407 01:06;20/SP97180;
D;082;4104739;13;20250407 01:06;P;;;;;;
D;082;4104739;13;20250407 01:06;P;;;;;;
D;082;4104739;13;20250407 01:06;V;;;;;;
B;082;4023552;14;20250407 01:06;;11;4;BOUVARDIA ST;ASQUITH;2077;;;20250218;20250401;785000;;R;RESIDENCE;11;;;0;AU940302;
C;082;4023552;14;20250407 01:06;11/SP95241;
D;082;4023552;14;20250407 01:06;P;;;;;;
D;082;4023552;14;20250407 01:06;V;;;;;;
B;082;626445;15;20250407 01:06;;;4;BALDWIN AVE;ASQUITH;2077;727.2;M;20250226;20250331;3000000;R3;R;RESIDENCE;;RUE;;0;AU935820;
C;082;626445;15;20250407 01:06;2/326348;
D;082;626445;15;20250407 01:06;P;;;;;;
D;082;626445;15;20250407 01:06;V;;;;;;
B;082;626446;16;20250407 01:06;;;6;BALDWIN AVE;ASQUITH;2077;733.5;M;20250226;20250331;2050000;R3;R;RESIDENCE;;RUE;;0;AU935819;
C;082;626446;16;20250407 01:06;3/326348;
D;082;626446;16;20250407 01:06;P;;;;;;
D;082;626446;16;20250407 01:06;V;;;;;;
B;082;3207482;17;20250407 01:06;;;38 A;BEECROFT RD;BEECROFT;2119;2113;M;20250214;20250328;2800000;R2;R;RESIDENCE;;REN;;0;AU932631;
C;082;3207482;17;20250407 01:06;1/1074036;
D;082;3207482;17;20250407 01:06;P;;;;;;
D;082;3207482;17;20250407 01:06;P;;;;;;
D;082;3207482;17;20250407 01:06;V;;;;;;
D;082;3207482;17;20250407 01:06;V;;;;;;
B;082;3208698;18;20250407 01:06;;3;276;NEW LINE RD;DURAL;2158;;;20241223;20250328;2090000;;R;RESIDENCE;3;;;0;AU931808;
C;082;3208698;18;20250407 01:06;3/SP75852;
D;082;3208698;18;20250407 01:06;P;;;;;;
D;082;3208698;18;20250407 01:06;V;;;;;;
D;082;3208698;18;20250407 01:06;V;;;;;;
D;082;3208698;18;20250407 01:06;V;;;;;;
D;082;3208698;18;20250407 01:06;V;;;;;;
D;082;3208698;18;20250407 01:06;V;;;;;;
B;082;627542;19;20250407 01:06;;;9;BEDFORD RD;NORTH EPPING;2121;758.8;M;20250308;20250328;1966000;R2;R;RESIDENCE;;REJ;;0;AU933453;
C;082;627542;19;20250407 01:06;5/28412;
D;082;627542;19;20250407 01:06;P;;;;;;
D;082;627542;19;20250407 01:06;P;;;;;;
D;082;627542;19;20250407 01:06;V;;;;;;
B;082;630265;20;20250407 01:06;;;45;BOUVARDIA ST;ASQUITH;2077;916.9;M;20250215;20250331;2160000;R2;R;RESIDENCE;;REE;;0;AU936060;
C;082;630265;20;20250407 01:06;37/30826;
D;082;630265;20;20250407 01:06;P;;;;;;
D;082;630265;20;20250407 01:06;P;;;;;;
D;082;630265;20;20250407 01:06;V;;;;;;
D;082;630265;20;20250407 01:06;V;;;;;;
B;082;628083;21;20250407 01:06;;;52;BELLAMY ST;PENNANT HILLS;2120;847.3;M;20250215;20250331;2350000;R2;R;RESIDENCE;;REA;;0;AU937409;
C;082;628083;21;20250407 01:06;71/11135;
D;082;628083;21;20250407 01:06;P;;;;;;
D;082;628083;21;20250407 01:06;V;;;;;;
B;082;633497;22;20250407 01:06;;;20;CARTERS RD;DURAL;2158;1.804;H;20250315;20250331;5500000;RU2;R;RESIDENCE;;RRL;;0;AU934888;
C;082;633497;22;20250407 01:06;10/806743;
D;082;633497;22;20250407 01:06;P;;;;;;
D;082;633497;22;20250407 01:06;V;;;;;;
B;082;628286;23;20250407 01:06;;;9;BELLTREE CRES;CASTLE HILL;2154;501.1;M;20250228;20250328;2425000;R2;R;RESIDENCE;;REL;;0;AU930695;
C;082;628286;23;20250407 01:06;3434/879748;
D;082;628286;23;20250407 01:06;P;;;;;;
D;082;628286;23;20250407 01:06;V;;;;;;
D;082;628286;23;20250407 01:06;V;;;;;;
B;082;636259;24;20250407 01:06;;;49;COUNTY DR;CHERRYBROOK;2126;738.7;M;20250130;20250327;2363800;R2;R;RESIDENCE;;RER;;0;AU926717;
C;082;636259;24;20250407 01:06;827/848333;
D;082;636259;24;20250407 01:06;P;;;;;;
D;082;636259;24;20250407 01:06;P;;;;;;
D;082;636259;24;20250407 01:06;V;;;;;;
D;082;636259;24;20250407 01:06;V;;;;;;
B;082;636987;25;20250407 01:06;;2;1;DARLINGTON DR;CHERRYBROOK;2126;;;20250207;20250328;1750000;;R;RESIDENCE;2;;;0;AU930977;
C;082;636987;25;20250407 01:06;2/SP46671;
D;082;636987;25;20250407 01:06;P;;;;;;
D;082;636987;25;20250407 01:06;P;;;;;;
D;082;636987;25;20250407 01:06;V;;;;;;
D;082;636987;25;20250407 01:06;V;;;;;;
B;082;631683;26;20250407 01:06;;1;23;BURDETT ST;HORNSBY;2077;;;20250227;20250327;760000;;R;RESIDENCE;1;;;0;AU926860;
C;082;631683;26;20250407 01:06;1/SP56338;
D;082;631683;26;20250407 01:06;P;;;;;;
D;082;631683;26;20250407 01:06;P;;;;;;
D;082;631683;26;20250407 01:06;V;;;;;;
D;082;631683;26;20250407 01:06;V;;;;;;
B;082;631829;27;20250407 01:06;;;131 A;BURDETT ST;WAHROONGA;2076;500;M;20250315;20250328;1761000;R2;R;RESIDENCE;;REM;;0;AU930523;
C;082;631829;27;20250407 01:06;32/856441;
D;082;631829;27;20250407 01:06;P;;;;;;
D;082;631829;27;20250407 01:06;P;;;;;;
D;082;631829;27;20250407 01:06;V;;;;;;
D;082;631829;27;20250407 01:06;V;;;;;;
B;082;629315;28;20250407 01:06;;;56;BLACKBUTT AVE;PENNANT HILLS;2120;942.2;M;20250124;20250328;2250000;R2;R;RESIDENCE;;REA;;0;AU931656;
C;082;629315;28;20250407 01:06;43/235018;
D;082;629315;28;20250407 01:06;P;;;;;;
D;082;629315;28;20250407 01:06;P;;;;;;
D;082;629315;28;20250407 01:06;V;;;;;;
B;082;637271;29;20250407 01:06;;;55;DAVID RD;CASTLE HILL;2154;758.9;M;20250107;20250401;2200000;R2;R;RESIDENCE;;REL;;0;AU939541;
C;082;637271;29;20250407 01:06;9134/774962;
D;082;637271;29;20250407 01:06;P;;;;;;
D;082;637271;29;20250407 01:06;P;;;;;;
D;082;637271;29;20250407 01:06;V;;;;;;
B;082;646056;30;20250407 01:06;;;128;HANNAH ST;BEECROFT;2119;708.2;M;20241130;20250324;1320000;R2;R;RESIDENCE;;REN;;0;AU915840;
C;082;646056;30;20250407 01:06;1/34441;
D;082;646056;30;20250407 01:06;P;;;;;;
D;082;646056;30;20250407 01:06;P;;;;;;
D;082;646056;30;20250407 01:06;V;;;;;;
D;082;646056;30;20250407 01:06;V;;;;;;
B;082;641321;31;20250407 01:06;;;26;EUCALYPTUS DR;WESTLEIGH;2120;707.3;M;20250215;20250331;2171000;R2;R;RESIDENCE;;REH;;0;AU936154;
C;082;641321;31;20250407 01:06;2/249708;
D;082;641321;31;20250407 01:06;P;;;;;;
D;082;641321;31;20250407 01:06;V;;;;;;
B;082;641411;32;20250407 01:06;;;30;EVANS RD;HORNSBY HEIGHTS;2077;695.6;M;20250225;20250331;1730000;R2;R;RESIDENCE;;REF;;0;AU937986;
C;082;641411;32;20250407 01:06;7/207048;
D;082;641411;32;20250407 01:06;P;;;;;;
D;082;641411;32;20250407 01:06;P;;;;;;
D;082;641411;32;20250407 01:06;V;;;;;;
B;082;649146;33;20250407 01:06;;;23;JACKSON CRES;PENNANT HILLS;2120;828.3;M;20241109;20250331;1600000;R2;R;RESIDENCE;;REA;;0;AU935739;
C;082;649146;33;20250407 01:06;17/10/758836;
D;082;649146;33;20250407 01:06;P;;;;;;
D;082;649146;33;20250407 01:06;P;;;;;;
D;082;649146;33;20250407 01:06;V;;;;;;
B;082;654293;34;20250407 01:06;THE GRANGE;113;2;MCAULEY PL;WAITARA;2077;;;20250228;20250328;640000;;R;RESIDENCE;106;;;0;AU930053;
C;082;654293;34;20250407 01:06;106/SP22838;
D;082;654293;34;20250407 01:06;P;;;;;;
D;082;654293;34;20250407 01:06;V;;;;;;
B;082;641445;35;20250407 01:06;;;32;EVELYN CRES;BEROWRA HEIGHTS;2082;759.8;M;20250227;20250327;1930000;R2;R;RESIDENCE;;REO;;0;AU928584;
C;082;641445;35;20250407 01:06;2/255452;
