A;072;20031103 14:08;PDANN;
B;072;554512;1;20031103 14:08;;;;GUNDAGAI ST;ADELONG;2729;1922;M;20030909;20031015;130000;A;R;RESIDENCE;;DF;;0;AA84619;
C;072;554512;1;20031103 14:08;11/7/758009;
D;072;554512;1;20031103 14:08;P;;;;;;
D;072;554512;1;20031103 14:08;V;;;;;;
B;072;554764;2;20031103 14:08;;;59;TUMUT ST;ADELONG;2729;3035;M;20030827;20031010;105000;A;R;RESIDENCE;;DZ;;0;AA62387;
C;072;554764;2;20031103 14:08;7, 8/28/758009;
D;072;554764;2;20031103 14:08;P;;;;;;
D;072;554764;2;20031103 14:08;P;;;;;;
D;072;554764;2;20031103 14:08;V;;;;;;
B;072;554817;3;20031103 14:08;;;49;TUMUT ST;ADELONG;2729;551.9;M;20030905;20031010;120000;A;3;SHOP;;DA;;0;AA100106;
C;072;554817;3;20031103 14:08;22//998764;
D;072;554817;3;20031103 14:08;P;;;;;;
D;072;554817;3;20031103 14:08;V;;;;;;
B;072;555085;4;20031103 14:08;;;;WEST GILMORE RD PH BATLOW DP'S;TUMUT;2720;7.662;H;20030805;20030909;115000;R;V;VACANT LAND;;GV;;0;AA63469;
C;072;555085;4;20031103 14:08;20, 21//851098;
D;072;555085;4;20031103 14:08;P;;;;;;
D;072;555085;4;20031103 14:08;V;;;;;;
B;072;555303;5;20031103 14:08;;;8;CROFTON AVE;BATLOW;2730;733.5;M;20030505;20030509;96000;A;R;RESIDENCE;;BT;;0;9989404;
C;072;555303;5;20031103 14:08;397//757214;
D;072;555303;5;20031103 14:08;P;;;;;;
D;072;555303;5;20031103 14:08;V;;;;;;
B;072;555869;6;20031103 14:08;;;;BRUNGLE VILLAGE;BRUNGLE;2722;2023;M;20030620;20031008;5000;A;V;VACANT LAND;;DW;;0;AA60577;
C;072;555869;6;20031103 14:08;12/11/758169;
D;072;555869;6;20031103 14:08;P;;;;;;
D;072;555869;6;20031103 14:08;V;;;;;;
B;072;556947;7;20031103 14:08;;;30;GROVES ST;TALBINGO;2720;696.8;M;20030812;20030917;119000;A;R;RESIDENCE;;DU;;0;AA60745;
C;072;556947;7;20031103 14:08;33//244278;
D;072;556947;7;20031103 14:08;P;;;;;;
D;072;556947;7;20031103 14:08;V;;;;;;
