A;RTSALEDATA;103;20250630 01:08;VALNET;
B;103;1163332;1;20250630 01:08;;;121;KOLOONA AVE;MOUNT KEIRA;2500;550.1;M;20250331;20250626;1215008;R2;R;RESIDENCE;;AAT;;;AV185372;
C;103;1163332;1;20250630 01:08;56/211062;
D;103;1163332;1;20250630 01:08;P;;;;;;
D;103;1163332;1;20250630 01:08;P;;;;;;
D;103;1163332;1;20250630 01:08;V;;;;;;
D;103;1163332;1;20250630 01:08;V;;;;;;
B;103;1165953;2;20250630 01:08;;;64;LAWRENCE HARGRAVE DR;AUSTINMER;2515;499.5;M;20250326;20250626;4800000;R2;R;RESIDENCE;;AAI;;;AV184330;
C;103;1165953;2;20250630 01:08;A/362008;
D;103;1165953;2;20250630 01:08;P;;;;;;
D;103;1165953;2;20250630 01:08;P;;;;;;
D;103;1165953;2;20250630 01:08;V;;;;;;
D;103;1165953;2;20250630 01:08;V;;;;;;
B;103;1163470;3;20250630 01:08;;;14;KOORABEL AVE;WEST WOLLONGONG;2500;556.4;M;20250512;20250623;1225000;R2;R;RESIDENCE;;AAT;;;AV173830;
C;103;1163470;3;20250630 01:08;16/28569;
D;103;1163470;3;20250630 01:08;P;;;;;;
D;103;1163470;3;20250630 01:08;V;;;;;;
D;103;1163470;3;20250630 01:08;V;;;;;;
B;103;1152678;4;20250630 01:08;;;7;GOODMAN PL;HORSLEY;2530;704.5;M;20250422;20250624;1020000;R2;R;RESIDENCE;;ABB;;;AV177131;
C;103;1152678;4;20250630 01:08;724/881670;
D;103;1152678;4;20250630 01:08;P;;;;;;
D;103;1152678;4;20250630 01:08;P;;;;;;
D;103;1152678;4;20250630 01:08;V;;;;;;
D;103;1152678;4;20250630 01:08;V;;;;;;
B;103;1158171;5;20250630 01:08;;;22;IAN BRUCE CRES;BALGOWNIE;2519;720.8;M;20250528;20250625;1170000;R2;R;RESIDENCE;;AAR;;;AV180117;
C;103;1158171;5;20250630 01:08;159/210033;
D;103;1158171;5;20250630 01:08;P;;;;;;
D;103;1158171;5;20250630 01:08;V;;;;;;
B;103;1160817;6;20250630 01:08;;;12;KARBO ST;FIGTREE;2525;600.7;M;20250514;20250625;851000;R2;R;RESIDENCE;;AAU;;;AV182684;
C;103;1160817;6;20250630 01:08;22/25925;
D;103;1160817;6;20250630 01:08;P;;;;;;
D;103;1160817;6;20250630 01:08;P;;;;;;
D;103;1160817;6;20250630 01:08;P;;;;;;
D;103;1160817;6;20250630 01:08;V;;;;;;
D;103;1160817;6;20250630 01:08;V;;;;;;
B;103;1153080;7;20250630 01:08;;;12;GRAFTON AVE;FIGTREE;2525;569.1;M;20250513;20250626;875000;R2;R;RESIDENCE;;ABU;;;AV185442;
C;103;1153080;7;20250630 01:08;17/205686;
D;103;1153080;7;20250630 01:08;P;;;;;;
D;103;1153080;7;20250630 01:08;P;;;;;;
D;103;1153080;7;20250630 01:08;V;;;;;;
B;103;1172580;8;20250630 01:08;;;11;MURRA MURRA RD;KANAHOOKA;2530;650;M;20250514;20250625;1510000;R2;R;RESIDENCE;;AAY;;;AV181789;
C;103;1172580;8;20250630 01:08;22/1002319;
D;103;1172580;8;20250630 01:08;P;;;;;;
D;103;1172580;8;20250630 01:08;V;;;;;;
