A;RTSALEDATA;262;20250512 01:27;VALNET;
B;262;523417;1;20250512 01:27;;;49;PINDARA LANE;DENILIQUIN;2710;1.518;H;20250227;20250410;950000;R5;R;RESIDENCE;;HR1;;0;AU967459;
C;262;523417;1;20250512 01:27;5/285536;
D;262;523417;1;20250512 01:27;P;;;;;;
D;262;523417;1;20250512 01:27;V;;;;;;
D;262;523417;1;20250512 01:27;V;;;;;;
B;262;523727;2;20250512 01:27;;;82;NAPIER ST;DENILIQUIN;2710;1214;M;20250307;20250502;820000;B2;3;COMMERCIAL;;BS1;;0;AV29263;
C;262;523727;2;20250512 01:27;1/195432;
D;262;523727;2;20250512 01:27;P;;;;;;
D;262;523727;2;20250512 01:27;V;;;;;;
D;262;523727;2;20250512 01:27;V;;;;;;
Z;12;2;2;6;
