A;120;20010822 12:45;CDIXON;
B;120;1253540;1;20010822 12:45;;2;1;BARIGAN ST;MUDGEE;2850;;;20010404;20010511;245000;;R;;2;;;;7625530;
C;120;1253540;1;20010822 12:45;2//35890;
D;120;1253540;1;20010822 12:45;P;;;;;;
D;120;1253540;1;20010822 12:45;P;;;;;;
D;120;1253540;1;20010822 12:45;V;;;;;;
B;120;1253540;2;20010822 12:45;;1;1;BARIGAN ST;MUDGEE;2850;;;20010404;20010511;245000;;R;;1;;;;7625530;
C;120;1253540;2;20010822 12:45;1//35890;
D;120;1253540;2;20010822 12:45;P;;;;;;
D;120;1253540;2;20010822 12:45;P;;;;;;
D;120;1253540;2;20010822 12:45;V;;;;;;
D;120;1253540;2;20010822 12:45;V;;;;;;
B;120;1253746;3;20010822 12:45;;;;CAROLINA CRES;MUDGEE;2850;763.2;M;20001108;20010529;180000;A;R;;;AC;;;7655974;
C;120;1253746;3;20010822 12:45;5//248938;
D;120;1253746;3;20010822 12:45;P;;;;;;
D;120;1253746;3;20010822 12:45;P;;;;;;
D;120;1253746;3;20010822 12:45;V;;;;;;
B;120;1253754;4;20010822 12:45;;;;CAROLINA CRES;MUDGEE;2850;800.1;M;20010225;20010225;0;A;R;;;AC;;;7640602;
C;120;1253754;4;20010822 12:45;13//248938;
D;120;1253754;4;20010822 12:45;P;;;;;;
D;120;1253754;4;20010822 12:45;V;;;;;;
B;120;1253796;5;20010822 12:45;;;;CEDAR AVE;MUDGEE;2850;841.8;M;20010313;20010430;180000;A;3;NULL;;AC;;;7583236;
C;120;1253796;5;20010822 12:45;2//248092;
D;120;1253796;5;20010822 12:45;P;;;;;;
D;120;1253796;5;20010822 12:45;P;;;;;;
D;120;1253796;5;20010822 12:45;V;;;;;;
B;120;1253950;6;20010822 12:45;;;188;CHURCH ST;MUDGEE;2850;992.7;M;20010205;20010205;0;A;R;;;AC;;;7583907;
C;120;1253950;6;20010822 12:45;1//517307;
D;120;1253950;6;20010822 12:45;P;;;;;;
