A;204;20010822 12:25;CDIXON;
B;204;1896888;1;20010822 12:25;;;36;ABBOTSFORD PDE;FIVE DOCK;2046;348.3;M;19860602;19860708;105000;A;R;;;EV;;;7603805;
C;204;1896888;1;20010822 12:25;1//170253;
D;204;1896888;1;20010822 12:25;P;;;;;;
B;204;1896924;2;20010822 12:25;;25;3;ABBOTSFORD COVE DR;FIVE DOCK;2046;;;19970715;19990709;320000;;3;RESIDENCE;25;;;;5982995;
C;204;1896924;2;20010822 12:25;25//SP 60565;
D;204;1896924;2;20010822 12:25;P;;;;;;
B;204;1896999;3;20010822 12:25;;12;3;ALEXANDRA ST;DRUMMOYNE;2047;;;20010316;20010510;360000;;R;;12;;;;7610605;
C;204;1896999;3;20010822 12:25;12//5960;
D;204;1896999;3;20010822 12:25;P;;;;;;
D;204;1896999;3;20010822 12:25;P;;;;;;
D;204;1896999;3;20010822 12:25;V;;;;;;
D;204;1896999;3;20010822 12:25;V;;;;;;
B;204;1897061;4;20010822 12:25;;;67;ALEXANDRA ST;DRUMMOYNE;2047;;;20010313;20010420;980000;A;R;;;EF;;;7591488;
C;204;1897061;4;20010822 12:25;14//3771;
D;204;1897061;4;20010822 12:25;P;;;;;;
D;204;1897061;4;20010822 12:25;P;;;;;;
D;204;1897061;4;20010822 12:25;V;;;;;;
D;204;1897061;4;20010822 12:25;V;;;;;;
B;204;1897076;5;20010822 12:25;;1;54;ALEXANDRA ST;DRUMMOYNE;2047;;;20010214;20010214;0;;3;NULL;1;;;;7625172;
C;204;1897076;5;20010822 12:25;1//1414;
D;204;1897076;5;20010822 12:25;P;;;;;;
D;204;1897076;5;20010822 12:25;P;;;;;;
B;204;1897076;6;20010822 12:25;;1;54;ALEXANDRA ST;DRUMMOYNE;2047;;;20010511;20010511;0;;3;NULL;1;;;;7625171;
C;204;1897076;6;20010822 12:25;1//1414;
D;204;1897076;6;20010822 12:25;P;;;;;;
D;204;1897076;6;20010822 12:25;P;;;;;;
D;204;1897076;6;20010822 12:25;V;;;;;;
D;204;1897076;6;20010822 12:25;V;;;;;;
B;204;1897076;7;20010822 12:25;;5;54;ALEXANDRA ST;DRUMMOYNE;2047;;;20010328;20010328;0;;R;;5;;;;7569269;
C;204;1897076;7;20010822 12:25;5//1414;
D;204;1897076;7;20010822 12:25;P;;;;;;
D;204;1897076;7;20010822 12:25;V;;;;;;
B;204;1897076;8;20010822 12:25;;7;54;ALEXANDRA ST;DRUMMOYNE;2047;;;20010405;20010521;285000;;R;;7;;;;7639004;
C;204;1897076;8;20010822 12:25;7//1414;
D;204;1897076;8;20010822 12:25;P;;;;;;
D;204;1897076;8;20010822 12:25;V;;;;;;
B;204;1897076;9;20010822 12:25;;27;54;ALEXANDRA ST;DRUMMOYNE;2047;;;20010405;20010521;285000;;R;;27;;;;7639004;
C;204;1897076;9;20010822 12:25;27//1414;
D;204;1897076;9;20010822 12:25;P;;;;;;
D;204;1897076;9;20010822 12:25;V;;;;;;
B;204;1897392;10;20010822 12:25;;4;2;BARNSTAPLE LANE;FIVE DOCK;2046;;;20010306;20010411;375000;;R;;4;;;;7606199;
C;204;1897392;10;20010822 12:25;4//SP 54772;
D;204;1897392;10;20010822 12:25;P;;;;;;
D;204;1897392;10;20010822 12:25;P;;;;;;
D;204;1897392;10;20010822 12:25;V;;;;;;
B;204;1897524;11;20010822 12:25;;14;1;BAY RD;DRUMMOYNE;2047;;;20001203;20010131;520000;;3;;14;;XA;;7391283;
C;204;1897524;11;20010822 12:25;14//SP 49825;
D;204;1897524;11;20010822 12:25;P;;;;;;
D;204;1897524;11;20010822 12:25;V;;;;;;
B;204;1897637;12;20010822 12:25;;19;31;BAY RD;FIVE DOCK;2046;;;20010309;20010430;317000;;3;UNIT ;19;;;;7580641;
C;204;1897637;12;20010822 12:25;19//13159;
D;204;1897637;12;20010822 12:25;P;;;;;;
D;204;1897637;12;20010822 12:25;P;;;;;;
D;204;1897637;12;20010822 12:25;V;;;;;;
B;204;1897805;13;20010822 12:25;;;5;BAYSWATER ST;DRUMMOYNE;2047;278.2;M;20000817;20010130;330000;A;3;VACANT LAND;;EG;IF;;7405614;
C;204;1897805;13;20010822 12:25;C//108487;
D;204;1897805;13;20010822 12:25;P;;;;;;
D;204;1897805;13;20010822 12:25;V;;;;;;
B;204;1897806;14;20010822 12:25;;;3;BAYSWATER ST;DRUMMOYNE;2047;278.2;M;20000817;20010130;330000;A;3;VACANT LAND;;EG;AV;;7405614;
C;204;1897806;14;20010822 12:25;B//108487;
D;204;1897806;14;20010822 12:25;P;;;;;;
D;204;1897806;14;20010822 12:25;V;;;;;;
