A;150;20020603 10:23;PTHIRLWELL;
B;150;1664684;1;20020603 10:23;;3;13;ACACIA ST;BYRON BAY;2481;;;20011113;20011213;121000;;3;SHOP;3;;;;8565447;
C;150;1664684;1;20020603 10:23;3//SP 64325;
D;150;1664684;1;20020603 10:23;P;;;;;;
D;150;1664684;1;20020603 10:23;P;;;;;;
D;150;1664684;1;20020603 10:23;V;;;;;;
B;150;1664723;2;20020603 10:23;;;101;ALCORN ST;SUFFOLK PARK;2481;753.7;M;20020125;20020215;995000;P;R;RESIDENCE;;XJ;AC;;8573947;
C;150;1664723;2;20020603 10:23;8/10/11632;
D;150;1664723;2;20020603 10:23;P;;;;;;
D;150;1664723;2;20020603 10:23;V;;;;;;
B;150;1664727;3;20020603 10:23;;;93;ALCORN ST;SUFFOLK PARK;2481;;;20020222;20020412;1200000;P;R;RESIDENCE;;XJ;AC;;8565722;
C;150;1664727;3;20020603 10:23;4/10/11632;
D;150;1664727;3;20020603 10:23;P;;;;;;
D;150;1664727;3;20020603 10:23;P;;;;;;
D;150;1664727;3;20020603 10:23;V;;;;;;
B;150;1664742;4;20020603 10:23;;;63;ALCORN ST;SUFFOLK PARK;2481;;;20020102;20020201;825000;P;R;RESIDENCE;;XJ;AC;;8613335;
C;150;1664742;4;20020603 10:23;32//31280;
D;150;1664742;4;20020603 10:23;P;;;;;;
D;150;1664742;4;20020603 10:23;V;;;;;;
B;150;1665062;5;20020603 10:23;;;65;ARMSTRONG ST;SUFFOLK PARK;2481;698.1;M;20020328;20020423;469000;A;R;RESIDENCE;;HG;AC;;8557429;
C;150;1665062;5;20020603 10:23;10/6/11632;
D;150;1665062;5;20020603 10:23;P;;;;;;
D;150;1665062;5;20020603 10:23;P;;;;;;
D;150;1665062;5;20020603 10:23;V;;;;;;
B;150;1665120;6;20020603 10:23;;1;42;ARMSTRONG ST;SUFFOLK PARK;2481;;;20020307;20020418;335000;;R;RESIDENCE;1;;;;8596573;
C;150;1665120;6;20020603 10:23;1//SP 46847;
D;150;1665120;6;20020603 10:23;P;;;;;;
D;150;1665120;6;20020603 10:23;P;;;;;;
D;150;1665120;6;20020603 10:23;V;;;;;;
B;150;1665416;7;20020603 10:23;;;;BALRAITH LANE;EWINGSDALE;2481;3157;M;20010115;20020515;485000;R;R;RESIDENCE;;RZ;;;8624556;
C;150;1665416;7;20020603 10:23;7//258176;
D;150;1665416;7;20020603 10:23;P;;;;;;
D;150;1665416;7;20020603 10:23;P;;;;;;
D;150;1665416;7;20020603 10:24;V;;;;;;
D;150;1665416;7;20020603 10:24;V;;;;;;
B;150;1665469;8;20020603 10:24;;;14;BANGALOW RD;BYRON BAY;2481;3.484;H;20011220;20020114;350000;P;R;RESIDENCE;;XU;AC;;8590200;
C;150;1665469;8;20020603 10:24;14//792128;
D;150;1665469;8;20020603 10:24;P;;;;;;
D;150;1665469;8;20020603 10:24;V;;;;;;
D;150;1665469;8;20020603 10:24;V;;;;;;
B;150;1666172;9;20020603 10:24;;;21;BELONGIL CRES;BYRON BAY;2481;702.4;M;20020215;20020307;175000;A;R;RESIDENCE;;KA;;;8637131;
C;150;1666172;9;20020603 10:24;55//772011;
D;150;1666172;9;20020603 10:24;P;;;;;;
D;150;1666172;9;20020603 10:24;V;;;;;;
D;150;1666172;9;20020603 10:24;V;;;;;;
B;150;1666207;10;20020603 10:24;;;47;BELONGIL CRES;BYRON BAY;2481;1595;M;20011115;20011214;250000;A;V;VACANT LAND;;KB;AV;;8545899;
C;150;1666207;10;20020603 10:24;68//772011;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;P;;;;;;
D;150;1666207;10;20020603 10:24;V;;;;;;
B;150;1666215;11;20020603 10:24;;3;51;BELONGIL CRES;BYRON BAY;2481;;;20020321;20020502;262000;;3;TOWNHOUSE;3;;;;8589460;
C;150;1666215;11;20020603 10:24;3//43695;
D;150;1666215;11;20020603 10:24;P;;;;;;
D;150;1666215;11;20020603 10:24;P;;;;;;
D;150;1666215;11;20020603 10:24;V;;;;;;
D;150;1666215;11;20020603 10:24;V;;;;;;
B;150;1666485;12;20020603 10:24;;;;BLUEBERRY CT;BYRON BAY;2481;700.7;M;20020312;20020312;16000;A;R;RESIDENCE;;KP;ACI;;8595856;
C;150;1666485;12;20020603 10:24;34//848543;
D;150;1666485;12;20020603 10:24;P;;;;;;
D;150;1666485;12;20020603 10:24;P;;;;;;
D;150;1666485;12;20020603 10:24;P;;;;;;
D;150;1666485;12;20020603 10:24;V;;;;;;
D;150;1666485;12;20020603 10:24;V;;;;;;
B;150;1666542;13;20020603 10:24;;;4;BOOLEE CT;OCEAN SHORES;2483;1043;M;20020207;20020506;292000;A;R;RESIDENCE;;HN;AC;;8610139;
C;150;1666542;13;20020603 10:24;883//241810;
D;150;1666542;13;20020603 10:24;P;;;;;;
D;150;1666542;13;20020603 10:24;P;;;;;;
D;150;1666542;13;20020603 10:24;V;;;;;;
D;150;1666542;13;20020603 10:24;V;;;;;;
B;150;1666698;14;20020603 10:24;;;2;BOOYUN ST;BRUNSWICK HEADS;2483;505.9;M;20010820;20010928;130000;A;R;RESIDENCE;;HB;ACI;;8593649;
C;150;1666698;14;20020603 10:24;1//320685;
D;150;1666698;14;20020603 10:24;P;;;;;;
D;150;1666698;14;20020603 10:24;V;;;;;;
D;150;1666698;14;20020603 10:24;V;;;;;;
B;150;1666721;15;20020603 10:24;;;;BOTANIC CT;MULLUMBIMBY;2482;651.3;M;20020307;20020419;312000;A;R;RESIDENCE;;HE;AC;;8558504;
C;150;1666721;15;20020603 10:24;9//841109;
D;150;1666721;15;20020603 10:24;P;;;;;;
D;150;1666721;15;20020603 10:24;V;;;;;;
D;150;1666721;15;20020603 10:24;V;;;;;;
B;150;1666845;16;20020603 10:24;;;5;BRANDON ST;SUFFOLK PARK;2481;662.7;M;20020315;20020410;645000;A;R;RESIDENCE;;HG;AC;;8606402;
C;150;1666845;16;20020603 10:24;3/11/11632;
D;150;1666845;16;20020603 10:24;P;;;;;;
D;150;1666845;16;20020603 10:24;V;;;;;;
D;150;1666845;16;20020603 10:24;V;;;;;;
B;150;1666919;17;20020603 10:24;;;;BRIGANTINE ST;BYRON BAY;2481;4409;M;20020315;20020514;1200000;I;3;COMM PREMISES;;EB;;;8637416;
C;150;1666919;17;20020603 10:24;26//813844;
D;150;1666919;17;20020603 10:24;P;;;;;;
D;150;1666919;17;20020603 10:24;V;;;;;;
