A;RTSALEDATA;050;20250407 01:06;VALNET;
B;050;3372716;1;20250407 01:06;;;551;BUCHHORN ST;LAVINGTON;2641;383.8;M;20250214;20250328;442000;R1;R;RESIDENCE;;ALV;;0;AU930669;
C;050;3372716;1;20250407 01:06;1/1119689;
D;050;3372716;1;20250407 01:06;P;;;;;;
D;050;3372716;1;20250407 01:06;P;;;;;;
D;050;3372716;1;20250407 01:06;V;;;;;;
D;050;3372716;1;20250407 01:06;V;;;;;;
B;050;3382354;2;20250407 01:06;;;52;CORNWALL AVE;HAMILTON VALLEY;2641;668.3;M;20241220;20250331;621000;R1;R;RESIDENCE;;AHV;;0;AU938702;
C;050;3382354;2;20250407 01:06;19/1114564;
D;050;3382354;2;20250407 01:06;P;;;;;;
D;050;3382354;2;20250407 01:06;P;;;;;;
D;050;3382354;2;20250407 01:06;V;;;;;;
D;050;3382354;2;20250407 01:06;V;;;;;;
B;050;4210196;3;20250407 01:06;;;30;SWANSEA CT;THURGOONA;2640;596.2;M;20250123;20250401;745000;R1;R;RESIDENCE;;ATN;;0;AU940227;
C;050;4210196;3;20250407 01:06;113/1248446;
D;050;4210196;3;20250407 01:06;P;;;;;;
D;050;4210196;3;20250407 01:06;P;;;;;;
D;050;4210196;3;20250407 01:06;V;;;;;;
B;050;486292;4;20250407 01:06;;;6;BOX PL;GLENROY;2640;920.5;M;20250219;20250328;725000;R1;R;RESIDENCE;;ANP;;0;AU931879;
C;050;486292;4;20250407 01:06;206/839497;
D;050;486292;4;20250407 01:06;P;;;;;;
D;050;486292;4;20250407 01:06;P;;;;;;
D;050;486292;4;20250407 01:06;V;;;;;;
B;050;486362;5;20250407 01:06;;9;478;BREEN ST;LAVINGTON;2641;118;M;20250219;20250402;320000;;R;RESIDENCE;6;;;0;AU943391;
C;050;486362;5;20250407 01:06;6/SP50639;
D;050;486362;5;20250407 01:06;P;;;;;;
D;050;486362;5;20250407 01:06;V;;;;;;
D;050;486362;5;20250407 01:06;V;;;;;;
B;050;484901;6;20250407 01:06;;2;502;ALLDIS AVE;LAVINGTON;2641;;;20250306;20250327;293000;;R;RESIDENCE;2;;;0;AU928143;
C;050;484901;6;20250407 01:06;2/SP11677;
D;050;484901;6;20250407 01:06;P;;;;;;
D;050;484901;6;20250407 01:06;P;;;;;;
D;050;484901;6;20250407 01:06;V;;;;;;
D;050;484901;6;20250407 01:06;V;;;;;;
B;050;484901;7;20250407 01:06;;3;502;ALLDIS AVE;LAVINGTON;2641;;;20250306;20250327;281000;;R;RESIDENCE;3;;;0;AU928095;
C;050;484901;7;20250407 01:06;3/SP11677;
D;050;484901;7;20250407 01:06;P;;;;;;
D;050;484901;7;20250407 01:06;V;;;;;;
D;050;484901;7;20250407 01:06;V;;;;;;
B;050;484901;8;20250407 01:06;;4;502;ALLDIS AVE;LAVINGTON;2641;;;20250306;20250327;283000;;R;RESIDENCE;4;;;0;AU928411;
C;050;484901;8;20250407 01:06;4/SP11677;
D;050;484901;8;20250407 01:06;P;;;;;;
D;050;484901;8;20250407 01:06;V;;;;;;
D;050;484901;8;20250407 01:06;V;;;;;;
B;050;484901;9;20250407 01:06;;5;502;ALLDIS AVE;LAVINGTON;2641;;;20250320;20250327;283000;;R;RESIDENCE;5;;;0;AU928601;
C;050;484901;9;20250407 01:06;5/SP11677;
D;050;484901;9;20250407 01:06;P;;;;;;
D;050;484901;9;20250407 01:06;P;;;;;;
D;050;484901;9;20250407 01:06;V;;;;;;
B;050;484901;10;20250407 01:06;;6;502;ALLDIS AVE;LAVINGTON;2641;;;20250306;20250328;284000;;R;RESIDENCE;6;;;0;AU929748;
