A;197;20031002 11:12;PDANN;
B;197;1877624;1;20031002 11:12;;;;PH COOLANBILLA;QUIRINDI;2343;1012;H;20030630;20030811;1660000;R;3;FARM;;RB;;0;9879857;
C;197;1877624;1;20031002 11:12;1//380287 Permissive Occupancy 64/10;
D;197;1877624;1;20031002 11:12;P;;;;;;
D;197;1877624;1;20031002 11:12;V;;;;;;
B;197;1878184;2;20031002 11:12;;;;PH TAMARANG;QUIRINDI;2343;130.3;H;20020925;20021028;265000;R;3;FARM;;RP;;0;9105158;
C;197;1878184;2;20031002 11:12;PT 67//755521;
D;197;1878184;2;20031002 11:12;P;;;;;;
D;197;1878184;2;20031002 11:12;P;;;;;;
D;197;1878184;2;20031002 11:12;V;;;;;;
B;197;1878461;3;20031002 11:12;;;;DUMBELTON'S RD;QUIPOLLY;2343;589.6;H;20010129;20010330;112721;R;3;FARM;;RM;;0;7519232;
C;197;1878461;3;20031002 11:12;41, 42//1022673;
D;197;1878461;3;20031002 11:12;P;;;;;;
D;197;1878461;3;20031002 11:12;P;;;;;;
D;197;1878461;3;20031002 11:12;V;;;;;;
D;197;1878461;3;20031002 11:12;V;;;;;;
D;197;1878461;3;20031002 11:12;V;;;;;;
B;197;1878688;4;20031002 11:12;;;38;CENTRE ST;QUIRINDI;2343;1113;M;20030822;20030911;132000;Z;R;RESIDENCE;;ZQ;;0;9996506;
C;197;1878688;4;20031002 11:12;104//513580;
D;197;1878688;4;20031002 11:12;P;;;;;;
D;197;1878688;4;20031002 11:12;P;;;;;;
D;197;1878688;4;20031002 11:12;V;;;;;;
B;197;1878718;5;20031002 11:12;;;79;CHURCH AVE;QUIRINDI;2343;278.2;M;20030807;20030828;33000;Z;R;RESIDENCE;;ZQ;;0;9968874;
C;197;1878718;5;20031002 11:12;B//412108;
D;197;1878718;5;20031002 11:12;P;;;;;;
D;197;1878718;5;20031002 11:12;V;;;;;;
B;197;1878796;6;20031002 11:12;;;18;CROMARTY ST;QUIRINDI;2343;;;20030807;20030911;62500;Z;R;RESIDENCE;;ZQ;;0;9975989;
C;197;1878796;6;20031002 11:12;6//21230;
D;197;1878796;6;20031002 11:12;P;;;;;;
D;197;1878796;6;20031002 11:12;V;;;;;;
B;197;1878913;7;20031002 11:12;;;12;FERN ST;QUIRINDI;2343;809.4;M;20030729;20030818;55000;Z;R;RESIDENCE;;ZQ;;0;9984615;
C;197;1878913;7;20031002 11:12;6/1/2868;
D;197;1878913;7;20031002 11:12;P;;;;;;
D;197;1878913;7;20031002 11:12;V;;;;;;
B;197;1878960;8;20031002 11:12;;;50;FORTUNE ST;QUIRINDI;2343;801.2;M;20030628;20030820;3300;Z;V;VACANT LAND;;ZQ;;0;4401257;
C;197;1878960;8;20031002 11:12;9//1059731;
B;197;1879045;9;20031002 11:12;;;;GURTON ST;QUIRINDI;2343;1.341;H;20030728;20030910;160000;Z;R;RESIDENCE;;ZR;;0;9998966;
C;197;1879045;9;20031002 11:12;11, 12, 13, 14, 15, 16, 17/30/758863;
D;197;1879045;9;20031002 11:12;P;;;;;;
D;197;1879045;9;20031002 11:12;V;;;;;;
B;197;1879140;10;20031002 11:12;;;132;HAWKER ST;QUIRINDI;2343;531.1;M;20030731;20030919;132000;Z;R;RESIDENCE;;ZQ;;0;AA7072;
C;197;1879140;10;20031002 11:12;2//507652;
D;197;1879140;10;20031002 11:12;P;;;;;;
D;197;1879140;10;20031002 11:12;P;;;;;;
D;197;1879140;10;20031002 11:12;V;;;;;;
B;197;1879260;11;20031002 11:12;;;66;HILL ST;QUIRINDI;2343;695.5;M;20030516;20030620;85000;Z;R;RESIDENCE;;ZQ;;0;9978854;
C;197;1879260;11;20031002 11:12;7//18291;
D;197;1879260;11;20031002 11:12;P;;;;;;
D;197;1879260;11;20031002 11:12;P;;;;;;
D;197;1879260;11;20031002 11:12;V;;;;;;
B;197;1879355;12;20031002 11:12;;;89;LODER ST;QUIRINDI;2343;4452;M;20030606;20030626;401500;Z;3;COMEMRCIAL;;ZQ;;0;9906641;
C;197;1879355;12;20031002 11:12;1, 2//111935 3//594124;
D;197;1879355;12;20031002 11:12;P;;;;;;
D;197;1879355;12;20031002 11:12;V;;;;;;
B;197;1879377;13;20031002 11:12;;;11;MCCARTHY PL;QUIRINDI;2343;2066;M;20030815;20030912;20000;Z;V;VACANT LAND;;ZQ;;0;9981928;
C;197;1879377;13;20031002 11:12;21//839305;
D;197;1879377;13;20031002 11:12;P;;;;;;
D;197;1879377;13;20031002 11:12;V;;;;;;
B;197;1879756;14;20031002 11:12;;;;CHURCH ST;QUIRINDI;2343;1012;M;20030821;20030908;165000;Z;R;RESIDENCE;;ZQ;;0;9969150;
C;197;1879756;14;20031002 11:12;13//881148;
D;197;1879756;14;20031002 11:12;P;;;;;;
D;197;1879756;14;20031002 11:12;P;;;;;;
D;197;1879756;14;20031002 11:12;V;;;;;;
B;197;1879807;15;20031002 11:12;;;10;SNAPE ST;QUIRINDI;2343;3294;M;20030717;20030829;180000;Z;R;RESIDENCE;;ZQ;;0;9983512;
C;197;1879807;15;20031002 11:12;3, 4, 5//9570 A//403128;
D;197;1879807;15;20031002 11:12;P;;;;;;
D;197;1879807;15;20031002 11:12;V;;;;;;
D;197;1879807;15;20031002 11:12;V;;;;;;
B;197;1879835;16;20031002 11:12;;;50;STATION ST;QUIRINDI;2343;200.5;M;20030414;20030414;30000;Z;3;SHOP & COMMER;;ZB;;50;9871445;
C;197;1879835;16;20031002 11:12;PT 6, PT 7/52/758863 & APPT ROW TO RAILWAY AVE;
D;197;1879835;16;20031002 11:12;P;;;;;;
D;197;1879835;16;20031002 11:12;V;;;;;;
B;197;2997083;17;20031002 11:12;ANDAMOOKA;;;DARBY RD;SPRING RIDGE;2343;914;H;20030711;20030901;1806795;R;3;FARM;;RW;;0;9961504;
C;197;2997083;17;20031002 11:12;1//861946 42//1049252 , WB 030869;
