A;226;20110801 02:34;VALNET;
B;226;2917926;1;20110801 02:34;;;18 A;CAMBALAN ST;BARGO;2574;727.5;M;20110610;20110715;339000;R2;R;RESIDENCE;;BAR;;0;AG385706;
C;226;2917926;1;20110801 02:34;101/1042287;
D;226;2917926;1;20110801 02:34;P;;;;;;
D;226;2917926;1;20110801 02:34;V;;;;;;
D;226;2917926;1;20110801 02:34;V;;;;;;
B;226;2593373;2;20110801 02:34;;;140;SUNNYSIDE RD;THE OAKS;2570;44.92;H;20110418;20110623;1490000;RU2;R;RESIDENCE;;MWX;;0;AG380508;
C;226;2593373;2;20110801 02:34;45, 46/751287;
D;226;2593373;2;20110801 02:34;P;;;;;;
D;226;2593373;2;20110801 02:34;P;;;;;;
D;226;2593373;2;20110801 02:34;V;;;;;;
D;226;2593373;2;20110801 02:34;V;;;;;;
B;226;2598198;3;20110801 02:34;;;15;MITCHELL PL;DOUGLAS PARK;2569;4047;M;20110504;20110629;525000;RU2;R;RESIDENCE;;ADE;;0;AG386577;
C;226;2598198;3;20110801 02:34;4/21415;
D;226;2598198;3;20110801 02:34;P;;;;;;
D;226;2598198;3;20110801 02:34;P;;;;;;
D;226;2598198;3;20110801 02:34;V;;;;;;
D;226;2598198;3;20110801 02:34;V;;;;;;
B;226;2598338;4;20110801 02:34;;;21;MOORE RD;OAKDALE;2570;979;M;20110519;20110713;410000;R2;R;RESIDENCE;;OAK;;0;AG384551;
C;226;2598338;4;20110801 02:34;209/714036;
D;226;2598338;4;20110801 02:34;P;;;;;;
D;226;2598338;4;20110801 02:34;V;;;;;;
B;226;2601132;5;20110801 02:34;;;42;SECOND ST;WARRAGAMBA;2752;474.2;M;20110531;20110713;326000;R2;R;RESIDENCE;;WAR;;0;AG384777;
C;226;2601132;5;20110801 02:34;161/210650;
D;226;2601132;5;20110801 02:34;P;;;;;;
D;226;2601132;5;20110801 02:34;V;;;;;;
D;226;2601132;5;20110801 02:34;V;;;;;;
B;226;2598673;6;20110801 02:34;;;19 A;MYRTLE CREEK AVE;TAHMOOR;2573;1494;M;20110608;20110720;470000;R2;R;RESIDENCE;;TAE;;0;AG386719;
C;226;2598673;6;20110801 02:34;853/1015904;
D;226;2598673;6;20110801 02:34;P;;;;;;
D;226;2598673;6;20110801 02:34;P;;;;;;
D;226;2598673;6;20110801 02:34;V;;;;;;
D;226;2598673;6;20110801 02:34;V;;;;;;
B;226;3135443;7;20110801 02:34;;;79 A;RADNOR RD;BARGO;2574;495.7;M;20110418;20110712;290000;R3;R;RESIDENCE;;BAH;;0;AG370217;
C;226;3135443;7;20110801 02:34;241/1076074;
D;226;3135443;7;20110801 02:34;P;;;;;;
D;226;3135443;7;20110801 02:34;V;;;;;;
D;226;3135443;7;20110801 02:34;V;;;;;;
B;226;3579196;8;20110801 02:34;;;;SARAZEN CRES;WILTON;2571;1002;M;20110531;20110628;331500;R2;V;VACANT LAND;;WIP;;0;AG369189;
C;226;3579196;8;20110801 02:34;36/280014;
D;226;3579196;8;20110801 02:34;P;;;;;;
D;226;3579196;8;20110801 02:34;P;;;;;;
D;226;3579196;8;20110801 02:34;V;;;;;;
B;226;3570555;9;20110801 02:34;;;64;RESERVOIR RD;BARGO;2574;777.8;M;20110526;20110701;298500;RU4;R;RESIDENCE;;BAB;;0;AG348834;
C;226;3570555;9;20110801 02:34;C/372440;
D;226;3570555;9;20110801 02:34;P;;;;;;
D;226;3570555;9;20110801 02:34;P;;;;;;
D;226;3570555;9;20110801 02:34;V;;;;;;
B;226;3589944;10;20110801 02:34;;;;ESEN PL;PHEASANTS NEST;2574;3.785;H;20110504;20110629;305000;E4;V;VACANT LAND;;BAZ;;0;AG377846;
C;226;3589944;10;20110801 02:34;1/1117153;
D;226;3589944;10;20110801 02:34;P;;;;;;
D;226;3589944;10;20110801 02:34;V;;;;;;
B;226;2599710;11;20110801 02:34;;;10;PRODUCTION AVE;WARRAGAMBA;2752;1.442;H;20110620;20110630;3000000;IN2;3;WAREHOUSES;;WBA;;0;AG378610;
C;226;2599710;11;20110801 02:34;33/873099;
D;226;2599710;11;20110801 02:34;P;;;;;;
D;226;2599710;11;20110801 02:34;V;;;;;;
B;226;2602373;12;20110801 02:34;;;3;THE GRANGE;PICTON;2571;4341;M;20110503;20110721;400000;RU1;V;VACANT LAND;;TWH;;0;AG386202;
C;226;2602373;12;20110801 02:34;66/270216;
D;226;2602373;12;20110801 02:34;P;;;;;;
D;226;2602373;12;20110801 02:34;P;;;;;;
D;226;2602373;12;20110801 02:34;V;;;;;;
D;226;2602373;12;20110801 02:34;V;;;;;;
B;226;3313643;13;20110801 02:34;;;2 A;PARK WAY;CAMDEN PARK;2570;365.4;M;20110609;20110708;426500;R2;R;RESIDENCE;;CAM;;0;AG382072;
C;226;3313643;13;20110801 02:34;868/1110332;
D;226;3313643;13;20110801 02:34;P;;;;;;
D;226;3313643;13;20110801 02:34;P;;;;;;
D;226;3313643;13;20110801 02:34;V;;;;;;
D;226;3313643;13;20110801 02:34;V;;;;;;
D;226;3313643;13;20110801 02:34;V;;;;;;
Z;70;13;13;42;
