A;RTSALEDATA;575;20250331 01:09;VALNET;
B;575;2712154;1;20250331 01:09;;5;33;WREN ST;MOUNT AUSTIN;2650;;;20250214;20250321;305000;;R;RESIDENCE;5;;;0;AU912935;
C;575;2712154;1;20250331 01:09;5/SP69725;
D;575;2712154;1;20250331 01:09;P;;;;;;
D;575;2712154;1;20250331 01:09;V;;;;;;
B;575;4226513;2;20250331 01:09;;;72;PARADISE DR;GOBBAGOMBALIN;2650;836.5;M;20250313;20250320;750000;R1;R;RESIDENCE;;ESR;;0;AU908295;
C;575;4226513;2;20250331 01:09;328/1253859;
D;575;4226513;2;20250331 01:09;P;;;;;;
D;575;4226513;2;20250331 01:09;P;;;;;;
D;575;4226513;2;20250331 01:09;V;;;;;;
D;575;4226513;2;20250331 01:09;V;;;;;;
B;575;3548542;3;20250331 01:09;;;8;PINNACLE PL;ESTELLA;2650;719.1;M;20250304;20250321;754000;R1;R;RESIDENCE;;ESN;;0;AU913856;
C;575;3548542;3;20250331 01:09;804/1150062;
D;575;3548542;3;20250331 01:09;P;;;;;;
D;575;3548542;3;20250331 01:09;V;;;;;;
D;575;3548542;3;20250331 01:09;V;;;;;;
B;575;4062024;4;20250331 01:09;;;164 B;FORSYTH ST;WAGGA WAGGA;2650;287.7;M;20250220;20250320;1050000;R3;R;RESIDENCE;;CMD;;0;AU908634;
C;575;4062024;4;20250331 01:09;3/286735;
D;575;4062024;4;20250331 01:09;P;;;;;;
D;575;4062024;4;20250331 01:09;V;;;;;;
B;575;4572749;5;20250331 01:09;;;8;LAWRENCE AVE;GOBBAGOMBALIN;2650;800;M;20240110;20250320;330000;R1;V;VACANT LAND;;ESR;;0;AU909335;
C;575;4572749;5;20250331 01:09;660/1300695;
D;575;4572749;5;20250331 01:09;P;;;;;;
D;575;4572749;5;20250331 01:09;V;;;;;;
B;575;4572758;6;20250331 01:09;;;6;ROTO ST;GOBBAGOMBALIN;2650;793.1;M;20240110;20250320;310000;R1;V;VACANT LAND;;ESR;;0;AU909301;
C;575;4572758;6;20250331 01:09;669/1300695;
D;575;4572758;6;20250331 01:09;P;;;;;;
D;575;4572758;6;20250331 01:09;V;;;;;;
B;575;4576158;7;20250331 01:09;;;16;SILKWOOD ST;FOREST HILL;2651;851.6;M;20250225;20250325;236000;R1;V;VACANT LAND;;BSP;;0;AU919746;
C;575;4576158;7;20250331 01:09;250/1309930;
D;575;4576158;7;20250331 01:09;P;;;;;;
D;575;4576158;7;20250331 01:09;P;;;;;;
