A;211;20030501 12:48;PBARBER;
B;211;2105913;1;20030501 12:48;;;31;ALBERT ST;ERSKINEVILLE;2043;126.5;M;20030321;20030328;105000;A;R;RESIDENCE;;BQ;;;9534348;
C;211;2105913;1;20030501 12:48;1//928908;
D;211;2105913;1;20030501 12:48;P;;;;;;
D;211;2105913;1;20030501 12:48;V;;;;;;
D;211;2105913;1;20030501 12:48;V;;;;;;
B;211;2106901;2;20030501 12:48;;;16;ASQUITH AVE;ROSEBERY;2018;663.9;M;20030222;20030407;871000;A;R;RESIDENCE;;AT;;;9524867;
C;211;2106901;2;20030501 12:48;858//15102;
D;211;2106901;2;20030501 12:48;P;;;;;;
D;211;2106901;2;20030501 12:48;V;;;;;;
B;211;2107700;3;20030501 12:48;;40;61;BAYSWATER RD;KINGS CROSS;2011;;;20030320;20030410;60000;;3;AR SPACE;40;;;;9545181;
C;211;2107700;3;20030501 12:48;40//SP 2194;
D;211;2107700;3;20030501 12:48;P;;;;;;
D;211;2107700;3;20030501 12:48;P;;;;;;
D;211;2107700;3;20030501 12:48;V;;;;;;
B;211;2107700;4;20030501 12:48;;58;61;BAYSWATER RD;KINGS CROSS;2011;;;20030320;20030410;60000;;3;AR SPACE;58;;;;9545181;
C;211;2107700;4;20030501 12:48;58//SP 2194;
D;211;2107700;4;20030501 12:48;P;;;;;;
D;211;2107700;4;20030501 12:48;P;;;;;;
D;211;2107700;4;20030501 12:48;V;;;;;;
B;211;2108150;5;20030501 12:48;;15;24;BELLEVUE ST;SURRY HILLS;2010;;;20030225;20030404;310000;;R;RESIDENCE;15;;;;9543522;
C;211;2108150;5;20030501 12:48;15//SP 63737;
D;211;2108150;5;20030501 12:48;P;;;;;;
D;211;2108150;5;20030501 12:48;V;;;;;;
B;211;2108150;6;20030501 12:48;;56;24;BELLEVUE ST;SURRY HILLS;2010;;;20030307;20030411;545000;;R;RESIDENCE;56;;;;9538861;
C;211;2108150;6;20030501 12:48;56//SP 63737;
D;211;2108150;6;20030501 12:48;P;;;;;;
D;211;2108150;6;20030501 12:48;P;;;;;;
D;211;2108150;6;20030501 12:48;V;;;;;;
B;211;2108150;7;20030501 12:48;;57;24;BELLEVUE ST;SURRY HILLS;2010;;;20030225;20030410;550000;;R;RESIDENCE;57;;;;9549501;
C;211;2108150;7;20030501 12:48;57//SP 63737;
D;211;2108150;7;20030501 12:48;P;;;;;;
D;211;2108150;7;20030501 12:48;P;;;;;;
D;211;2108150;7;20030501 12:48;V;;;;;;
B;211;2109075;8;20030501 12:48;;;3;BLOOMFIELD ST;SURRY HILLS;2010;;;20030128;20030325;810000;A;R;RESIDENCE;;BD;;;9539378;
C;211;2109075;8;20030501 12:48;B//447476;
D;211;2109075;8;20030501 12:48;P;;;;;;
D;211;2109075;8;20030501 12:48;V;;;;;;
D;211;2109075;8;20030501 12:48;V;;;;;;
B;211;2109576;9;20030501 12:48;;14;56;BOTANY RD;ALEXANDRIA;2015;;;20030221;20030304;218000;;R;RESIDENCE;14;;;;9543336;
C;211;2109576;9;20030501 12:48;14//SP 53973;
D;211;2109576;9;20030501 12:48;P;;;;;;
D;211;2109576;9;20030501 12:48;V;;;;;;
D;211;2109576;9;20030501 12:48;V;;;;;;
B;211;2109832;10;20030501 12:48;;102;15;BOUNDARY ST;DARLINGHURST;2010;;;20030313;20030411;595000;;R;RESIDENCE;102;;;;9536229;
C;211;2109832;10;20030501 12:48;102//SP 63776;
D;211;2109832;10;20030501 12:48;P;;;;;;
D;211;2109832;10;20030501 12:48;V;;;;;;
B;211;2110586;11;20030501 12:48;;67;679;BOURKE ST;SURRY HILLS;2010;;;20030305;20030416;316000;;R;RESIDENCE;67;;;;9551232;
C;211;2110586;11;20030501 12:48;67//SP 8153;
D;211;2110586;11;20030501 12:48;P;;;;;;
D;211;2110586;11;20030501 12:48;V;;;;;;
B;211;2111879;12;20030501 12:48;SYDNEY CAMPUS APARTMENTS;200;185;BROADWAY;ULTIMO;2007;;;20030213;20030407;140000;;R;RESIDENCE;200;;;;9522120;
C;211;2111879;12;20030501 12:48;200//SP 54026;
D;211;2111879;12;20030501 12:48;P;;;;;;
D;211;2111879;12;20030501 12:48;P;;;;;;
D;211;2111879;12;20030501 12:48;V;;;;;;
B;211;2113127;13;20030501 12:48;;;119;BUCKLAND ST;ALEXANDRIA;2015;;;20030307;20030410;585000;A;R;RESIDENCE;;BR;;;9537397;
C;211;2113127;13;20030501 12:48;1//737930;
D;211;2113127;13;20030501 12:48;P;;;;;;
D;211;2113127;13;20030501 12:48;P;;;;;;
D;211;2113127;13;20030501 12:48;V;;;;;;
B;211;2113319;14;20030501 12:48;;;36;BURNETT ST;REDFERN;2016;168.7;M;20030225;20030408;475000;A;R;RESIDENCE;;BJ;;;9549431;
C;211;2113319;14;20030501 12:48;1//1042121;
D;211;2113319;14;20030501 12:48;P;;;;;;
D;211;2113319;14;20030501 12:48;P;;;;;;
D;211;2113319;14;20030501 12:48;V;;;;;;
D;211;2113319;14;20030501 12:48;V;;;;;;
B;211;2114062;15;20030501 12:48;;;55;CAMPBELL ST;NEWTOWN;2042;69.6;M;20030301;20030411;430000;A;R;RESIDENCE;;BN;;;9539782;
C;211;2114062;15;20030501 12:48;6//32957;
D;211;2114062;15;20030501 12:48;P;;;;;;
D;211;2114062;15;20030501 12:48;P;;;;;;
D;211;2114062;15;20030501 12:48;V;;;;;;
D;211;2114062;15;20030501 12:48;V;;;;;;
D;211;2114062;15;20030501 12:48;V;;;;;;
B;211;2115036;16;20030501 12:48;;;74;CHARLES ST;ERSKINEVILLE;2043;;;20030129;20030327;600000;A;R;RESIDENCE;;BQ;;;9539278;
C;211;2115036;16;20030501 12:48;D//447273;
D;211;2115036;16;20030501 12:48;P;;;;;;
D;211;2115036;16;20030501 12:48;P;;;;;;
D;211;2115036;16;20030501 12:48;V;;;;;;
D;211;2115036;16;20030501 12:48;V;;;;;;
B;211;2115436;17;20030501 12:48;;1;4;CLAPTON PL;DARLINGHURST;2010;;;20030305;20030416;255000;;R;RESIDENCE;1;;;;9546738;
C;211;2115436;17;20030501 12:48;1//SP 22765;
D;211;2115436;17;20030501 12:48;P;;;;;;
D;211;2115436;17;20030501 12:48;V;;;;;;
B;211;2115682;18;20030501 12:48;;65;1 A;CLEMENT PL;RUSHCUTTERS BAY;2011;;;20030221;20030404;750000;;R;RESIDENCE;65;;;;9545249;
C;211;2115682;18;20030501 12:48;65//SP 61325;
D;211;2115682;18;20030501 12:48;P;;;;;;
D;211;2115682;18;20030501 12:48;V;;;;;;
B;211;2116161;19;20030501 12:48;;11;122;CLEVELAND ST;CHIPPENDALE;2008;;;20030303;20030404;325000;;R;RESIDENCE;11;;;;9540374;
C;211;2116161;19;20030501 12:48;11//SP 62291;
D;211;2116161;19;20030501 12:48;P;;;;;;
D;211;2116161;19;20030501 12:48;V;;;;;;
B;211;2116906;20;20030501 12:48;;42;57;COOK RD;CENTENNIAL PARK;2021;;;20030320;20030416;515000;;R;RESIDENCE;42;;;;9550515;
C;211;2116906;20;20030501 12:48;42//SP 35939;
D;211;2116906;20;20030501 12:48;P;;;;;;
D;211;2116906;20;20030501 12:48;V;;;;;;
B;211;2117039;21;20030501 12:48;;29;77;COOK RD;PADDINGTON;2021;;;20030206;20030320;336000;;R;RESIDENCE;29;;;;9530878;
C;211;2117039;21;20030501 12:48;29//SP 7932;
D;211;2117039;21;20030501 12:48;P;;;;;;
D;211;2117039;21;20030501 12:48;V;;;;;;
B;211;2117413;22;20030501 12:48;;12;68;COOK RD;PADDINGTON;2021;;;20030210;20030324;279000;;R;RESIDENCE;12;;;;9522824;
C;211;2117413;22;20030501 12:48;12//SP 5078;
D;211;2117413;22;20030501 12:48;P;;;;;;
D;211;2117413;22;20030501 12:48;V;;;;;;
B;211;2117597;23;20030501 12:48;;7;82;COOPER ST;SURRY HILLS;2010;;;20030213;20030401;433000;;R;RESIDENCE;7;;;;9543115;
C;211;2117597;23;20030501 12:48;7//SP 55233;
D;211;2117597;23;20030501 12:48;P;;;;;;
D;211;2117597;23;20030501 12:48;P;;;;;;
D;211;2117597;23;20030501 12:48;V;;;;;;
D;211;2117597;23;20030501 12:48;V;;;;;;
B;211;2118073;24;20030501 12:48;;6;57;CRAIGEND ST;KINGS CROSS;2011;;;20030122;20030305;223000;;R;RESIDENCE;6;;;;9524928;
C;211;2118073;24;20030501 12:48;6//SP 43393;
D;211;2118073;24;20030501 12:48;P;;;;;;
D;211;2118073;24;20030501 12:48;P;;;;;;
D;211;2118073;24;20030501 12:48;V;;;;;;
B;211;2118475;25;20030501 12:48;;;654;CROWN ST;SURRY HILLS;2010;;;20030222;20030331;975000;M;R;RESIDENCE;;MD;;;9522752;
C;211;2118475;25;20030501 12:48;1//997115;
D;211;2118475;25;20030501 12:48;P;;;;;;
D;211;2118475;25;20030501 12:48;V;;;;;;
B;211;2118482;26;20030501 12:48;;34;628;CROWN ST;SURRY HILLS;2010;;;20030224;20030407;355000;;R;RESIDENCE;34;;;;9516998;
C;211;2118482;26;20030501 12:48;34//SP 60069;
D;211;2118482;26;20030501 12:48;P;;;;;;
D;211;2118482;26;20030501 12:48;V;;;;;;
D;211;2118482;26;20030501 12:48;V;;;;;;
B;211;2118482;27;20030501 12:48;;40;628;CROWN ST;SURRY HILLS;2010;;;20030224;20030407;355000;;R;RESIDENCE;40;;;;9516998;
C;211;2118482;27;20030501 12:48;40//SP 60069;
D;211;2118482;27;20030501 12:48;P;;;;;;
D;211;2118482;27;20030501 12:48;V;;;;;;
B;211;2118862;28;20030501 12:48;;4;51;CROWN ST;WOOLLOOMOOLOO;2011;;;20030221;20030404;485000;;R;RESIDENCE;4;;;;9542492;
C;211;2118862;28;20030501 12:48;4//SP 52720;
D;211;2118862;28;20030501 12:48;P;;;;;;
D;211;2118862;28;20030501 12:48;P;;;;;;
D;211;2118862;28;20030501 12:48;V;;;;;;
D;211;2118862;28;20030501 12:48;V;;;;;;
B;211;2119144;29;20030501 12:48;;14;277;CROWN ST;SURRY HILLS;2010;;;20030227;20030411;445000;;R;RESIDENCE;14;;;;9535915;
C;211;2119144;29;20030501 12:48;14//SP 61092;
D;211;2119144;29;20030501 12:48;P;;;;;;
D;211;2119144;29;20030501 12:48;P;;;;;;
D;211;2119144;29;20030501 12:48;V;;;;;;
B;211;2119144;30;20030501 12:48;;49;277;CROWN ST;SURRY HILLS;2010;;;20030227;20030411;445000;;R;RESIDENCE;49;;;;9535915;
C;211;2119144;30;20030501 12:48;49//SP 61092;
D;211;2119144;30;20030501 12:48;P;;;;;;
D;211;2119144;30;20030501 12:48;P;;;;;;
D;211;2119144;30;20030501 12:48;V;;;;;;
B;211;2120742;31;20030501 12:48;;10;235;DARLINGHURST RD;DARLINGHURST;2010;;;20030121;20030307;150000;;R;RESIDENCE;10;;;;9536593;
C;211;2120742;31;20030501 12:48;10//SP 20200;
D;211;2120742;31;20030501 12:48;P;;;;;;
D;211;2120742;31;20030501 12:48;V;;;;;;
B;211;2121354;32;20030501 12:48;;;52;DOUGLAS ST;REDFERN;2016;82.2;M;20030220;20030403;500000;A;R;RESIDENCE;;BJ;;;9540649;
C;211;2121354;32;20030501 12:48;4//444826;
D;211;2121354;32;20030501 12:48;P;;;;;;
D;211;2121354;32;20030501 12:48;V;;;;;;
D;211;2121354;32;20030501 12:48;V;;;;;;
B;211;2122272;33;20030501 12:48;;;752;ELIZABETH ST;WATERLOO;2017;145.4;M;20030131;20030318;409000;A;R;RESIDENCE;;BH;;;9542748;
C;211;2122272;33;20030501 12:48;1//32791;
D;211;2122272;33;20030501 12:48;P;;;;;;
D;211;2122272;33;20030501 12:48;P;;;;;;
D;211;2122272;33;20030501 12:48;V;;;;;;
D;211;2122272;33;20030501 12:48;V;;;;;;
B;211;2122399;34;20030501 12:48;;;747;ELIZABETH ST;ZETLAND;2017;;;20030224;20030326;575000;M;R;RESIDENCE;;MG;;;9524109;
C;211;2122399;34;20030501 12:48;A//435416;
D;211;2122399;34;20030501 12:48;P;;;;;;
D;211;2122399;34;20030501 12:48;V;;;;;;
D;211;2122399;34;20030501 12:48;V;;;;;;
B;211;2122736;35;20030501 12:48;;12;31;ELIZABETH BAY RD;ELIZABETH BAY;2011;;;20030221;20030404;199000;;R;RESIDENCE;12;;;;9537361;
C;211;2122736;35;20030501 12:48;12//SP 20875;
D;211;2122736;35;20030501 12:48;P;;;;;;
D;211;2122736;35;20030501 12:48;V;;;;;;
D;211;2122736;35;20030501 12:48;V;;;;;;
B;211;2123730;36;20030501 12:48;;1;3;ERSKINEVILLE RD;NEWTOWN;2042;;;20011026;20011207;415000;;3;SHOP;1;;;;9525874;
C;211;2123730;36;20030501 12:48;1//SP 63664;
D;211;2123730;36;20030501 12:48;P;;;;;;
D;211;2123730;36;20030501 12:48;P;;;;;;
D;211;2123730;36;20030501 12:48;V;;;;;;
D;211;2123730;36;20030501 12:48;V;;;;;;
D;211;2123730;36;20030501 12:48;V;;;;;;
B;211;2124138;37;20030501 12:48;;18;2;EVELEIGH ST;REDFERN;2016;;;20030218;20030401;247000;;R;RESIDENCE;18;;;;9519449;
C;211;2124138;37;20030501 12:48;18//SP 61081;
D;211;2124138;37;20030501 12:48;P;;;;;;
D;211;2124138;37;20030501 12:48;V;;;;;;
B;211;2124219;38;20030501 12:48;;26;6;FARRELL AVE;DARLINGHURST;2010;;;20030310;20030414;205000;;R;RESIDENCE;26;;;;9539899;
C;211;2124219;38;20030501 12:48;26//SP 14917;
D;211;2124219;38;20030501 12:48;P;;;;;;
D;211;2124219;38;20030501 12:48;V;;;;;;
B;211;2124869;39;20030501 12:48;;71;19;FORBES ST;WOOLLOOMOOLOO;2011;;;20030129;20030321;109000;;R;RESIDENCE;71;;;;9552763;
C;211;2124869;39;20030501 12:48;71//SP 50964;
