A;187;20030501 12:47;PBARBER;
B;187;1848672;1;20030501 12:47;;;24;ALBION ST;GUNNEDAH;2380;758.8;M;20021120;20021216;95000;A;R;RESIDENCE;;AJ;;;9533936;
C;187;1848672;1;20030501 12:47;B//398987;
D;187;1848672;1;20030501 12:47;P;;;;;;
D;187;1848672;1;20030501 12:47;P;;;;;;
D;187;1848672;1;20030501 12:47;V;;;;;;
B;187;1848956;2;20030501 12:47;;;143;BARBER ST;GUNNEDAH;2380;1056;M;20030304;20030321;40000;A;V;VACANT LAND;;AF;;;9530315;
C;187;1848956;2;20030501 12:47;2//572096;
D;187;1848956;2;20030501 12:47;P;;;;;;
D;187;1848956;2;20030501 12:47;P;;;;;;
D;187;1848956;2;20030501 12:47;V;;;;;;
B;187;1852616;3;20030501 12:47;;;22;CARLYON AVE;GUNNEDAH;2380;1.207;H;20030228;20030324;168000;R;R;RESIDENCE;;FA;;;9543906;
C;187;1852616;3;20030501 12:47;26//830149;
D;187;1852616;3;20030501 12:47;P;;;;;;
D;187;1852616;3;20030501 12:47;V;;;;;;
B;187;1853378;4;20030501 12:47;;;62;DONALDSON ST;CURLEWIS;2381;1074;M;20030310;20030324;85000;A;R;RESIDENCE;;AX;;;9548103;
C;187;1853378;4;20030501 12:47;13//39700;
D;187;1853378;4;20030501 12:47;P;;;;;;
D;187;1853378;4;20030501 12:47;P;;;;;;
D;187;1853378;4;20030501 12:47;P;;;;;;
D;187;1853378;4;20030501 12:47;P;;;;;;
D;187;1853378;4;20030501 12:47;V;;;;;;
Z;23;4;4;13;
