A;157;20020801 14:11;PDANN;
B;157;1725568;1;20020801 14:11;;;23;BISSETT ST;EAST KEMPSEY;2440;765.1;M;20020301;20020405;130000;A;R;RESIDENCE;;AB;AC;;8732014;
C;157;1725568;1;20020801 14:11;3//331023;
D;157;1725568;1;20020801 14:11;P;;;;;;
D;157;1725568;1;20020801 14:11;P;;;;;;
D;157;1725568;1;20020801 14:11;V;;;;;;
D;157;1725568;1;20020801 14:11;V;;;;;;
B;157;1725746;2;20020801 14:11;;2;65;BROUGHTON ST;WEST KEMPSEY;2440;;;20020710;20020710;92500;;R;RESIDENCE;2;;;;8804984;
C;157;1725746;2;20020801 14:11;2//SP 54093;
D;157;1725746;2;20020801 14:11;P;;;;;;
D;157;1725746;2;20020801 14:11;V;;;;;;
B;157;1725808;3;20020801 14:11;;4;2;CAMERON ST;WEST KEMPSEY;2440;;;20020614;20020712;86000;;R;RESIDENCE;4;;;;8794899;
C;157;1725808;3;20020801 14:11;4//19135;
D;157;1725808;3;20020801 14:11;P;;;;;;
D;157;1725808;3;20020801 14:11;V;;;;;;
B;157;1726060;4;20020801 14:11;;;21;CRAIG ST;EAST KEMPSEY;2440;3140;M;20020606;20020703;180000;A;R;RESIDENCE;;AB;AC;;8772533;
C;157;1726060;4;20020801 14:11;4//262308;
D;157;1726060;4;20020801 14:11;P;;;;;;
D;157;1726060;4;20020801 14:11;P;;;;;;
D;157;1726060;4;20020801 14:11;V;;;;;;
D;157;1726060;4;20020801 14:11;V;;;;;;
B;157;1726130;5;20020801 14:11;;;12;DOUGLAS FENTIMAN ST;WEST KEMPSEY;2440;;;20020531;20020621;87000;A;R;RESIDENCE;;AA;AC;;8778176;
C;157;1726130;5;20020801 14:11;4//387992;
D;157;1726130;5;20020801 14:11;P;;;;;;
D;157;1726130;5;20020801 14:11;P;;;;;;
D;157;1726130;5;20020801 14:11;V;;;;;;
D;157;1726130;5;20020801 14:11;V;;;;;;
B;157;1726340;6;20020801 14:11;;;36;FORTH ST;KEMPSEY;2440;;;20020227;20020625;58000;B;R;RESIDENCE;;CB;AC;;4353751;
C;157;1726340;6;20020801 14:11;PT LOTS 22/23 (COR PT 1A) SEC 3 VO PT 1851FO 485;
D;157;1726340;6;20020801 14:11;P;;;;;;
D;157;1726340;6;20020801 14:11;V;;;;;;
D;157;1726340;6;20020801 14:11;V;;;;;;
B;157;1726362;7;20020801 14:11;;;3;FORTH ST;KEMPSEY;2440;461.6;M;20020327;20020517;125000;A;R;RESIDENCE;;AA;AC;;4354351;
C;157;1726362;7;20020801 14:11;1//986340;
D;157;1726362;7;20020801 14:11;P;;;;;;
D;157;1726362;7;20020801 14:11;P;;;;;;
D;157;1726362;7;20020801 14:11;V;;;;;;
B;157;1726403;8;20020801 14:11;;;3;GEOFFREY O'HEA ST;WEST KEMPSEY;2440;569.1;M;20020607;20020719;94000;A;R;RESIDENCE;;AA;;;8810389;
C;157;1726403;8;20020801 14:11;17//237996;
D;157;1726403;8;20020801 14:11;P;;;;;;
D;157;1726403;8;20020801 14:11;P;;;;;;
D;157;1726403;8;20020801 14:11;V;;;;;;
B;157;1726408;9;20020801 14:11;;;8;GEOFFREY O'HEA ST;WEST KEMPSEY;2440;695.6;M;20020326;20020416;118500;A;R;RESIDENCE;;AA;AC;;8800768;
C;157;1726408;9;20020801 14:11;12//237996;
D;157;1726408;9;20020801 14:11;P;;;;;;
D;157;1726408;9;20020801 14:11;V;;;;;;
B;157;1726672;10;20020801 14:11;;;26;INNES ST;EAST KEMPSEY;2440;404.7;M;20020225;20020415;80000;A;3;;;AB;AC;;8547595;
C;157;1726672;10;20020801 14:11;1//782617;
D;157;1726672;10;20020801 14:11;P;;;;;;
D;157;1726672;10;20020801 14:11;P;;;;;;
D;157;1726672;10;20020801 14:11;V;;;;;;
B;157;1726681;11;20020801 14:11;;;8;INNES ST;EAST KEMPSEY;2440;392;M;20020529;20020628;69000;A;R;RESIDENCE;;AB;;;8811485;
C;157;1726681;11;20020801 14:11;1//794934;
D;157;1726681;11;20020801 14:11;P;;;;;;
D;157;1726681;11;20020801 14:11;V;;;;;;
