A;RTSALEDATA;192;20250421 01:28;VALNET;
B;192;3427876;1;20250421 01:28;KAY SIX;;2953;BERRIGAL CREEK RD;BELLATA;2397;755.921;H;20250212;20250326;11016284;RU1;R;RESIDENCE;;RRE;;0;AU922906;
C;192;3427876;1;20250421 01:28;16/112759 11, 12, 14, PT 23, 52, 54, 78/751764 1/1130618;
D;192;3427876;1;20250421 01:28;P;;;;;;
D;192;3427876;1;20250421 01:28;V;;;;;;
D;192;3427876;1;20250421 01:28;V;;;;;;
B;192;4224820;2;20250421 01:28;;;2577;MOSQUITO CREEK RD;PALLAMALLAWA;2399;103.5;H;20250312;20250411;1214812;RU1;3;FARM;;RRE;;0;AU972864;
C;192;4224820;2;20250421 01:28;2/1253081;
D;192;4224820;2;20250421 01:28;P;;;;;;
D;192;4224820;2;20250421 01:28;P;;;;;;
D;192;4224820;2;20250421 01:28;V;;;;;;
B;192;4068171;3;20250421 01:28;COWMERTON;;3066;SANDHOLES RD;GARAH;2405;1797;H;20210630;20250410;7960000;RU1;3;FARM;;RRM;;0;AU966700;
C;192;4068171;3;20250421 01:28;1/652633 3, 5, 12/750434 1/1230780;
D;192;4068171;3;20250421 01:28;P;;;;;;
D;192;4068171;3;20250421 01:28;V;;;;;;
B;192;4607574;4;20250421 01:28;;;;SANDHOLES RD;GARAH;2405;542.7;H;20210630;20250410;5027601;;3;FARM;;;;0;AU966694;
C;192;4607574;4;20250421 01:28;1/750443 22/750468 3/1222045;
D;192;4607574;4;20250421 01:28;P;;;;;;
D;192;4607574;4;20250421 01:28;P;;;;;;
D;192;4607574;4;20250421 01:28;V;;;;;;
B;192;4607575;5;20250421 01:28;;;;SANDHOLES RD;GARAH;2405;3800.361;H;20210630;20250410;7620000;;3;FARM;;;;0;AU966707;
C;192;4607575;5;20250421 01:28;1, 2, 3, 4/119492 1, 2/596656 3, 4, 7, 11, 16, 35, 44, 45/750443 13, 1;
C;192;4607575;5;20250421 01:28;4, 15, 17, 25, 27, 28, 31/750468 69/755999 2/1222045;
D;192;4607575;5;20250421 01:28;P;;;;;;
D;192;4607575;5;20250421 01:28;V;;;;;;
D;192;4607575;5;20250421 01:28;V;;;;;;
B;192;4607575;6;20250421 01:28;;;;SANDHOLES RD;GARAH;2405;3800.361;H;20210630;20250410;9452339;;3;FARM;;;;0;AU966691;
C;192;4607575;6;20250421 01:28;1, 2, 3, 4/119492 1, 2/596656 3, 4, 7, 11, 16, 35, 44, 45/750443 13, 1;
C;192;4607575;6;20250421 01:28;4, 15, 17, 25, 27, 28, 31/750468 69/755999 2/1222045;
D;192;4607575;6;20250421 01:28;P;;;;;;
D;192;4607575;6;20250421 01:28;V;;;;;;
D;192;4607575;6;20250421 01:28;V;;;;;;
B;192;1864245;7;20250421 01:28;;;127;BALO ST;MOREE;2400;340.7;M;20250305;20250416;380000;E2;R;RESIDENCE;;ECC;;0;AU984078;
C;192;1864245;7;20250421 01:28;5/571443;
D;192;1864245;7;20250421 01:28;P;;;;;;
D;192;1864245;7;20250421 01:28;P;;;;;;
D;192;1864245;7;20250421 01:28;V;;;;;;
D;192;1864245;7;20250421 01:28;V;;;;;;
B;192;1865755;8;20250421 01:28;;;389;GOSPORT ST;MOREE;2400;708.2;M;20250228;20250411;253000;E3;3;COMMERCIAL;;EPS;;0;AU970367;
C;192;1865755;8;20250421 01:28;5/16225;
D;192;1865755;8;20250421 01:28;P;;;;;;
D;192;1865755;8;20250421 01:28;V;;;;;;
D;192;1865755;8;20250421 01:28;V;;;;;;
B;192;3939625;9;20250421 01:28;THE VALLEY;;1188;BRONTE RD;BULLARAH;2400;2487.24;H;20250226;20250410;33500000;RU1;3;FARM;;RRM;;0;AU967148;
C;192;3939625;9;20250421 01:28;6, 8, 9, 10, 12, 15, 16, 19, 20, 23, 31, 32, 33, 34, 35, 36, 39, 44, 4;
C;192;3939625;9;20250421 01:28;5, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 65, 68, 69,;
C;192;3939625;9;20250421 01:28; 70, 75, 76, 77/750439 1/821289 1/1173953 2/1200500;
D;192;3939625;9;20250421 01:28;P;;;;;;
D;192;3939625;9;20250421 01:28;V;;;;;;
D;192;3939625;9;20250421 01:28;V;;;;;;
Z;51;9;13;27;
