A;089;20110801 02:05;VALNET;
B;089;806838;1;20110801 02:05;;;28;BARNETTS RD;WINSTON HILLS;2153;556.4;M;20110605;20110718;645000;A;R;RESIDENCE;;CB;;0;AG387144;
C;089;806838;1;20110801 02:05;155/224287;
D;089;806838;1;20110801 02:05;P;;;;;;
D;089;806838;1;20110801 02:05;P;;;;;;
D;089;806838;1;20110801 02:06;V;;;;;;
D;089;806838;1;20110801 02:06;V;;;;;;
B;089;812597;2;20110801 02:06;;21;22;CALDER RD;RYDALMERE;2116;;;20110603;20110715;368000;;R;RESIDENCE;21;;;0;AG383025;
C;089;812597;2;20110801 02:06;21/SP12554;
D;089;812597;2;20110801 02:06;P;;;;;;
D;089;812597;2;20110801 02:06;P;;;;;;
D;089;812597;2;20110801 02:06;V;;;;;;
B;089;823430;3;20110801 02:06;;;36;GARNET ST;MERRYLANDS;2160;594.51;M;20110518;20110628;496000;A;R;RESIDENCE;;BC;;0;AG374900;
C;089;823430;3;20110801 02:06;36/1/945;
D;089;823430;3;20110801 02:06;P;;;;;;
D;089;823430;3;20110801 02:06;P;;;;;;
D;089;823430;3;20110801 02:06;V;;;;;;
B;089;810453;4;20110801 02:06;;17;25;BRIDGE ST;EPPING;2121;;;20110607;20110719;453000;;R;RESIDENCE;17;;;0;AG390154;
C;089;810453;4;20110801 02:06;17/SP2927;
D;089;810453;4;20110801 02:06;P;;;;;;
D;089;810453;4;20110801 02:06;P;;;;;;
D;089;810453;4;20110801 02:06;V;;;;;;
B;089;816081;5;20110801 02:06;;;6;CLIFF AVE;WINSTON HILLS;2153;973.8;M;20110517;20110627;618000;A;R;RESIDENCE;;CB;;0;AG374692;
C;089;816081;5;20110801 02:06;18/31031 35/202640;
D;089;816081;5;20110801 02:06;P;;;;;;
D;089;816081;5;20110801 02:06;P;;;;;;
D;089;816081;5;20110801 02:06;V;;;;;;
B;089;818992;6;20110801 02:06;;;18;DUNLOP ST;EPPING;2121;1011.83;M;20110521;20110715;1085000;A;R;RESIDENCE;;AB;;0;AG382751;
C;089;818992;6;20110801 02:06;13/6761;
D;089;818992;6;20110801 02:06;P;;;;;;
D;089;818992;6;20110801 02:06;V;;;;;;
B;089;808233;7;20110801 02:06;;;42;BINALONG RD;PENDLE HILL;2145;981.25;M;20110605;20110718;570000;A;R;RESIDENCE;;BQ;;0;AG383381;
C;089;808233;7;20110801 02:06;95/16020;
D;089;808233;7;20110801 02:06;P;;;;;;
D;089;808233;7;20110801 02:06;V;;;;;;
B;089;811039;8;20110801 02:06;;;27;BRINGELLY AVE;PENDLE HILL;2145;613.4;M;20110605;20110718;510000;A;R;RESIDENCE;;BQ;;0;AG383416;
C;089;811039;8;20110801 02:06;13/38810;
D;089;811039;8;20110801 02:06;P;;;;;;
D;089;811039;8;20110801 02:06;V;;;;;;
D;089;811039;8;20110801 02:06;V;;;;;;
B;089;824729;9;20110801 02:06;;19;11;GOOD ST;PARRAMATTA;2150;;;20110624;20110715;350000;;R;RESIDENCE;19;;;0;AG381439;
C;089;824729;9;20110801 02:06;19/SP15868;
D;089;824729;9;20110801 02:06;P;;;;;;
D;089;824729;9;20110801 02:06;P;;;;;;
D;089;824729;9;20110801 02:06;V;;;;;;
B;089;803291;10;20110801 02:06;;;1;ACACIA ST;RYDALMERE;2116;676.6;M;20110604;20110718;851000;A;R;RESIDENCE;;AE;;0;AG383173;
C;089;803291;10;20110801 02:06;12/27956;
D;089;803291;10;20110801 02:06;P;;;;;;
D;089;803291;10;20110801 02:06;P;;;;;;
D;089;803291;10;20110801 02:06;V;;;;;;
D;089;803291;10;20110801 02:06;V;;;;;;
B;089;814252;11;20110801 02:06;;1;17;CASTLE ST;NORTH PARRAMATTA;2151;;;20110601;20110719;334500;;R;RESIDENCE;1;;;0;AG384879;
C;089;814252;11;20110801 02:06;1/SP44894;
D;089;814252;11;20110801 02:06;P;;;;;;
D;089;814252;11;20110801 02:06;P;;;;;;
D;089;814252;11;20110801 02:06;V;;;;;;
B;089;816964;12;20110801 02:06;;11;1;COTTEE DR;EPPING;2121;;;20110531;20110714;620000;;R;RESIDENCE;11;;;0;AG376129;
C;089;816964;12;20110801 02:06;11/SP34706;
D;089;816964;12;20110801 02:06;P;;;;;;
D;089;816964;12;20110801 02:06;V;;;;;;
B;089;817196;13;20110801 02:06;;11;2 A;COWPER ST;PARRAMATTA;2150;;;20110515;20110712;389000;;R;RESIDENCE;11;;;0;AG374587;
C;089;817196;13;20110801 02:06;11/SP47507;
D;089;817196;13;20110801 02:06;P;;;;;;
D;089;817196;13;20110801 02:06;V;;;;;;
D;089;817196;13;20110801 02:06;V;;;;;;
B;089;822580;14;20110801 02:06;;;53;FRASER ST;CONSTITUTION HILL;2145;557.4;M;20110516;20110711;550000;A;R;RESIDENCE;;BQ;;0;AG390741;
C;089;822580;14;20110801 02:06;1/702198;
D;089;822580;14;20110801 02:06;P;;;;;;
D;089;822580;14;20110801 02:06;V;;;;;;
B;089;828875;15;20110801 02:06;;;2;HURLEY ST;TOONGABBIE;2146;569.1;M;20110605;20110722;453000;A;R;RESIDENCE;;CX;;0;AG386560;
C;089;828875;15;20110801 02:06;20/237372;
D;089;828875;15;20110801 02:06;P;;;;;;
D;089;828875;15;20110801 02:06;V;;;;;;
B;089;809468;16;20110801 02:06;;;60;BORONIA ST;ERMINGTON;2115;682.9;M;20110526;20110715;685000;A;R;RESIDENCE;;AK;;0;AG383567;
C;089;809468;16;20110801 02:06;601/16170;
D;089;809468;16;20110801 02:06;P;;;;;;
D;089;809468;16;20110801 02:06;P;;;;;;
