A;RTSALEDATA;065;20250224 01:06;VALNET;
B;065;4598769;1;20250224 01:06;;;;DRAPER RD;STANBRIDGE;2705;165.21;H;20250124;20250131;1633000;;3;FARM;;;;0;AU793976;
C;065;4598769;1;20250224 01:06;236, 237/751732;
D;065;4598769;1;20250224 01:06;P;;;;;;
D;065;4598769;1;20250224 01:06;V;;;;;;
D;065;4598769;1;20250224 01:06;V;;;;;;
B;065;4598770;2;20250224 01:06;;;7;DRAPER RD;STANBRIDGE;2705;60.5;H;20250124;20250131;598000;;3;FARM;;;;0;AU794097;
C;065;4598770;2;20250224 01:06;233/751732;
D;065;4598770;2;20250224 01:06;P;;;;;;
D;065;4598770;2;20250224 01:06;V;;;;;;
D;065;4598770;2;20250224 01:06;V;;;;;;
B;065;537226;3;20250224 01:06;;;21;BORONIA RD;LEETON;2705;821.4;M;20241017;20250214;500000;R1;R;RESIDENCE;;AAN;;0;AU825786;
C;065;537226;3;20250224 01:06;26/815968;
D;065;537226;3;20250224 01:06;P;;;;;;
D;065;537226;3;20250224 01:06;P;;;;;;
D;065;537226;3;20250224 01:06;V;;;;;;
D;065;537226;3;20250224 01:06;V;;;;;;
B;065;536457;4;20250224 01:06;;;102;TABAIN RD;MERUNGLE HILL;2705;2.009;H;20250129;20250214;700000;RU1;R;RESIDENCE;;HOM;;0;AU825848;
C;065;536457;4;20250224 01:06;4/264361;
D;065;536457;4;20250224 01:06;P;;;;;;
D;065;536457;4;20250224 01:06;P;;;;;;
D;065;536457;4;20250224 01:06;V;;;;;;
D;065;536457;4;20250224 01:06;V;;;;;;
B;065;3239268;5;20250224 01:06;FARM 119;;6;ELLENDON PL;LEETON;2705;1084;M;20250124;20250217;740000;R2;R;RESIDENCE;;ALD;;0;AU830268;
C;065;3239268;5;20250224 01:06;10/1093850;
D;065;3239268;5;20250224 01:06;P;;;;;;
D;065;3239268;5;20250224 01:06;P;;;;;;
D;065;3239268;5;20250224 01:06;V;;;;;;
D;065;3239268;5;20250224 01:06;V;;;;;;
Z;30;5;5;18;
