A;185;20011109 12:06;CDIXON;
B;185;1844390;1;20011109 12:06;;;;FASSIFERN RD;WOLLOMOMBI;2350;79.96;H;20010621;20010730;165000;R;3;FARM/RURAL;;SZ;RF;;7830215;
C;185;1844390;1;20011109 12:06;1, 2//856302;
D;185;1844390;1;20011109 12:06;P;;;;;;
D;185;1844390;1;20011109 12:06;V;;;;;;
B;185;1844704;2;20011109 12:06;;;11;NEWHOLME RD;TILBUSTER;2350;7006;M;19990817;19990910;55000;R;R;RESIDENCE;;EV;RR;;6232833;
C;185;1844704;2;20011109 12:06;197//755819;
D;185;1844704;2;20011109 12:06;P;;;;;;
D;185;1844704;2;20011109 12:06;P;;;;;;
D;185;1844704;2;20011109 12:06;V;;;;;;
B;185;1844857;3;20011109 12:06;;;367;THUNDERBOLTS CAVE RD;BLACK MOUNTAIN;2365;2.336;H;20010622;20010803;51000;R;3;;;SY;RF;;7876034;
C;185;1844857;3;20011109 12:06;133, 5//755823;
D;185;1844857;3;20011109 12:06;P;;;;;;
D;185;1844857;3;20011109 12:06;V;;;;;;
B;185;1845082;4;20011109 12:06;;;29;WAUGH ST;EBOR;2453;3.146;H;20010723;20010821;24000;R;V;VACANT LAND;;SY;RV;;7885465;
C;185;1845082;4;20011109 12:06;85//751462;
D;185;1845082;4;20011109 12:06;P;;;;;;
D;185;1845082;4;20011109 12:06;P;;;;;;
D;185;1845082;4;20011109 12:06;V;;;;;;
B;185;2847532;5;20011109 12:06;"HAYLANDS";;349;GOSTWYCK RD;DANGARSLEIGH;2350;100.664;H;20010403;20010403;160500;R;3;FARM;;EY;RGI;50;7542907;
C;185;2847532;5;20011109 12:06;177, 178, 180, 182, 183, PT 184, PT 185, 549//755808;
D;185;2847532;5;20011109 12:06;P;;;;;;
D;185;2847532;5;20011109 12:06;P;;;;;;
Z;24;5;5;12;
