A;142;20030303 12:22;PDANN;
B;142;1509065;1;20030303 12:22;;;64;ALBERT ST;BEXLEY;2207;613.4;M;20021210;20030212;458000;A;R;RESIDENCE;;XN;;;9387512;
C;142;1509065;1;20030303 12:22;6//16358;
D;142;1509065;1;20030303 12:22;P;;;;;;
D;142;1509065;1;20030303 12:22;V;;;;;;
D;142;1509065;1;20030303 12:22;V;;;;;;
B;142;1509222;2;20030303 12:22;;8;30;ALBYN ST;BEXLEY;2207;;;20021127;20030122;330000;;R;RESIDENCE;8;;;;9391633;
C;142;1509222;2;20030303 12:22;8//SP 51965;
D;142;1509222;2;20030303 12:22;P;;;;;;
D;142;1509222;2;20030303 12:22;V;;;;;;
D;142;1509222;2;20030303 12:22;V;;;;;;
B;142;1510841;3;20030303 12:22;;54;8;ASHTON ST;ROCKDALE;2216;;;20021224;20030204;343000;;R;RESIDENCE;54;;;;9380600;
C;142;1510841;3;20030303 12:22;54//SP 51923;
D;142;1510841;3;20030303 12:22;P;;;;;;
D;142;1510841;3;20030303 12:22;V;;;;;;
B;142;1510841;4;20030303 12:22;;103;8;ASHTON ST;ROCKDALE;2216;;;20030115;20030226;370000;;3;HOME UNIT;103;;;;9408792;
C;142;1510841;4;20030303 12:22;103//SP 51923;
D;142;1510841;4;20030303 12:22;P;;;;;;
D;142;1510841;4;20030303 12:22;V;;;;;;
B;142;1511938;5;20030303 12:22;;7;119;BARTON ST;MONTEREY;2217;;;20030107;20030220;610000;;R;RESIDENCE;7;;;;9398837;
C;142;1511938;5;20030303 12:22;7//SP 53262;
D;142;1511938;5;20030303 12:22;P;;;;;;
D;142;1511938;5;20030303 12:22;P;;;;;;
D;142;1511938;5;20030303 12:22;V;;;;;;
D;142;1511938;5;20030303 12:22;V;;;;;;
B;142;1512745;6;20030303 12:22;;;74;BAY ST;ROCKDALE;2216;278.2;M;20030106;20030217;405000;A;R;RESIDENCE;;MR;;;9403764;
C;142;1512745;6;20030303 12:22;16//557824;
D;142;1512745;6;20030303 12:22;P;;;;;;
D;142;1512745;6;20030303 12:22;V;;;;;;
B;142;1513308;7;20030303 12:22;;4;83;BEACONSFIELD ST;BEXLEY;2207;;;20021123;20030207;340000;;R;RESIDENCE;4;;;;9400028;
C;142;1513308;7;20030303 12:22;4//SP 9246;
D;142;1513308;7;20030303 12:22;P;;;;;;
D;142;1513308;7;20030303 12:22;V;;;;;;
D;142;1513308;7;20030303 12:22;V;;;;;;
B;142;1513673;8;20030303 12:22;;;9;BERNARD AVE;BEXLEY NORTH;2207;;;20021221;20030218;590500;A;R;RESIDENCE;;XL;;;9396544;
C;142;1513673;8;20030303 12:22;25//16353;
D;142;1513673;8;20030303 12:22;P;;;;;;
D;142;1513673;8;20030303 12:22;V;;;;;;
B;142;1515158;9;20030303 12:22;;12;2;CALEDONIAN ST;BEXLEY;2207;;;20021221;20030218;285000;;R;RESIDENCE;12;;;;9403714;
C;142;1515158;9;20030303 12:22;12//SP 35964;
D;142;1515158;9;20030303 12:22;P;;;;;;
D;142;1515158;9;20030303 12:22;V;;;;;;
D;142;1515158;9;20030303 12:22;V;;;;;;
B;142;1515577;10;20030303 12:22;;;10;CAMILLE ST;SANS SOUCI;2219;442.6;M;20030211;20030211;300000;A;R;RESIDENCE;;XB;;;9387600;
C;142;1515577;10;20030303 12:22;106//15391;
D;142;1515577;10;20030303 12:22;P;;;;;;
D;142;1515577;10;20030303 12:22;P;;;;;;
D;142;1515577;10;20030303 12:22;V;;;;;;
B;142;1517219;11;20030303 12:22;;16;138;CHUTER AVE;SANS SOUCI;2219;;;20021210;20030205;340000;;R;RESIDENCE;16;;;;9374940;
C;142;1517219;11;20030303 12:22;16//SP 4930;
D;142;1517219;11;20030303 12:22;P;;;;;;
D;142;1517219;11;20030303 12:22;V;;;;;;
D;142;1517219;11;20030303 12:22;V;;;;;;
B;142;1517745;12;20030303 12:22;;;;CLAREVILLE AVE HOUSE NO: 4/122 130;SANS SOUCI;2219;938;M;20020626;20021023;2150000;A;R;RESIDENCE;;RM;;;9384162;
C;142;1517745;12;20030303 12:22;7//270045;
D;142;1517745;12;20030303 12:22;P;;;;;;
D;142;1517745;12;20030303 12:22;P;;;;;;
D;142;1517745;12;20030303 12:22;V;;;;;;
B;142;1518218;13;20030303 12:22;;;3;CONNEMARRA ST;BEXLEY;2207;;;20021025;20021206;200000;A;R;RESIDENCE;;PQ;;;9397651;
C;142;1518218;13;20030303 12:22;1//927048;
D;142;1518218;13;20030303 12:22;P;;;;;;
D;142;1518218;13;20030303 12:22;V;;;;;;
B;142;1518219;14;20030303 12:22;;;1;CONNEMARRA ST;ROCKDALE;2216;872.6;M;20021025;20021206;2000;A;V;VACANT LAND;;PQ;;;9397647;
C;142;1518219;14;20030303 12:22;1//928497;
D;142;1518219;14;20030303 12:22;P;;;;;;
D;142;1518219;14;20030303 12:22;V;;;;;;
B;142;1518342;15;20030303 12:22;;;51;COVENEY ST;BEXLEY NORTH;2207;;;20020724;20020904;645000;A;R;RESIDENCE;;MA;;;9391872;
C;142;1518342;15;20030303 12:22;22/K/3393;
D;142;1518342;15;20030303 12:22;P;;;;;;
D;142;1518342;15;20030303 12:22;P;;;;;;
D;142;1518342;15;20030303 12:22;V;;;;;;
B;142;1518965;16;20030303 12:22;;;56;DARLEY RD;BARDWELL PARK;2207;;;20021217;20030128;615000;A;R;RESIDENCE;;XL;;;9398378;
C;142;1518965;16;20030303 12:22;A//343848;
D;142;1518965;16;20030303 12:22;P;;;;;;
D;142;1518965;16;20030303 12:22;P;;;;;;
D;142;1518965;16;20030303 12:22;V;;;;;;
D;142;1518965;16;20030303 12:22;V;;;;;;
B;142;1519361;17;20030303 12:22;;;19;DUNCAN ST;ARNCLIFFE;2205;411;M;20021005;20030121;638500;A;R;RESIDENCE;;XH;;;9382200;
C;142;1519361;17;20030303 12:22;41//666358;
D;142;1519361;17;20030303 12:22;P;;;;;;
D;142;1519361;17;20030303 12:22;V;;;;;;
D;142;1519361;17;20030303 12:22;V;;;;;;
B;142;1521782;18;20030303 12:22;;;7;FORTESCUE ST;BEXLEY;2207;;;20021107;20021111;590000;A;R;RESIDENCE;;XM;;;9398036;
C;142;1521782;18;20030303 12:22;127//18232;
D;142;1521782;18;20030303 12:22;P;;;;;;
D;142;1521782;18;20030303 12:22;P;;;;;;
D;142;1521782;18;20030303 12:22;V;;;;;;
D;142;1521782;18;20030303 12:22;V;;;;;;
B;142;1522463;19;20030303 12:22;;;1;FRENCH ST;KOGARAH;2217;;;20021023;20030207;1430000;A;R;RESIDENCE;;CV;;;9400440;
C;142;1522463;19;20030303 12:22;90//1110;
D;142;1522463;19;20030303 12:22;P;;;;;;
D;142;1522463;19;20030303 12:22;P;;;;;;
D;142;1522463;19;20030303 12:22;P;;;;;;
D;142;1522463;19;20030303 12:22;P;;;;;;
D;142;1522463;19;20030303 12:22;V;;;;;;
B;142;1523939;20;20030303 12:22;;;71;GORDON ST;BRIGHTON-LE-SANDS;2216;;;20021217;20030219;830000;A;R;RESIDENCE;;XE;;;9400928;
C;142;1523939;20;20030303 12:22;3//6770;
D;142;1523939;20;20030303 12:22;P;;;;;;
D;142;1523939;20;20030303 12:22;P;;;;;;
D;142;1523939;20;20030303 12:22;V;;;;;;
B;142;1525547;21;20030303 12:22;;4;5;HAYBURN AVE;ROCKDALE;2216;;;20021230;20030210;314000;;R;RESIDENCE;4;;;;9402455;
C;142;1525547;21;20030303 12:22;4//SP 35278;
D;142;1525547;21;20030303 12:22;P;;;;;;
D;142;1525547;21;20030303 12:22;P;;;;;;
D;142;1525547;21;20030303 12:22;V;;;;;;
B;142;1525787;22;20030303 12:22;;;5;HENSON ST;BRIGHTON-LE-SANDS;2216;695.6;M;20021214;20030207;956000;A;R;RESIDENCE;;XE;;;9397898;
C;142;1525787;22;20030303 12:22;3//512341;
D;142;1525787;22;20030303 12:22;P;;;;;;
D;142;1525787;22;20030303 12:22;P;;;;;;
D;142;1525787;22;20030303 12:22;P;;;;;;
D;142;1525787;22;20030303 12:22;P;;;;;;
D;142;1525787;22;20030303 12:22;V;;;;;;
D;142;1525787;22;20030303 12:22;V;;;;;;
